Non-Penalty Goals,0.15,38
Non-Penalty xG,0.18,44
Shots Total,2.10,48
Assists,0.38,95
xAG,0.26,77
npxG + xAG,0.44,64
Shot-Creating Actions,4.13,59
Passes Attempted,25.39,12
Pass Completion %,73.7,48
Progressive Passes,3.16,38
Progressive Carries,3.46,71
Successful Take-Ons,1.50,56
Touches (Att Pen),4.81,88
Progressive Passes Rec,8.71,75
Tackles,1.73,75
Interceptions,0.75,84
Blocks,0.68,28
Clearances,0.53,57
Aerials won,0.60,61
Goals,0.15,30
Assists,0.38,95
Goals + Assists,0.53,73
Non-Penalty Goals,0.15,38
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.08,83
Red Cards,0.00,59
xG,0.18,34
Non-Penalty xG,0.18,44
xAG,0.26,77
npxG + xAG,0.44,64
Progressive Carries,3.46,71
Progressive Passes,3.16,38
Progressive Passes Rec,8.71,75
Goals,0.15,30
Shots Total,2.10,48
Shots on target,1.05,87
Shots on target %,50.0,95
Goals/Shot,0.07,30
Goals/Shot on target,0.14,17
Average Shot Distance,18.00,62
Shots from free kicks,0.00,20
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.18,34
Non-Penalty xG,0.18,44
npxG/Sh,0.09,50
Goals - xG,-0.03,39
Non-Penalty Goals - npxG,-0.03,40
Passes Completed,18.71,16
Passes Attempted,25.39,12
Pass Completion %,73.7,48
Total Passing Distance,274.51,16
Progressive Passing Distance,73.62,17
Passes Completed (Short),11.27,24
Passes Attempted (Short),13.37,20
Pass Completion % (Short),84.3,42
Passes Completed (Medium),5.63,12
Passes Attempted (Medium),7.66,12
Pass Completion % (Medium),73.5,32
Passes Completed (Long),0.98,16
Passes Attempted (Long),1.73,13
Pass Completion % (Long),56.5,79
Assists,0.38,95
xAG,0.26,77
Expected Assists,0.24,77
Key Passes,1.88,58
Passes into Final Third,1.58,28
Passes into Penalty Area,1.05,31
Crosses into Penalty Area,0.23,37
Progressive Passes,3.16,38
Passes Attempted,25.39,12
Live-ball passes,24.12,13
Dead-ball passes,1.05,25
Passes from Free Kicks,0.08,15
Through Balls,0.30,70
Switches,0.15,30
Crosses,1.65,23
Throw-Ins taken,0.75,61
Corner Kicks,0.15,30
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.08,43
Straight Corner Kicks,0.00,38
Passes Completed,18.71,16
Passes Offside,0.23,38
Passes Blocked,0.98,59
Shot-Creating Actions,4.13,59
SCA (PassLive),2.93,69
SCA (PassDead),0.08,33
SCA (TO),0.45,82
SCA (Sh),0.30,70
SCA (Fld),0.30,71
SCA (Def),0.08,77
Goal-Creating Actions,0.75,91
GCA (PassLive),0.53,95
GCA (PassDead),0.00,29
GCA (TO),0.00,25
GCA (Sh),0.15,98
GCA (Fld),0.08,89
GCA (Def),0.00,46
Tackles,1.73,75
Tackles Won,1.13,82
Tackles (Def 3rd),0.83,90
Tackles (Mid 3rd),0.68,64
Tackles (Att 3rd),0.23,41
Dribblers Tackled,0.83,85
Dribbles Challenged,1.35,45
% of dribblers tackled,61.1,99
Challenges Lost,0.53,84
Blocks,0.68,28
Shots Blocked,0.08,49
Passes Blocked,0.60,27
Interceptions,0.75,84
Tkl+Int,2.48,85
Clearances,0.53,57
Errors,0.00,54
Touches,36.44,12
Touches (Def Pen),0.60,41
Touches (Def 3rd),4.88,41
Touches (Mid 3rd),13.07,6
Touches (Att 3rd),19.61,29
Touches (Att Pen),4.81,88
Touches (Live-Ball),36.44,12
Take-Ons Attempted,3.16,51
Successful Take-Ons,1.50,56
Successful Take-On %,47.6,54
Times Tackled During Take-On,1.50,52
Tackled During Take-On Percentage,47.6,43
Carries,22.84,16
Total Carrying Distance,166.03,37
Progressive Carrying Distance,87.82,52
Progressive Carries,3.46,71
Carries into Final Third,1.88,42
Carries into Penalty Area,1.50,85
Miscontrols,1.73,86
Dispossessed,1.13,66
Passes Received,24.04,11
Progressive Passes Rec,8.71,75
Yellow Cards,0.08,83
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,1.20,35
Fouls Drawn,1.13,26
Offsides,0.38,29
Crosses,1.65,23
Interceptions,0.75,84
Tackles Won,1.13,82
Penalty Kicks Won,0.08,89
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,4.43,48
Aerials won,0.60,61
Aerials lost,1.35,29
% of Aerials Won,30.8,36
