Non-Penalty Goals,0.17,44
Non-Penalty xG,0.13,20
Shots Total,2.12,48
Assists,0.00,2
xAG,0.10,11
npxG + xAG,0.23,5
Shot-Creating Actions,2.98,21
Passes Attempted,24.44,9
Pass Completion %,51.4,1
Progressive Passes,1.26,2
Progressive Carries,2.58,38
Successful Take-Ons,1.66,66
Touches (Att Pen),3.21,41
Progressive Passes Rec,4.99,12
Tackles,1.55,63
Interceptions,0.75,84
Blocks,0.46,9
Clearances,0.40,39
Aerials won,0.63,65
Non-Penalty Goals,0.17,91
Non-Penalty xG,0.13,85
Shots Total,2.12,95
Assists,0.00,13
xAG,0.10,63
npxG + xAG,0.23,79
Shot-Creating Actions,2.98,76
Passes Attempted,24.44,1
Pass Completion %,51.4,1
Progressive Passes,1.26,1
Progressive Carries,2.58,96
Successful Take-Ons,1.66,97
Touches (Att Pen),3.21,97
Progressive Passes Rec,4.99,93
Tackles,1.55,23
Interceptions,0.75,19
Blocks,0.46,1
Clearances,0.40,4
Aerials won,0.63,29
Goals,0.23,52
Assists,0.00,2
Goals + Assists,0.23,16
Non-Penalty Goals,0.17,44
Penalty Kicks Made,0.06,78
Penalty Kicks Attempted,0.11,85
Yellow Cards,0.17,45
Red Cards,0.00,59
xG,0.22,46
Non-Penalty xG,0.13,20
xAG,0.10,11
npxG + xAG,0.23,5
Progressive Carries,2.58,38
Progressive Passes,1.26,2
Progressive Passes Rec,4.99,12
Goals,0.23,52
Shots Total,2.12,48
Shots on target,0.57,27
Shots on target %,27.0,13
Goals/Shot,0.08,37
Goals/Shot on target,0.30,58
Average Shot Distance,24.20,5
Shots from free kicks,0.11,62
Penalty Kicks Made,0.06,78
Penalty Kicks Attempted,0.11,85
xG,0.22,46
Non-Penalty xG,0.13,20
npxG/Sh,0.06,9
Goals - xG,0.01,52
Non-Penalty Goals - npxG,0.04,67
Passes Completed,12.56,1
Passes Attempted,24.44,9
Pass Completion %,51.4,1
Total Passing Distance,234.32,5
Progressive Passing Distance,97.34,40
Passes Completed (Short),5.68,1
Passes Attempted (Short),7.92,1
Pass Completion % (Short),71.7,1
Passes Completed (Medium),4.02,1
Passes Attempted (Medium),8.55,20
Pass Completion % (Medium),47.0,1
Passes Completed (Long),2.29,52
Passes Attempted (Long),5.97,68
Pass Completion % (Long),38.5,13
Assists,0.00,2
xAG,0.10,11
Expected Assists,0.11,16
Key Passes,1.32,26
Passes into Final Third,1.20,16
Passes into Penalty Area,0.69,11
Crosses into Penalty Area,0.34,64
Progressive Passes,1.26,2
Passes Attempted,24.44,9
Live-ball passes,16.69,1
Dead-ball passes,7.69,90
Passes from Free Kicks,1.38,76
Through Balls,0.06,11
Switches,0.40,68
Crosses,3.79,59
Throw-Ins taken,4.76,99
Corner Kicks,1.26,55
Inswinging Corner Kicks,0.40,49
Outswinging Corner Kicks,0.63,69
Straight Corner Kicks,0.00,38
Passes Completed,12.56,1
Passes Offside,0.06,88
Passes Blocked,1.15,41
Shot-Creating Actions,2.98,21
SCA (PassLive),1.15,2
SCA (PassDead),0.80,75
SCA (TO),0.17,34
SCA (Sh),0.23,49
SCA (Fld),0.57,94
SCA (Def),0.06,69
Goal-Creating Actions,0.17,9
GCA (PassLive),0.00,1
GCA (PassDead),0.00,29
GCA (TO),0.06,77
GCA (Sh),0.00,21
GCA (Fld),0.11,96
GCA (Def),0.00,46
Tackles,1.55,63
Tackles Won,1.03,73
Tackles (Def 3rd),0.86,92
Tackles (Mid 3rd),0.52,45
Tackles (Att 3rd),0.17,26
Dribblers Tackled,0.46,41
Dribbles Challenged,1.38,48
% of dribblers tackled,33.3,32
Challenges Lost,0.92,41
Blocks,0.46,9
Shots Blocked,0.11,71
Passes Blocked,0.34,5
Interceptions,0.75,84
Tkl+Int,2.29,74
Clearances,0.40,39
Errors,0.00,54
Touches,37.23,12
Touches (Def Pen),0.63,45
Touches (Def 3rd),4.70,35
Touches (Mid 3rd),13.19,6
Touches (Att 3rd),20.31,30
Touches (Att Pen),3.21,41
Touches (Live-Ball),37.11,12
Take-Ons Attempted,3.56,64
Successful Take-Ons,1.66,66
Successful Take-On %,46.8,51
Times Tackled During Take-On,1.49,51
Tackled During Take-On Percentage,41.9,71
Carries,18.30,5
Total Carrying Distance,131.59,16
Progressive Carrying Distance,58.45,15
Progressive Carries,2.58,38
Carries into Final Third,1.32,19
Carries into Penalty Area,0.86,51
Miscontrols,2.75,27
Dispossessed,1.55,33
Passes Received,20.48,2
Progressive Passes Rec,4.99,12
Yellow Cards,0.17,45
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,1.20,34
Fouls Drawn,2.93,96
Offsides,0.63,8
Crosses,3.79,59
Interceptions,0.75,84
Tackles Won,1.03,73
Penalty Kicks Won,0.11,98
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,4.59,54
Aerials won,0.63,65
Aerials lost,1.15,40
% of Aerials Won,35.5,53
Goals,0.23,95
Assists,0.00,13
Goals + Assists,0.23,76
Non-Penalty Goals,0.17,91
Penalty Kicks Made,0.06,97
Penalty Kicks Attempted,0.11,98
Yellow Cards,0.17,68
Red Cards,0.00,62
xG,0.22,96
Non-Penalty xG,0.13,85
xAG,0.10,63
npxG + xAG,0.23,79
Progressive Carries,2.58,96
Progressive Passes,1.26,1
Progressive Passes Rec,4.99,93
Goals,0.23,95
Shots Total,2.12,95
Shots on target,0.57,88
Shots on target %,27.0,52
Goals/Shot,0.08,67
Goals/Shot on target,0.30,67
Average Shot Distance,24.20,31
Shots from free kicks,0.11,83
Penalty Kicks Made,0.06,97
Penalty Kicks Attempted,0.11,98
xG,0.22,96
Non-Penalty xG,0.13,85
npxG/Sh,0.06,45
Goals - xG,0.01,70
Non-Penalty Goals - npxG,0.04,85
Passes Completed,12.56,1
Passes Attempted,24.44,1
Pass Completion %,51.4,1
Total Passing Distance,234.32,1
Progressive Passing Distance,97.34,5
Passes Completed (Short),5.68,1
Passes Attempted (Short),7.92,1
Pass Completion % (Short),71.7,1
Passes Completed (Medium),4.02,1
Passes Attempted (Medium),8.55,2
Pass Completion % (Medium),47.0,1
Passes Completed (Long),2.29,13
Passes Attempted (Long),5.97,48
Pass Completion % (Long),38.5,1
Assists,0.00,13
xAG,0.10,63
Expected Assists,0.11,68
Key Passes,1.32,74
Passes into Final Third,1.20,1
Passes into Penalty Area,0.69,57
Crosses into Penalty Area,0.34,90
Progressive Passes,1.26,1
Passes Attempted,24.44,1
Live-ball passes,16.69,1
Dead-ball passes,7.69,97
Passes from Free Kicks,1.38,57
Through Balls,0.06,33
Switches,0.40,49
Crosses,3.79,87
Throw-Ins taken,4.76,99
Corner Kicks,1.26,76
Inswinging Corner Kicks,0.40,74
Outswinging Corner Kicks,0.63,85
Straight Corner Kicks,0.00,42
Passes Completed,12.56,1
Passes Offside,0.06,83
Passes Blocked,1.15,10
Shot-Creating Actions,2.98,76
SCA (PassLive),1.15,13
SCA (PassDead),0.80,87
SCA (TO),0.17,88
SCA (Sh),0.23,90
SCA (Fld),0.57,99
SCA (Def),0.06,61
