Non-Penalty Goals,0.24,99
Non-Penalty xG,0.14,98
Shots Total,1.02,95
Assists,0.00,29
xAG,0.03,64
npxG + xAG,0.17,97
Shot-Creating Actions,1.02,81
Passes Attempted,49.36,53
Pass Completion %,85.1,69
Progressive Passes,2.83,50
Progressive Carries,0.26,27
Successful Take-Ons,0.07,24
Touches (Att Pen),1.62,94
Progressive Passes Rec,0.38,75
Tackles,1.28,50
Interceptions,1.40,56
Blocks,1.40,77
Clearances,3.42,26
Aerials won,3.97,92
Goals,0.26,99
Assists,0.00,29
Goals + Assists,0.26,98
Non-Penalty Goals,0.24,99
Penalty Kicks Made,0.02,97
Penalty Kicks Attempted,0.02,97
Yellow Cards,0.24,38
Red Cards,0.00,64
xG,0.16,99
Non-Penalty xG,0.14,98
xAG,0.03,64
npxG + xAG,0.17,97
Progressive Carries,0.26,27
Progressive Passes,2.83,50
Progressive Passes Rec,0.38,75
Goals,0.26,99
Shots Total,1.02,95
Shots on target,0.45,98
Shots on target %,44.2,88
Goals/Shot,0.23,94
Goals/Shot on target,0.53,82
Average Shot Distance,9.10,89
Shots from free kicks,0.00,45
Penalty Kicks Made,0.02,97
Penalty Kicks Attempted,0.02,97
xG,0.16,99
Non-Penalty xG,0.14,98
npxG/Sh,0.14,86
Goals - xG,0.10,99
Non-Penalty Goals - npxG,0.10,99
Passes Completed,41.99,58
Passes Attempted,49.36,53
Pass Completion %,85.1,69
Total Passing Distance,853.42,58
Progressive Passing Distance,325.28,58
Passes Completed (Short),12.15,49
Passes Attempted (Short),13.55,47
Pass Completion % (Short),89.6,51
Passes Completed (Medium),24.54,66
Passes Attempted (Medium),26.73,64
Pass Completion % (Medium),91.8,71
Passes Completed (Long),5.04,46
Passes Attempted (Long),7.94,36
Pass Completion % (Long),63.5,69
Assists,0.00,29
xAG,0.03,64
Expected Assists,0.03,70
Key Passes,0.19,42
Passes into Final Third,2.47,48
Passes into Penalty Area,0.17,57
Crosses into Penalty Area,0.00,29
Progressive Passes,2.83,50
Passes Attempted,49.36,53
Live-ball passes,47.53,58
Dead-ball passes,1.81,35
Passes from Free Kicks,1.33,46
Through Balls,0.05,74
Switches,0.31,30
Crosses,0.33,80
Throw-Ins taken,0.38,57
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,41.99,58
Passes Offside,0.02,89
Passes Blocked,0.29,61
Shot-Creating Actions,1.02,81
SCA (PassLive),0.86,81
SCA (PassDead),0.02,61
SCA (TO),0.00,40
SCA (Sh),0.07,56
SCA (Fld),0.05,87
SCA (Def),0.02,69
Goal-Creating Actions,0.12,78
GCA (PassLive),0.10,78
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.02,72
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,1.28,50
Tackles Won,0.67,34
Tackles (Def 3rd),0.90,54
Tackles (Mid 3rd),0.36,48
Tackles (Att 3rd),0.02,41
Dribblers Tackled,0.48,24
Dribbles Challenged,0.83,29
% of dribblers tackled,57.1,29
Challenges Lost,0.36,58
Blocks,1.40,77
Shots Blocked,1.00,85
Passes Blocked,0.40,46
Interceptions,1.40,56
Tkl+Int,2.69,47
Clearances,3.42,26
Errors,0.00,75
Touches,59.21,49
Touches (Def Pen),7.25,43
Touches (Def 3rd),31.27,53
Touches (Mid 3rd),24.97,45
Touches (Att 3rd),3.28,73
Touches (Att Pen),1.62,94
Touches (Live-Ball),59.18,49
Take-Ons Attempted,0.17,29
Successful Take-Ons,0.07,24
Successful Take-On %,42.9,21
Times Tackled During Take-On,0.07,48
Tackled During Take-On Percentage,42.9,26
Carries,32.55,57
Total Carrying Distance,152.96,47
Progressive Carrying Distance,82.68,42
Progressive Carries,0.26,27
Carries into Final Third,0.29,43
Carries into Penalty Area,0.02,50
Miscontrols,0.33,67
Dispossessed,0.10,66
Passes Received,36.59,55
Progressive Passes Rec,0.38,75
Yellow Cards,0.24,38
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.97,36
Fouls Drawn,0.55,57
Offsides,0.21,1
Crosses,0.33,80
Interceptions,1.40,56
Tackles Won,0.67,34
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.02,42
Own Goals,0.00,60
Ball Recoveries,4.78,34
Aerials won,3.97,92
Aerials lost,2.40,5
% of Aerials Won,62.3,59
