Non-Penalty Goals,0.14,32
Non-Penalty xG,0.22,64
Shots Total,4.02,99
Assists,0.43,96
xAG,0.39,96
npxG + xAG,0.62,95
Shot-Creating Actions,6.89,99
Passes Attempted,48.28,80
Pass Completion %,67.3,13
Progressive Passes,5.16,71
Progressive Carries,2.65,41
Successful Take-Ons,0.88,26
Touches (Att Pen),2.39,16
Progressive Passes Rec,8.89,77
Tackles,0.68,9
Interceptions,0.51,57
Blocks,0.46,8
Clearances,0.51,56
Aerials won,0.66,66
Goals,0.31,70
Assists,0.43,96
Goals + Assists,0.74,93
Non-Penalty Goals,0.14,32
Penalty Kicks Made,0.17,95
Penalty Kicks Attempted,0.20,95
Yellow Cards,0.14,55
Red Cards,0.03,16
xG,0.38,91
Non-Penalty xG,0.22,64
xAG,0.39,96
npxG + xAG,0.62,95
Progressive Carries,2.65,41
Progressive Passes,5.16,71
Progressive Passes Rec,8.89,77
Goals,0.31,70
Shots Total,4.02,99
Shots on target,1.11,92
Shots on target %,27.7,14
Goals/Shot,0.04,13
Goals/Shot on target,0.13,13
Average Shot Distance,25.60,1
Shots from free kicks,1.00,99
Penalty Kicks Made,0.17,95
Penalty Kicks Attempted,0.20,95
xG,0.38,91
Non-Penalty xG,0.22,64
npxG/Sh,0.06,9
Goals - xG,-0.07,23
Non-Penalty Goals - npxG,-0.08,15
Passes Completed,32.47,73
Passes Attempted,48.28,80
Pass Completion %,67.3,13
Total Passing Distance,715.39,93
Progressive Passing Distance,233.80,93
Passes Completed (Short),11.73,30
Passes Attempted (Short),14.18,30
Pass Completion % (Short),82.7,27
Passes Completed (Medium),11.48,75
Passes Attempted (Medium),16.01,83
Pass Completion % (Medium),71.7,24
Passes Completed (Long),8.34,99
Passes Attempted (Long),15.21,99
Pass Completion % (Long),54.9,71
Assists,0.43,96
xAG,0.39,96
Expected Assists,0.36,96
Key Passes,3.76,98
Passes into Final Third,3.73,79
Passes into Penalty Area,1.65,67
Crosses into Penalty Area,0.71,92
Progressive Passes,5.16,71
Passes Attempted,48.28,80
Live-ball passes,37.08,69
Dead-ball passes,10.82,99
Passes from Free Kicks,2.05,86
Through Balls,0.23,59
Switches,1.40,99
Crosses,11.25,99
Throw-Ins taken,1.82,95
Corner Kicks,6.92,99
Inswinging Corner Kicks,3.10,99
Outswinging Corner Kicks,2.48,99
Straight Corner Kicks,0.06,88
Passes Completed,32.47,73
Passes Offside,0.37,10
Passes Blocked,1.00,55
Shot-Creating Actions,6.89,99
SCA (PassLive),2.99,72
SCA (PassDead),2.56,99
SCA (TO),0.31,64
SCA (Sh),0.54,98
SCA (Fld),0.48,91
SCA (Def),0.00,20
Goal-Creating Actions,0.77,92
GCA (PassLive),0.43,82
GCA (PassDead),0.23,99
GCA (TO),0.00,25
GCA (Sh),0.11,95
GCA (Fld),0.00,27
GCA (Def),0.00,46
Tackles,0.68,9
Tackles Won,0.43,14
Tackles (Def 3rd),0.28,26
Tackles (Mid 3rd),0.28,13
Tackles (Att 3rd),0.11,10
Dribblers Tackled,0.23,5
Dribbles Challenged,0.83,14
% of dribblers tackled,27.6,13
Challenges Lost,0.60,77
Blocks,0.46,8
Shots Blocked,0.11,71
Passes Blocked,0.34,5
Interceptions,0.51,57
Tkl+Int,1.20,16
Clearances,0.51,56
Errors,0.00,54
Touches,59.67,81
Touches (Def Pen),0.66,46
Touches (Def 3rd),6.38,74
Touches (Mid 3rd),21.39,58
Touches (Att 3rd),32.75,91
Touches (Att Pen),2.39,16
Touches (Live-Ball),59.47,81
Take-Ons Attempted,2.31,32
Successful Take-Ons,0.88,26
Successful Take-On %,38.3,19
Times Tackled During Take-On,1.25,39
Tackled During Take-On Percentage,54.3,17
Carries,35.20,78
Total Carrying Distance,210.73,67
Progressive Carrying Distance,98.97,64
Progressive Carries,2.65,41
Carries into Final Third,2.05,54
Carries into Penalty Area,0.57,36
Miscontrols,1.85,78
Dispossessed,1.17,64
Passes Received,38.76,69
Progressive Passes Rec,8.89,77
Yellow Cards,0.14,55
Red Cards,0.03,16
Second Yellow Card,0.00,54
Fouls Committed,0.48,94
Fouls Drawn,2.51,86
Offsides,0.46,23
Crosses,11.25,99
Interceptions,0.51,57
Tackles Won,0.43,14
Penalty Kicks Won,0.00,33
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,4.67,56
Aerials won,0.66,66
Aerials lost,0.97,54
% of Aerials Won,40.4,68
