Non-Penalty Goals,0.00,21
Non-Penalty xG,0.04,53
Shots Total,0.70,63
Assists,0.09,55
xAG,0.08,45
npxG + xAG,0.12,44
Shot-Creating Actions,2.15,54
Passes Attempted,50.13,41
Pass Completion %,81.6,86
Progressive Passes,4.39,67
Progressive Carries,1.67,37
Successful Take-Ons,0.76,61
Touches (Att Pen),0.85,36
Progressive Passes Rec,3.45,36
Tackles,2.09,60
Interceptions,1.67,85
Blocks,1.21,74
Clearances,1.57,17
Aerials won,0.73,27
Goals,0.00,20
Assists,0.09,55
Goals + Assists,0.09,34
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.15,59
Red Cards,0.00,61
xG,0.04,51
Non-Penalty xG,0.04,53
xAG,0.08,45
npxG + xAG,0.12,44
Progressive Carries,1.67,37
Progressive Passes,4.39,67
Progressive Passes Rec,3.45,36
Goals,0.00,20
Shots Total,0.70,63
Shots on target,0.18,65
Shots on target %,26.1,52
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,23.50,25
Shots from free kicks,0.00,37
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
xG,0.04,51
Non-Penalty xG,0.04,53
npxG/Sh,0.06,49
Goals - xG,-0.04,11
Non-Penalty Goals - npxG,-0.04,11
Passes Completed,40.93,58
Passes Attempted,50.13,41
Pass Completion %,81.6,86
Total Passing Distance,710.68,61
Progressive Passing Distance,212.09,24
Passes Completed (Short),18.25,47
Passes Attempted (Short),20.49,44
Pass Completion % (Short),89.1,64
Passes Completed (Medium),18.62,76
Passes Attempted (Medium),21.43,65
Pass Completion % (Medium),86.9,94
Passes Completed (Long),3.39,46
Passes Attempted (Long),5.81,26
Pass Completion % (Long),58.3,83
Assists,0.09,55
xAG,0.08,45
Expected Assists,0.09,51
Key Passes,0.82,42
Passes into Final Third,3.78,78
Passes into Penalty Area,0.45,5
Crosses into Penalty Area,0.21,12
Progressive Passes,4.39,67
Passes Attempted,50.13,41
Live-ball passes,41.26,49
Dead-ball passes,8.78,30
Passes from Free Kicks,1.33,72
Through Balls,0.06,64
Switches,0.36,58
Crosses,1.94,20
Throw-Ins taken,7.33,23
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,32
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,47
Passes Completed,40.93,58
Passes Offside,0.09,71
Passes Blocked,1.42,25
Shot-Creating Actions,2.15,54
SCA (PassLive),1.76,64
SCA (PassDead),0.18,48
SCA (TO),0.06,51
SCA (Sh),0.03,21
SCA (Fld),0.09,63
SCA (Def),0.03,50
Goal-Creating Actions,0.18,49
GCA (PassLive),0.15,56
GCA (PassDead),0.00,34
GCA (TO),0.03,88
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,48
Tackles,2.09,60
Tackles Won,1.27,62
Tackles (Def 3rd),0.82,19
Tackles (Mid 3rd),0.85,81
Tackles (Att 3rd),0.42,95
Dribblers Tackled,1.00,48
Dribbles Challenged,2.30,77
% of dribblers tackled,43.4,5
Challenges Lost,1.30,10
Blocks,1.21,74
Shots Blocked,0.27,52
Passes Blocked,0.94,79
Interceptions,1.67,85
Tkl+Int,3.75,75
Clearances,1.57,17
Errors,0.00,65
Touches,60.36,39
Touches (Def Pen),3.12,48
Touches (Def 3rd),19.10,57
Touches (Mid 3rd),27.21,46
Touches (Att 3rd),14.83,39
Touches (Att Pen),0.85,36
Touches (Live-Ball),60.36,39
Take-Ons Attempted,1.82,70
Successful Take-Ons,0.76,61
Successful Take-On %,41.7,34
Times Tackled During Take-On,0.94,74
Tackled During Take-On Percentage,51.7,32
Carries,30.91,52
Total Carrying Distance,153.18,41
Progressive Carrying Distance,82.86,49
Progressive Carries,1.67,37
Carries into Final Third,1.12,32
Carries into Penalty Area,0.15,38
Miscontrols,1.15,52
Dispossessed,0.42,66
Passes Received,34.36,48
Progressive Passes Rec,3.45,36
Yellow Cards,0.15,59
Red Cards,0.00,61
Second Yellow Card,0.00,54
Fouls Committed,0.79,75
Fouls Drawn,0.91,51
Offsides,0.03,64
Crosses,1.94,20
Interceptions,1.67,85
Tackles Won,1.27,62
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.03,26
Own Goals,0.00,54
Ball Recoveries,6.48,84
Aerials won,0.73,27
Aerials lost,0.64,86
% of Aerials Won,53.3,58
