Non-Penalty Goals,0.00,21
Non-Penalty xG,0.02,27
Shots Total,0.69,62
Assists,0.00,7
xAG,0.06,26
npxG + xAG,0.08,20
Shot-Creating Actions,1.73,29
Passes Attempted,51.68,48
Pass Completion %,76.4,58
Progressive Passes,3.68,47
Progressive Carries,2.19,60
Successful Take-Ons,1.15,84
Touches (Att Pen),0.58,17
Progressive Passes Rec,4.60,62
Tackles,2.76,87
Interceptions,1.15,44
Blocks,1.15,69
Clearances,1.96,40
Aerials won,2.07,94
Goals,0.00,20
Assists,0.00,7
Goals + Assists,0.00,4
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.12,72
Red Cards,0.00,61
xG,0.02,26
Non-Penalty xG,0.02,27
xAG,0.06,26
npxG + xAG,0.08,20
Progressive Carries,2.19,60
Progressive Passes,3.68,47
Progressive Passes Rec,4.60,62
Goals,0.00,20
Shots Total,0.69,62
Shots on target,0.00,3
Shots on target %,0.0,3
Goals/Shot,0.00,21
Average Shot Distance,25.10,15
Shots from free kicks,0.00,37
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
xG,0.02,26
Non-Penalty xG,0.02,27
npxG/Sh,0.03,8
Goals - xG,-0.02,29
Non-Penalty Goals - npxG,-0.02,29
Passes Completed,39.48,52
Passes Attempted,51.68,48
Pass Completion %,76.4,58
Total Passing Distance,679.60,53
Progressive Passing Distance,197.15,15
Passes Completed (Short),17.49,41
Passes Attempted (Short),20.83,46
Pass Completion % (Short),84.0,13
Passes Completed (Medium),18.87,80
Passes Attempted (Medium),21.75,67
Pass Completion % (Medium),86.8,94
Passes Completed (Long),2.53,16
Passes Attempted (Long),6.79,39
Pass Completion % (Long),37.3,5
Assists,0.00,7
xAG,0.06,26
Expected Assists,0.03,3
Key Passes,0.81,40
Passes into Final Third,2.53,31
Passes into Penalty Area,1.04,58
Crosses into Penalty Area,0.35,32
Progressive Passes,3.68,47
Passes Attempted,51.68,48
Live-ball passes,41.09,48
Dead-ball passes,10.13,57
Passes from Free Kicks,1.04,58
Through Balls,0.00,17
Switches,0.35,55
Crosses,3.11,55
Throw-Ins taken,9.09,66
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,32
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,47
Passes Completed,39.48,52
Passes Offside,0.46,1
Passes Blocked,0.35,99
Shot-Creating Actions,1.73,29
SCA (PassLive),1.27,28
SCA (PassDead),0.12,35
SCA (TO),0.00,14
SCA (Sh),0.00,9
SCA (Fld),0.23,94
SCA (Def),0.12,96
Goal-Creating Actions,0.23,67
GCA (PassLive),0.12,37
GCA (PassDead),0.00,34
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.12,99
GCA (Def),0.00,48
Tackles,2.76,87
Tackles Won,1.84,92
Tackles (Def 3rd),1.04,43
Tackles (Mid 3rd),1.50,99
Tackles (Att 3rd),0.23,64
Dribblers Tackled,0.92,37
Dribbles Challenged,2.53,85
% of dribblers tackled,36.4,1
Challenges Lost,1.61,1
Blocks,1.15,69
Shots Blocked,0.12,14
Passes Blocked,1.04,88
Interceptions,1.15,44
Tkl+Int,3.91,80
Clearances,1.96,40
Errors,0.00,65
Touches,63.64,55
Touches (Def Pen),2.65,28
Touches (Def 3rd),18.64,51
Touches (Mid 3rd),30.38,69
Touches (Att 3rd),14.96,40
Touches (Att Pen),0.58,17
Touches (Live-Ball),63.64,55
Take-Ons Attempted,1.84,72
Successful Take-Ons,1.15,84
Successful Take-On %,62.5,94
Times Tackled During Take-On,0.69,59
Tackled During Take-On Percentage,37.5,79
Carries,31.76,56
Total Carrying Distance,171.71,58
Progressive Carrying Distance,88.50,55
Progressive Carries,2.19,60
Carries into Final Third,2.19,87
Carries into Penalty Area,0.12,27
Miscontrols,1.50,27
Dispossessed,0.35,79
Passes Received,35.56,56
Progressive Passes Rec,4.60,62
Yellow Cards,0.12,72
Red Cards,0.00,61
Second Yellow Card,0.00,54
Fouls Committed,1.50,15
Fouls Drawn,1.61,85
Offsides,0.00,83
Crosses,3.11,55
Interceptions,1.15,44
Tackles Won,1.84,92
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.12,1
Ball Recoveries,4.72,18
Aerials won,2.07,94
Aerials lost,1.50,10
% of Aerials Won,58.1,76
