Non-Penalty Goals,0.26,22
Non-Penalty xG,0.48,86
Shots Total,3.40,84
Assists,0.00,5
xAG,0.04,3
npxG + xAG,0.52,70
Shot-Creating Actions,2.48,60
Passes Attempted,17.76,22
Pass Completion %,61.8,13
Progressive Passes,1.57,40
Progressive Carries,1.31,55
Successful Take-Ons,0.78,58
Touches (Att Pen),5.36,78
Progressive Passes Rec,4.31,14
Tackles,0.91,82
Interceptions,0.39,88
Blocks,0.91,84
Clearances,0.91,66
Aerials won,2.61,63
Goals,0.26,14
Assists,0.00,5
Goals + Assists,0.26,5
Non-Penalty Goals,0.26,22
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.00,19
Yellow Cards,0.39,7
Red Cards,0.00,58
xG,0.48,74
Non-Penalty xG,0.48,86
xAG,0.04,3
npxG + xAG,0.52,70
Progressive Carries,1.31,55
Progressive Passes,1.57,40
Progressive Passes Rec,4.31,14
Goals,0.26,14
Shots Total,3.40,84
Shots on target,1.57,89
Shots on target %,46.2,88
Goals/Shot,0.08,8
Goals/Shot on target,0.17,3
Average Shot Distance,12.40,93
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.00,19
xG,0.48,74
Non-Penalty xG,0.48,86
npxG/Sh,0.14,61
Goals - xG,-0.22,1
Non-Penalty Goals - npxG,-0.22,1
Passes Completed,10.97,17
Passes Attempted,17.76,22
Pass Completion %,61.8,13
Total Passing Distance,169.68,27
Progressive Passing Distance,29.13,23
Passes Completed (Short),6.27,18
Passes Attempted (Short),9.54,26
Pass Completion % (Short),65.8,8
Passes Completed (Medium),2.87,13
Passes Attempted (Medium),4.31,14
Pass Completion % (Medium),66.7,33
Passes Completed (Long),1.18,75
Passes Attempted (Long),2.09,83
Pass Completion % (Long),56.3,41
Assists,0.00,5
xAG,0.04,3
Expected Assists,0.04,11
Key Passes,0.91,41
Passes into Final Third,1.05,51
Passes into Penalty Area,0.26,18
Crosses into Penalty Area,0.13,81
Progressive Passes,1.57,40
Passes Attempted,17.76,22
Live-ball passes,16.72,25
Dead-ball passes,0.78,29
Passes from Free Kicks,0.00,25
Through Balls,0.00,10
Switches,0.26,83
Crosses,0.39,42
Throw-Ins taken,0.00,8
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,46
Straight Corner Kicks,0.00,49
Passes Completed,10.97,17
Passes Offside,0.26,8
Passes Blocked,0.52,69
Shot-Creating Actions,2.48,60
SCA (PassLive),1.70,62
SCA (PassDead),0.00,34
SCA (TO),0.39,89
SCA (Sh),0.26,42
SCA (Fld),0.00,3
SCA (Def),0.13,99
Goal-Creating Actions,0.00,1
GCA (PassLive),0.00,3
GCA (PassDead),0.00,48
GCA (TO),0.00,27
GCA (Sh),0.00,18
GCA (Fld),0.00,27
GCA (Def),0.00,47
Tackles,0.91,82
Tackles Won,0.52,76
Tackles (Def 3rd),0.13,56
Tackles (Mid 3rd),0.39,68
Tackles (Att 3rd),0.39,92
Dribblers Tackled,0.26,66
Dribbles Challenged,0.91,82
% of dribblers tackled,28.6,42
Challenges Lost,0.65,16
Blocks,0.91,84
Shots Blocked,0.52,99
Passes Blocked,0.39,40
Interceptions,0.39,88
Tkl+Int,1.31,86
Clearances,0.91,66
Errors,0.00,51
Touches,29.91,34
Touches (Def Pen),1.31,81
Touches (Def 3rd),2.61,63
Touches (Mid 3rd),14.24,52
Touches (Att 3rd),13.72,22
Touches (Att Pen),5.36,78
Touches (Live-Ball),29.91,34
Take-Ons Attempted,1.57,46
Successful Take-Ons,0.78,58
Successful Take-On %,50.0,76
Times Tackled During Take-On,0.78,49
Tackled During Take-On Percentage,50.0,53
Carries,15.02,27
Total Carrying Distance,77.59,41
Progressive Carrying Distance,33.05,55
Progressive Carries,1.31,55
Carries into Final Third,0.65,28
Carries into Penalty Area,0.78,71
Miscontrols,2.87,38
Dispossessed,0.52,97
Passes Received,20.12,21
Progressive Passes Rec,4.31,14
Yellow Cards,0.39,7
Red Cards,0.00,58
Second Yellow Card,0.00,53
Fouls Committed,1.44,38
Fouls Drawn,1.05,31
Offsides,0.91,10
Crosses,0.39,42
Interceptions,0.39,88
Tackles Won,0.52,76
Penalty Kicks Won,0.00,28
Penalty Kicks Conceded,0.00,51
Own Goals,0.00,51
Ball Recoveries,2.35,49
Aerials won,2.61,63
Aerials lost,3.53,37
% of Aerials Won,42.6,55
