Non-Penalty Goals,0.00,21
Non-Penalty xG,0.03,20
Shots Total,0.52,49
Assists,0.13,99
xAG,0.08,96
npxG + xAG,0.11,79
Shot-Creating Actions,1.55,96
Passes Attempted,45.55,36
Pass Completion %,83.7,57
Progressive Passes,4.45,87
Progressive Carries,0.58,57
Successful Take-Ons,0.00,4
Touches (Att Pen),0.97,58
Progressive Passes Rec,0.19,50
Tackles,0.97,21
Interceptions,1.61,71
Blocks,0.97,26
Clearances,3.80,41
Aerials won,1.61,21
Goals,0.00,21
Assists,0.13,99
Goals + Assists,0.13,84
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.13,74
Red Cards,0.00,64
xG,0.03,19
Non-Penalty xG,0.03,20
xAG,0.08,96
npxG + xAG,0.11,79
Progressive Carries,0.58,57
Progressive Passes,4.45,87
Progressive Passes Rec,0.19,50
Goals,0.00,21
Shots Total,0.52,49
Shots on target,0.00,5
Shots on target %,0.0,5
Goals/Shot,0.00,21
Average Shot Distance,11.40,56
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.03,19
Non-Penalty xG,0.03,20
npxG/Sh,0.05,8
Goals - xG,-0.03,39
Non-Penalty Goals - npxG,-0.03,39
Passes Completed,38.14,43
Passes Attempted,45.55,36
Pass Completion %,83.7,57
Total Passing Distance,843.76,58
Progressive Passing Distance,329.01,61
Passes Completed (Short),9.21,18
Passes Attempted (Short),10.11,15
Pass Completion % (Short),91.1,69
Passes Completed (Medium),21.58,49
Passes Attempted (Medium),23.90,48
Pass Completion % (Medium),90.3,53
Passes Completed (Long),7.15,84
Passes Attempted (Long),10.57,74
Pass Completion % (Long),67.7,82
Assists,0.13,99
xAG,0.08,96
Expected Assists,0.04,77
Key Passes,0.32,74
Passes into Final Third,4.06,85
Passes into Penalty Area,0.45,92
Crosses into Penalty Area,0.00,29
Progressive Passes,4.45,87
Passes Attempted,45.55,36
Live-ball passes,43.29,38
Dead-ball passes,1.93,40
Passes from Free Kicks,1.74,66
Through Balls,0.00,29
Switches,0.26,24
Crosses,0.13,54
Throw-Ins taken,0.19,42
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,38.14,43
Passes Offside,0.32,2
Passes Blocked,0.26,68
Shot-Creating Actions,1.55,96
SCA (PassLive),1.42,98
SCA (PassDead),0.00,30
SCA (TO),0.00,40
SCA (Sh),0.06,51
SCA (Fld),0.00,37
SCA (Def),0.06,92
Goal-Creating Actions,0.32,99
GCA (PassLive),0.26,99
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.06,96
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,0.97,21
Tackles Won,0.26,1
Tackles (Def 3rd),0.64,23
Tackles (Mid 3rd),0.26,27
Tackles (Att 3rd),0.06,71
Dribblers Tackled,0.52,28
Dribbles Challenged,0.97,40
% of dribblers tackled,53.3,19
Challenges Lost,0.45,41
Blocks,0.97,26
Shots Blocked,0.52,20
Passes Blocked,0.45,55
Interceptions,1.61,71
Tkl+Int,2.58,41
Clearances,3.80,41
Errors,0.06,19
Touches,54.82,32
Touches (Def Pen),5.54,14
Touches (Def 3rd),25.71,16
Touches (Mid 3rd),27.25,62
Touches (Att 3rd),2.19,48
Touches (Att Pen),0.97,58
Touches (Live-Ball),54.82,32
Take-Ons Attempted,0.06,9
Successful Take-Ons,0.00,4
Successful Take-On %,0.0,4
Times Tackled During Take-On,0.00,10
Tackled During Take-On Percentage,0.0,90
Carries,33.24,61
Total Carrying Distance,178.13,67
Progressive Carrying Distance,106.94,69
Progressive Carries,0.58,57
Carries into Final Third,0.26,38
Carries into Penalty Area,0.00,25
Miscontrols,0.52,33
Dispossessed,0.13,52
Passes Received,35.69,51
Progressive Passes Rec,0.19,50
Yellow Cards,0.13,74
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,1.35,10
Fouls Drawn,0.77,77
Offsides,0.06,21
Crosses,0.13,54
Interceptions,1.61,71
Tackles Won,0.26,1
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.00,71
Own Goals,0.06,3
Ball Recoveries,3.93,12
Aerials won,1.61,21
Aerials lost,0.97,89
% of Aerials Won,62.5,61
