Non-Penalty Goals,0.14,96
Non-Penalty xG,0.07,85
Shots Total,0.51,40
Assists,0.14,77
xAG,0.25,98
npxG + xAG,0.32,96
Shot-Creating Actions,3.40,94
Passes Attempted,56.26,68
Pass Completion %,80.0,77
Progressive Passes,4.52,72
Progressive Carries,2.24,64
Successful Take-Ons,1.26,87
Touches (Att Pen),2.14,88
Progressive Passes Rec,6.85,90
Tackles,1.96,52
Interceptions,1.68,85
Blocks,1.12,66
Clearances,1.58,17
Aerials won,1.72,85
Goals,0.14,95
Assists,0.14,77
Goals + Assists,0.28,92
Non-Penalty Goals,0.14,96
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.14,62
Red Cards,0.00,61
xG,0.07,84
Non-Penalty xG,0.07,85
xAG,0.25,98
npxG + xAG,0.32,96
Progressive Carries,2.24,64
Progressive Passes,4.52,72
Progressive Passes Rec,6.85,90
Goals,0.14,95
Shots Total,0.51,40
Shots on target,0.37,91
Shots on target %,72.7,99
Goals/Shot,0.27,98
Goals/Shot on target,0.38,79
Average Shot Distance,16.30,80
Shots from free kicks,0.00,37
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
xG,0.07,84
Non-Penalty xG,0.07,85
npxG/Sh,0.15,97
Goals - xG,0.07,97
Non-Penalty Goals - npxG,0.07,97
Passes Completed,44.98,77
Passes Attempted,56.26,68
Pass Completion %,80.0,77
Total Passing Distance,775.46,77
Progressive Passing Distance,283.33,69
Passes Completed (Short),20.55,62
Passes Attempted (Short),22.79,59
Pass Completion % (Short),90.2,77
Passes Completed (Medium),18.92,80
Passes Attempted (Medium),23.26,80
Pass Completion % (Medium),81.4,68
Passes Completed (Long),4.57,79
Passes Attempted (Long),7.08,45
Pass Completion % (Long),64.5,94
Assists,0.14,77
xAG,0.25,98
Expected Assists,0.26,98
Key Passes,1.58,89
Passes into Final Third,3.54,71
Passes into Penalty Area,1.17,70
Crosses into Penalty Area,0.42,46
Progressive Passes,4.52,72
Passes Attempted,56.26,68
Live-ball passes,48.43,79
Dead-ball passes,7.50,11
Passes from Free Kicks,1.03,57
Through Balls,0.05,54
Switches,0.05,4
Crosses,3.03,54
Throw-Ins taken,6.39,10
Corner Kicks,0.09,59
Inswinging Corner Kicks,0.05,70
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,47
Passes Completed,44.98,77
Passes Offside,0.33,6
Passes Blocked,1.31,33
Shot-Creating Actions,3.40,94
SCA (PassLive),2.66,96
SCA (PassDead),0.19,50
SCA (TO),0.14,81
SCA (Sh),0.14,86
SCA (Fld),0.00,11
SCA (Def),0.28,99
Goal-Creating Actions,0.42,94
GCA (PassLive),0.33,95
GCA (PassDead),0.00,34
GCA (TO),0.05,93
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.05,99
Tackles,1.96,52
Tackles Won,1.26,60
Tackles (Def 3rd),0.89,26
Tackles (Mid 3rd),0.75,65
Tackles (Att 3rd),0.33,83
Dribblers Tackled,0.84,28
Dribbles Challenged,1.63,39
% of dribblers tackled,51.4,22
Challenges Lost,0.79,41
Blocks,1.12,66
Shots Blocked,0.28,54
Passes Blocked,0.84,66
Interceptions,1.68,85
Tkl+Int,3.64,72
Clearances,1.58,17
Errors,0.00,65
Touches,65.39,63
Touches (Def Pen),2.94,41
Touches (Def 3rd),19.39,62
Touches (Mid 3rd),28.94,61
Touches (Att 3rd),17.71,61
Touches (Att Pen),2.14,88
Touches (Live-Ball),65.39,63
Take-Ons Attempted,1.77,68
Successful Take-Ons,1.26,87
Successful Take-On %,71.1,99
Times Tackled During Take-On,0.47,31
Tackled During Take-On Percentage,26.3,98
Carries,34.68,72
Total Carrying Distance,183.82,66
Progressive Carrying Distance,98.72,68
Progressive Carries,2.24,64
Carries into Final Third,1.35,48
Carries into Penalty Area,0.37,74
Miscontrols,1.21,46
Dispossessed,0.37,75
Passes Received,39.34,72
Progressive Passes Rec,6.85,90
Yellow Cards,0.14,62
Red Cards,0.00,61
Second Yellow Card,0.00,54
Fouls Committed,1.07,46
Fouls Drawn,0.65,32
Offsides,0.19,10
Crosses,3.03,54
Interceptions,1.68,85
Tackles Won,1.26,60
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.00,54
Ball Recoveries,6.06,72
Aerials won,1.72,85
Aerials lost,1.35,18
% of Aerials Won,56.1,68
