Non-Penalty Goals,0.21,98
Non-Penalty xG,0.14,99
Shots Total,1.01,94
Assists,0.05,78
xAG,0.05,89
npxG + xAG,0.20,99
Shot-Creating Actions,1.06,83
Passes Attempted,51.45,60
Pass Completion %,89.6,95
Progressive Passes,3.88,81
Progressive Carries,0.67,63
Successful Take-Ons,0.28,75
Touches (Att Pen),1.48,90
Progressive Passes Rec,0.05,11
Tackles,1.29,51
Interceptions,1.35,49
Blocks,1.61,90
Clearances,3.29,18
Aerials won,3.00,75
Goals,0.21,97
Assists,0.05,78
Goals + Assists,0.26,98
Non-Penalty Goals,0.21,98
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.18,57
Red Cards,0.03,25
xG,0.14,97
Non-Penalty xG,0.14,99
xAG,0.05,89
npxG + xAG,0.20,99
Progressive Carries,0.67,63
Progressive Passes,3.88,81
Progressive Passes Rec,0.05,11
Goals,0.21,97
Shots Total,1.01,94
Shots on target,0.39,97
Shots on target %,38.5,82
Goals/Shot,0.21,92
Goals/Shot on target,0.53,82
Average Shot Distance,9.80,83
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.14,97
Non-Penalty xG,0.14,99
npxG/Sh,0.15,90
Goals - xG,0.06,95
Non-Penalty Goals - npxG,0.06,96
Passes Completed,46.09,72
Passes Attempted,51.45,60
Pass Completion %,89.6,95
Total Passing Distance,953.96,74
Progressive Passing Distance,344.57,67
Passes Completed (Short),12.27,50
Passes Attempted (Short),13.49,46
Pass Completion % (Short),91.0,68
Passes Completed (Medium),27.11,81
Passes Attempted (Medium),29.13,78
Pass Completion % (Medium),93.1,86
Passes Completed (Long),6.21,70
Passes Attempted (Long),7.90,35
Pass Completion % (Long),78.7,99
Assists,0.05,78
xAG,0.05,89
Expected Assists,0.03,55
Key Passes,0.31,72
Passes into Final Third,3.29,73
Passes into Penalty Area,0.08,33
Crosses into Penalty Area,0.00,29
Progressive Passes,3.88,81
Passes Attempted,51.45,60
Live-ball passes,50.13,65
Dead-ball passes,1.24,13
Passes from Free Kicks,1.19,36
Through Balls,0.00,29
Switches,0.36,37
Crosses,0.00,10
Throw-Ins taken,0.05,9
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,46.09,72
Passes Offside,0.08,63
Passes Blocked,0.13,92
Shot-Creating Actions,1.06,83
SCA (PassLive),0.98,88
SCA (PassDead),0.00,30
SCA (TO),0.00,40
SCA (Sh),0.08,60
SCA (Fld),0.00,37
SCA (Def),0.00,34
Goal-Creating Actions,0.10,72
GCA (PassLive),0.08,72
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.03,74
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,1.29,51
Tackles Won,0.75,46
Tackles (Def 3rd),0.83,44
Tackles (Mid 3rd),0.41,61
Tackles (Att 3rd),0.05,62
Dribblers Tackled,0.73,59
Dribbles Challenged,1.29,68
% of dribblers tackled,56.0,25
Challenges Lost,0.57,23
Blocks,1.61,90
Shots Blocked,0.80,63
Passes Blocked,0.80,96
Interceptions,1.35,49
Tkl+Int,2.64,45
Clearances,3.29,18
Errors,0.00,75
Touches,61.36,58
Touches (Def Pen),7.12,39
Touches (Def 3rd),29.44,39
Touches (Mid 3rd),30.09,76
Touches (Att 3rd),2.15,46
Touches (Att Pen),1.48,90
Touches (Live-Ball),61.36,59
Take-Ons Attempted,0.36,65
Successful Take-Ons,0.28,75
Successful Take-On %,78.6,76
Times Tackled During Take-On,0.08,50
Tackled During Take-On Percentage,21.4,66
Carries,35.32,68
Total Carrying Distance,179.53,67
Progressive Carrying Distance,109.21,72
Progressive Carries,0.67,63
Carries into Final Third,0.26,38
Carries into Penalty Area,0.00,25
Miscontrols,0.39,56
Dispossessed,0.03,88
Passes Received,41.01,69
Progressive Passes Rec,0.05,11
Yellow Cards,0.18,57
Red Cards,0.03,25
Second Yellow Card,0.00,57
Fouls Committed,0.96,39
Fouls Drawn,0.36,31
Offsides,0.05,29
Crosses,0.00,10
Interceptions,1.35,49
Tackles Won,0.75,46
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.00,71
Own Goals,0.03,19
Ball Recoveries,4.66,31
Aerials won,3.00,75
Aerials lost,1.35,64
% of Aerials Won,69.0,86
