player,url,position
Vanderlan,players/Palmeiras/vanderlan.csv,DF
Raphael Veiga,players/Palmeiras/raphael_veiga.csv,MF
Mayke,players/Palmeiras/mayke.csv,DFFW
José López,players/Palmeiras/josé_lópez.csv,FW
Benjamín Kuscevic,players/Palmeiras/benjamín_kuscevic.csv,DF
Marcos Rocha,players/Palmeiras/marcos_rocha.csv,DF
Jorge,players/Palmeiras/jorge.csv,DF
Zé Rafael,players/Palmeiras/zé_rafael.csv,MF
Rony,players/Palmeiras/rony.csv,FW
Murilo Cerqueira,players/Palmeiras/murilo_cerqueira.csv,DF
Gabriel Menino,players/Palmeiras/gabriel_menino.csv,MF
Danilo,players/Palmeiras/danilo.csv,MF
Gustavo Scarpa,players/Palmeiras/gustavo_scarpa.csv,MFFW
Joaquín Piquerez,players/Palmeiras/joaquín_piquerez.csv,DF
Gabriel Veron,players/Palmeiras/gabriel_veron.csv,FWMF
Rafael Navarro,players/Palmeiras/rafael_navarro.csv,FWMF
Wesley,players/Palmeiras/wesley.csv,FW
Eduard Atuesta,players/Palmeiras/eduard_atuesta.csv,MF
Dudu,players/Palmeiras/dudu.csv,FW
Gustavo Gómez,players/Palmeiras/gustavo_gómez.csv,DF
Gabriel Vieira,players/Palmeiras/gabriel_vieira.csv,FW
Breno,players/Palmeiras/breno.csv,FW
Wéverton,players/Palmeiras/wéverton.csv,GK
Luan Garcia,players/Palmeiras/luan_garcia.csv,DF
