Non-Penalty Goals,0.56,86
Non-Penalty xG,0.46,81
Shots Total,3.27,82
Assists,0.24,90
xAG,0.10,48
npxG + xAG,0.57,77
Shot-Creating Actions,2.00,28
Passes Attempted,14.37,8
Pass Completion %,61.7,12
Progressive Passes,2.00,64
Progressive Carries,1.28,54
Successful Take-Ons,1.28,87
Touches (Att Pen),5.75,86
Progressive Passes Rec,5.19,38
Tackles,1.84,99
Interceptions,0.00,1
Blocks,1.12,95
Clearances,0.48,21
Aerials won,2.24,53
Goals,0.56,77
Assists,0.24,90
Goals + Assists,0.80,86
Non-Penalty Goals,0.56,86
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.00,19
Yellow Cards,0.00,96
Red Cards,0.00,58
xG,0.46,70
Non-Penalty xG,0.46,81
xAG,0.10,48
npxG + xAG,0.57,77
Progressive Carries,1.28,54
Progressive Passes,2.00,64
Progressive Passes Rec,5.19,38
Goals,0.56,77
Shots Total,3.27,82
Shots on target,1.36,83
Shots on target %,41.5,64
Goals/Shot,0.17,77
Goals/Shot on target,0.41,65
Average Shot Distance,10.40,99
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.00,19
xG,0.46,70
Non-Penalty xG,0.46,81
npxG/Sh,0.14,61
Goals - xG,0.10,78
Non-Penalty Goals - npxG,0.10,78
Passes Completed,8.86,5
Passes Attempted,14.37,8
Pass Completion %,61.7,12
Total Passing Distance,135.84,12
Progressive Passing Distance,37.85,47
Passes Completed (Short),5.03,5
Passes Attempted (Short),7.27,9
Pass Completion % (Short),69.2,11
Passes Completed (Medium),2.48,5
Passes Attempted (Medium),3.19,3
Pass Completion % (Medium),77.5,77
Passes Completed (Long),0.72,49
Passes Attempted (Long),1.20,48
Pass Completion % (Long),60.0,50
Assists,0.24,90
xAG,0.10,48
Expected Assists,0.12,76
Key Passes,0.64,13
Passes into Final Third,0.88,40
Passes into Penalty Area,0.64,67
Crosses into Penalty Area,0.08,68
Progressive Passes,2.00,64
Passes Attempted,14.37,8
Live-ball passes,13.34,9
Dead-ball passes,0.88,34
Passes from Free Kicks,0.08,75
Through Balls,0.32,95
Switches,0.08,45
Crosses,0.80,75
Throw-Ins taken,0.00,8
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,46
Straight Corner Kicks,0.00,49
Passes Completed,8.86,5
Passes Offside,0.16,33
Passes Blocked,0.96,20
Shot-Creating Actions,2.00,28
SCA (PassLive),1.04,10
SCA (PassDead),0.00,34
SCA (TO),0.16,52
SCA (Sh),0.40,81
SCA (Fld),0.32,80
SCA (Def),0.08,92
Goal-Creating Actions,0.56,90
GCA (PassLive),0.32,89
GCA (PassDead),0.00,48
GCA (TO),0.08,85
GCA (Sh),0.00,18
GCA (Fld),0.16,97
GCA (Def),0.00,47
Tackles,1.84,99
Tackles Won,1.20,99
Tackles (Def 3rd),0.16,65
Tackles (Mid 3rd),1.12,99
Tackles (Att 3rd),0.56,99
Dribblers Tackled,0.32,77
Dribbles Challenged,0.96,84
% of dribblers tackled,33.3,58
Challenges Lost,0.64,18
Blocks,1.12,95
Shots Blocked,0.00,7
Passes Blocked,1.12,96
Interceptions,0.00,1
Tkl+Int,1.84,97
Clearances,0.48,21
Errors,0.00,51
Touches,28.03,22
Touches (Def Pen),0.56,20
Touches (Def 3rd),1.84,25
Touches (Mid 3rd),10.22,12
Touches (Att 3rd),16.69,61
Touches (Att Pen),5.75,86
Touches (Live-Ball),28.03,22
Take-Ons Attempted,1.92,65
Successful Take-Ons,1.28,87
Successful Take-On %,66.7,98
Times Tackled During Take-On,0.64,32
Tackled During Take-On Percentage,33.3,94
Carries,14.77,25
Total Carrying Distance,72.91,36
Progressive Carrying Distance,29.55,41
Progressive Carries,1.28,54
Carries into Final Third,0.48,17
Carries into Penalty Area,0.88,77
Miscontrols,3.27,26
Dispossessed,1.28,47
Passes Received,17.17,9
Progressive Passes Rec,5.19,38
Yellow Cards,0.00,96
Red Cards,0.00,58
Second Yellow Card,0.00,53
Fouls Committed,4.31,1
Fouls Drawn,1.76,76
Offsides,0.72,23
Crosses,0.80,75
Interceptions,0.00,1
Tackles Won,1.20,99
Penalty Kicks Won,0.08,86
Penalty Kicks Conceded,0.00,51
Own Goals,0.00,51
Ball Recoveries,2.80,73
Aerials won,2.24,53
Aerials lost,4.63,16
% of Aerials Won,32.6,21
