Non-Penalty Goals,0.30,79
Non-Penalty xG,0.20,53
Shots Total,2.58,70
Assists,0.15,38
xAG,0.17,45
npxG + xAG,0.38,46
Shot-Creating Actions,4.46,71
Passes Attempted,36.65,51
Pass Completion %,79.7,88
Progressive Passes,5.15,71
Progressive Carries,2.23,25
Successful Take-Ons,1.54,60
Touches (Att Pen),2.97,32
Progressive Passes Rec,5.75,23
Tackles,0.84,18
Interceptions,0.40,33
Blocks,0.45,7
Clearances,0.54,57
Aerials won,0.40,37
Goals,0.45,89
Assists,0.15,38
Goals + Assists,0.59,83
Non-Penalty Goals,0.30,79
Penalty Kicks Made,0.15,91
Penalty Kicks Attempted,0.20,94
Yellow Cards,0.05,93
Red Cards,0.00,59
xG,0.36,87
Non-Penalty xG,0.20,53
xAG,0.17,45
npxG + xAG,0.38,46
Progressive Carries,2.23,25
Progressive Passes,5.15,71
Progressive Passes Rec,5.75,23
Goals,0.45,89
Shots Total,2.58,70
Shots on target,0.74,48
Shots on target %,28.8,21
Goals/Shot,0.12,65
Goals/Shot on target,0.40,79
Average Shot Distance,22.90,10
Shots from free kicks,0.20,77
Penalty Kicks Made,0.15,91
Penalty Kicks Attempted,0.20,94
xG,0.36,87
Non-Penalty xG,0.20,53
npxG/Sh,0.08,37
Goals - xG,0.08,79
Non-Penalty Goals - npxG,0.09,82
Passes Completed,29.22,63
Passes Attempted,36.65,51
Pass Completion %,79.7,88
Total Passing Distance,498.69,68
Progressive Passing Distance,136.71,63
Passes Completed (Short),14.12,52
Passes Attempted (Short),15.80,46
Pass Completion % (Short),89.3,88
Passes Completed (Medium),10.95,72
Passes Attempted (Medium),13.08,64
Pass Completion % (Medium),83.7,93
Passes Completed (Long),3.22,72
Passes Attempted (Long),5.35,59
Pass Completion % (Long),60.2,86
Assists,0.15,38
xAG,0.17,45
Expected Assists,0.15,39
Key Passes,2.28,76
Passes into Final Third,3.32,75
Passes into Penalty Area,0.99,27
Crosses into Penalty Area,0.30,52
Progressive Passes,5.15,71
Passes Attempted,36.65,51
Live-ball passes,32.39,48
Dead-ball passes,4.01,65
Passes from Free Kicks,0.69,57
Through Balls,0.20,52
Switches,0.40,68
Crosses,3.47,56
Throw-Ins taken,0.10,9
Corner Kicks,2.23,68
Inswinging Corner Kicks,0.69,57
Outswinging Corner Kicks,0.89,78
Straight Corner Kicks,0.00,38
Passes Completed,29.22,63
Passes Offside,0.25,32
Passes Blocked,0.79,78
Shot-Creating Actions,4.46,71
SCA (PassLive),2.67,57
SCA (PassDead),0.99,83
SCA (TO),0.20,39
SCA (Sh),0.35,84
SCA (Fld),0.20,51
SCA (Def),0.05,66
Goal-Creating Actions,0.45,61
GCA (PassLive),0.25,42
GCA (PassDead),0.15,96
GCA (TO),0.00,25
GCA (Sh),0.05,67
GCA (Fld),0.00,27
GCA (Def),0.00,46
Tackles,0.84,18
Tackles Won,0.64,39
Tackles (Def 3rd),0.15,7
Tackles (Mid 3rd),0.54,48
Tackles (Att 3rd),0.15,19
Dribblers Tackled,0.35,21
Dribbles Challenged,1.14,34
% of dribblers tackled,30.4,18
Challenges Lost,0.79,54
Blocks,0.45,7
Shots Blocked,0.00,9
Passes Blocked,0.45,12
Interceptions,0.40,33
Tkl+Int,1.24,18
Clearances,0.54,57
Errors,0.00,54
Touches,47.25,48
Touches (Def Pen),0.59,39
Touches (Def 3rd),3.81,14
Touches (Mid 3rd),24.91,75
Touches (Att 3rd),19.07,26
Touches (Att Pen),2.97,32
Touches (Live-Ball),47.06,46
Take-Ons Attempted,2.43,35
Successful Take-Ons,1.54,60
Successful Take-On %,63.3,96
Times Tackled During Take-On,0.69,12
Tackled During Take-On Percentage,28.6,97
Carries,30.91,50
Total Carrying Distance,157.81,29
Progressive Carrying Distance,76.08,31
Progressive Carries,2.23,25
Carries into Final Third,1.68,30
Carries into Penalty Area,0.15,3
Miscontrols,2.33,51
Dispossessed,1.78,22
Passes Received,36.60,62
Progressive Passes Rec,5.75,23
Yellow Cards,0.05,93
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,1.04,47
Fouls Drawn,2.43,83
Offsides,0.20,56
Crosses,3.47,56
Interceptions,0.40,33
Tackles Won,0.64,39
Penalty Kicks Won,0.00,33
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,3.62,12
Aerials won,0.40,37
Aerials lost,0.74,68
% of Aerials Won,34.8,51
