Non-Penalty Goals,0.55,85
Non-Penalty xG,0.52,91
Shots Total,3.11,76
Assists,0.09,42
xAG,0.15,77
npxG + xAG,0.67,88
Shot-Creating Actions,2.27,46
Passes Attempted,14.90,9
Pass Completion %,65.2,31
Progressive Passes,1.16,15
Progressive Carries,1.69,76
Successful Take-Ons,0.47,27
Touches (Att Pen),5.32,76
Progressive Passes Rec,6.55,74
Tackles,0.76,69
Interceptions,0.26,67
Blocks,0.64,60
Clearances,0.76,48
Aerials won,1.28,26
Non-Penalty Goals,0.55,98
Non-Penalty xG,0.52,99
Shots Total,3.11,93
Assists,0.09,20
xAG,0.15,33
npxG + xAG,0.67,98
Shot-Creating Actions,2.27,9
Passes Attempted,14.90,1
Pass Completion %,65.2,9
Progressive Passes,1.16,1
Progressive Carries,1.69,15
Successful Take-Ons,0.47,5
Touches (Att Pen),5.32,95
Progressive Passes Rec,6.55,34
Tackles,0.76,13
Interceptions,0.26,8
Blocks,0.64,23
Clearances,0.76,75
Aerials won,1.28,85
Goals,0.55,76
Assists,0.09,42
Goals + Assists,0.64,70
Non-Penalty Goals,0.55,85
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.00,19
Yellow Cards,0.15,50
Red Cards,0.00,58
xG,0.52,80
Non-Penalty xG,0.52,91
xAG,0.15,77
npxG + xAG,0.67,88
Progressive Carries,1.69,76
Progressive Passes,1.16,15
Progressive Passes Rec,6.55,74
Goals,0.55,76
Shots Total,3.11,76
Shots on target,1.22,72
Shots on target %,39.3,52
Goals/Shot,0.18,83
Goals/Shot on target,0.45,77
Average Shot Distance,13.00,81
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.00,19
xG,0.52,80
Non-Penalty xG,0.52,91
npxG/Sh,0.17,87
Goals - xG,0.03,55
Non-Penalty Goals - npxG,0.03,57
Passes Completed,9.72,10
Passes Attempted,14.90,9
Pass Completion %,65.2,31
Total Passing Distance,135.04,11
Progressive Passing Distance,28.78,20
Passes Completed (Short),5.85,11
Passes Attempted (Short),7.62,10
Pass Completion % (Short),76.7,49
Passes Completed (Medium),2.97,14
Passes Attempted (Medium),4.16,9
Pass Completion % (Medium),71.3,51
Passes Completed (Long),0.38,16
Passes Attempted (Long),1.22,49
Pass Completion % (Long),31.0,4
Assists,0.09,42
xAG,0.15,77
Expected Assists,0.12,78
Key Passes,1.02,59
Passes into Final Third,0.64,20
Passes into Penalty Area,0.58,59
Crosses into Penalty Area,0.17,89
Progressive Passes,1.16,15
Passes Attempted,14.90,9
Live-ball passes,14.03,11
Dead-ball passes,0.81,31
Passes from Free Kicks,0.06,67
Through Balls,0.06,44
Switches,0.20,75
Crosses,1.28,89
Throw-Ins taken,0.23,79
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,46
Straight Corner Kicks,0.00,49
Passes Completed,9.72,10
Passes Offside,0.06,76
Passes Blocked,0.58,59
Shot-Creating Actions,2.27,46
SCA (PassLive),1.51,42
SCA (PassDead),0.00,34
SCA (TO),0.15,45
SCA (Sh),0.23,34
SCA (Fld),0.38,87
SCA (Def),0.00,23
Goal-Creating Actions,0.29,53
GCA (PassLive),0.15,41
GCA (PassDead),0.00,48
GCA (TO),0.03,55
GCA (Sh),0.06,68
GCA (Fld),0.06,78
GCA (Def),0.00,47
Tackles,0.76,69
Tackles Won,0.35,54
Tackles (Def 3rd),0.15,61
Tackles (Mid 3rd),0.32,55
Tackles (Att 3rd),0.29,76
Dribblers Tackled,0.26,66
Dribbles Challenged,1.02,87
% of dribblers tackled,25.7,34
Challenges Lost,0.76,9
Blocks,0.64,60
Shots Blocked,0.03,15
Passes Blocked,0.61,68
Interceptions,0.26,67
Tkl+Int,1.02,70
Clearances,0.76,48
Errors,0.00,51
Touches,25.75,12
Touches (Def Pen),0.73,31
Touches (Def 3rd),2.12,38
Touches (Mid 3rd),8.29,2
Touches (Att 3rd),15.77,49
Touches (Att Pen),5.32,76
Touches (Live-Ball),25.75,12
Take-Ons Attempted,1.34,35
Successful Take-Ons,0.47,27
Successful Take-On %,34.8,26
Times Tackled During Take-On,0.76,45
Tackled During Take-On Percentage,56.5,32
Carries,14.84,26
Total Carrying Distance,85.81,50
Progressive Carrying Distance,37.89,64
Progressive Carries,1.69,76
Carries into Final Third,0.93,59
Carries into Penalty Area,0.81,72
Miscontrols,2.39,64
Dispossessed,0.70,90
Passes Received,18.51,12
Progressive Passes Rec,6.55,74
Yellow Cards,0.15,50
Red Cards,0.00,58
Second Yellow Card,0.00,53
Fouls Committed,1.48,33
Fouls Drawn,1.37,55
Offsides,0.96,8
Crosses,1.28,89
Interceptions,0.26,67
Tackles Won,0.35,54
Penalty Kicks Won,0.03,59
Penalty Kicks Conceded,0.00,51
Own Goals,0.00,51
Ball Recoveries,2.30,45
Aerials won,1.28,26
Aerials lost,2.71,62
% of Aerials Won,32.1,19
Goals,0.55,96
Assists,0.09,20
Goals + Assists,0.64,87
Non-Penalty Goals,0.55,98
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.15,54
Red Cards,0.00,59
xG,0.52,99
Non-Penalty xG,0.52,99
xAG,0.15,33
npxG + xAG,0.67,98
Progressive Carries,1.69,15
Progressive Passes,1.16,1
Progressive Passes Rec,6.55,34
Goals,0.55,96
Shots Total,3.11,93
Shots on target,1.22,96
Shots on target %,39.3,77
Goals/Shot,0.18,89
Goals/Shot on target,0.45,87
Average Shot Distance,13.00,96
Shots from free kicks,0.00,20
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.52,99
Non-Penalty xG,0.52,99
npxG/Sh,0.17,95
Goals - xG,0.03,64
Non-Penalty Goals - npxG,0.03,65
Passes Completed,9.72,1
Passes Attempted,14.90,1
Pass Completion %,65.2,9
Total Passing Distance,135.04,1
Progressive Passing Distance,28.78,1
Passes Completed (Short),5.85,1
Passes Attempted (Short),7.62,1
Pass Completion % (Short),76.7,5
Passes Completed (Medium),2.97,1
Passes Attempted (Medium),4.16,1
Pass Completion % (Medium),71.3,21
Passes Completed (Long),0.38,1
Passes Attempted (Long),1.22,3
Pass Completion % (Long),31.0,2
Assists,0.09,20
xAG,0.15,33
Expected Assists,0.12,22
Key Passes,1.02,16
Passes into Final Third,0.64,2
Passes into Penalty Area,0.58,5
Crosses into Penalty Area,0.17,24
Progressive Passes,1.16,1
Passes Attempted,14.90,1
Live-ball passes,14.03,1
Dead-ball passes,0.81,20
Passes from Free Kicks,0.06,13
Through Balls,0.06,11
Switches,0.20,43
Crosses,1.28,18
Throw-Ins taken,0.23,24
Corner Kicks,0.00,9
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,18
Straight Corner Kicks,0.00,38
Passes Completed,9.72,1
Passes Offside,0.06,88
Passes Blocked,0.58,92
Shot-Creating Actions,2.27,9
SCA (PassLive),1.51,8
SCA (PassDead),0.00,11
SCA (TO),0.15,28
SCA (Sh),0.23,51
SCA (Fld),0.38,85
SCA (Def),0.00,20
Goal-Creating Actions,0.29,26
GCA (PassLive),0.15,19
GCA (PassDead),0.00,29
GCA (TO),0.03,52
GCA (Sh),0.06,70
GCA (Fld),0.06,81
GCA (Def),0.00,46
Tackles,0.76,13
Tackles Won,0.35,7
Tackles (Def 3rd),0.15,5
Tackles (Mid 3rd),0.32,19
Tackles (Att 3rd),0.29,56
Dribblers Tackled,0.26,9
Dribbles Challenged,1.02,27
% of dribblers tackled,25.7,9
Challenges Lost,0.76,57
Blocks,0.64,23
Shots Blocked,0.03,20
Passes Blocked,0.61,30
Interceptions,0.26,8
Tkl+Int,1.02,8
Clearances,0.76,75
Errors,0.00,54
Touches,25.75,1
Touches (Def Pen),0.73,55
Touches (Def 3rd),2.12,1
Touches (Mid 3rd),8.29,1
Touches (Att 3rd),15.77,5
Touches (Att Pen),5.32,95
Touches (Live-Ball),25.75,1
Take-Ons Attempted,1.34,8
Successful Take-Ons,0.47,5
Successful Take-On %,34.8,12
Times Tackled During Take-On,0.76,13
Tackled During Take-On Percentage,56.5,12
Carries,14.84,1
Total Carrying Distance,85.81,2
Progressive Carrying Distance,37.89,2
Progressive Carries,1.69,15
Carries into Final Third,0.93,6
Carries into Penalty Area,0.81,47
Miscontrols,2.39,47
Dispossessed,0.70,96
Passes Received,18.51,1
Progressive Passes Rec,6.55,34
Yellow Cards,0.15,54
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,1.48,17
Fouls Drawn,1.37,31
Offsides,0.96,2
Crosses,1.28,18
Interceptions,0.26,8
Tackles Won,0.35,7
Penalty Kicks Won,0.03,66
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,2.30,1
Aerials won,1.28,85
Aerials lost,2.71,2
% of Aerials Won,32.1,39
