Non-Penalty Goals,0.13,94
Non-Penalty xG,0.09,91
Shots Total,0.64,57
Assists,0.13,72
xAG,0.13,78
npxG + xAG,0.20,82
Shot-Creating Actions,1.91,38
Passes Attempted,45.19,24
Pass Completion %,75.8,54
Progressive Passes,3.44,37
Progressive Carries,2.42,69
Successful Take-Ons,0.13,4
Touches (Att Pen),0.89,37
Progressive Passes Rec,4.46,62
Tackles,2.55,82
Interceptions,2.29,98
Blocks,0.38,1
Clearances,1.40,13
Aerials won,0.76,30
Goals,0.13,93
Assists,0.13,72
Goals + Assists,0.25,90
Non-Penalty Goals,0.13,94
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.00,97
Red Cards,0.00,61
xG,0.09,90
Non-Penalty xG,0.09,91
xAG,0.13,78
npxG + xAG,0.20,82
Progressive Carries,2.42,69
Progressive Passes,3.44,37
Progressive Passes Rec,4.46,62
Goals,0.13,93
Shots Total,0.64,57
Shots on target,0.51,97
Shots on target %,80.0,99
Goals/Shot,0.20,95
Goals/Shot on target,0.25,59
Average Shot Distance,27.70,5
Shots from free kicks,0.00,37
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
xG,0.09,90
Non-Penalty xG,0.09,91
npxG/Sh,0.14,95
Goals - xG,0.04,89
Non-Penalty Goals - npxG,0.04,89
Passes Completed,34.24,31
Passes Attempted,45.19,24
Pass Completion %,75.8,54
Total Passing Distance,566.35,22
Progressive Passing Distance,195.53,14
Passes Completed (Short),16.29,32
Passes Attempted (Short),17.95,28
Pass Completion % (Short),90.8,82
Passes Completed (Medium),15.02,44
Passes Attempted (Medium),18.20,33
Pass Completion % (Medium),82.5,73
Passes Completed (Long),2.29,10
Passes Attempted (Long),6.24,32
Pass Completion % (Long),36.7,5
Assists,0.13,72
xAG,0.13,78
Expected Assists,0.11,65
Key Passes,1.15,71
Passes into Final Third,2.42,25
Passes into Penalty Area,1.65,93
Crosses into Penalty Area,0.89,92
Progressive Passes,3.44,37
Passes Attempted,45.19,24
Live-ball passes,38.32,33
Dead-ball passes,6.75,7
Passes from Free Kicks,1.02,56
Through Balls,0.00,17
Switches,0.00,1
Crosses,3.69,72
Throw-Ins taken,5.73,7
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,32
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,47
Passes Completed,34.24,31
Passes Offside,0.13,58
Passes Blocked,1.40,26
Shot-Creating Actions,1.91,38
SCA (PassLive),1.78,67
SCA (PassDead),0.00,4
SCA (TO),0.00,14
SCA (Sh),0.00,9
SCA (Fld),0.13,78
SCA (Def),0.00,23
Goal-Creating Actions,0.13,26
GCA (PassLive),0.13,42
GCA (PassDead),0.00,34
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,48
Tackles,2.55,82
Tackles Won,1.40,72
Tackles (Def 3rd),1.15,55
Tackles (Mid 3rd),1.02,90
Tackles (Att 3rd),0.38,92
Dribblers Tackled,0.89,33
Dribbles Challenged,1.40,24
% of dribblers tackled,63.6,72
Challenges Lost,0.51,76
Blocks,0.38,1
Shots Blocked,0.13,17
Passes Blocked,0.25,1
Interceptions,2.29,98
Tkl+Int,4.84,93
Clearances,1.40,13
Errors,0.00,65
Touches,53.72,16
Touches (Def Pen),1.91,6
Touches (Def 3rd),13.88,10
Touches (Mid 3rd),26.22,37
Touches (Att 3rd),14.26,36
Touches (Att Pen),0.89,37
Touches (Live-Ball),53.72,16
Take-Ons Attempted,0.76,15
Successful Take-Ons,0.13,4
Successful Take-On %,16.7,1
Times Tackled During Take-On,0.64,53
Tackled During Take-On Percentage,83.3,1
Carries,31.70,56
Total Carrying Distance,191.71,71
Progressive Carrying Distance,111.26,80
Progressive Carries,2.42,69
Carries into Final Third,1.40,52
Carries into Penalty Area,0.38,75
Miscontrols,0.38,99
Dispossessed,0.38,73
Passes Received,30.55,31
Progressive Passes Rec,4.46,62
Yellow Cards,0.00,97
Red Cards,0.00,61
Second Yellow Card,0.00,54
Fouls Committed,1.65,9
Fouls Drawn,1.15,67
Offsides,0.00,83
Crosses,3.69,72
Interceptions,2.29,98
Tackles Won,1.40,72
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.00,54
Ball Recoveries,4.46,12
Aerials won,0.76,30
Aerials lost,1.02,43
% of Aerials Won,42.9,24
