Non-Penalty Goals,0.09,13
Non-Penalty xG,0.27,79
Shots Total,3.17,94
Assists,0.43,97
xAG,0.25,77
npxG + xAG,0.52,86
Shot-Creating Actions,4.71,77
Passes Attempted,28.71,25
Pass Completion %,66.0,9
Progressive Passes,3.69,45
Progressive Carries,4.71,91
Successful Take-Ons,2.83,94
Touches (Att Pen),5.49,95
Progressive Passes Rec,9.77,88
Tackles,1.71,74
Interceptions,0.34,22
Blocks,0.77,35
Clearances,0.77,76
Aerials won,1.63,90
Goals,0.09,10
Assists,0.43,97
Goals + Assists,0.51,67
Non-Penalty Goals,0.09,13
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.34,6
Red Cards,0.00,59
xG,0.27,69
Non-Penalty xG,0.27,79
xAG,0.25,77
npxG + xAG,0.52,86
Progressive Carries,4.71,91
Progressive Passes,3.69,45
Progressive Passes Rec,9.77,88
Goals,0.09,10
Shots Total,3.17,94
Shots on target,0.77,55
Shots on target %,24.3,7
Goals/Shot,0.03,6
Goals/Shot on target,0.11,8
Average Shot Distance,17.70,65
Shots from free kicks,0.00,20
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.27,69
Non-Penalty xG,0.27,79
npxG/Sh,0.09,50
Goals - xG,-0.19,2
Non-Penalty Goals - npxG,-0.19,1
Passes Completed,18.94,16
Passes Attempted,28.71,25
Pass Completion %,66.0,9
Total Passing Distance,354.00,36
Progressive Passing Distance,93.00,36
Passes Completed (Short),8.31,5
Passes Attempted (Short),11.14,8
Pass Completion % (Short),74.6,2
Passes Completed (Medium),8.06,45
Passes Attempted (Medium),10.89,43
Pass Completion % (Medium),74.0,33
Passes Completed (Long),2.40,57
Passes Attempted (Long),4.20,45
Pass Completion % (Long),57.1,79
Assists,0.43,97
xAG,0.25,77
Expected Assists,0.28,85
Key Passes,1.89,58
Passes into Final Third,1.63,29
Passes into Penalty Area,0.86,19
Crosses into Penalty Area,0.34,64
Progressive Passes,3.69,45
Passes Attempted,28.71,25
Live-ball passes,25.46,19
Dead-ball passes,2.91,52
Passes from Free Kicks,0.09,17
Through Balls,0.09,21
Switches,0.09,13
Crosses,4.03,63
Throw-Ins taken,1.80,95
Corner Kicks,1.03,48
Inswinging Corner Kicks,0.17,40
Outswinging Corner Kicks,0.69,70
Straight Corner Kicks,0.00,38
Passes Completed,18.94,16
Passes Offside,0.34,12
Passes Blocked,1.37,18
Shot-Creating Actions,4.71,77
SCA (PassLive),2.66,55
SCA (PassDead),0.51,64
SCA (TO),0.77,98
SCA (Sh),0.34,83
SCA (Fld),0.34,80
SCA (Def),0.09,84
Goal-Creating Actions,0.60,82
GCA (PassLive),0.43,83
GCA (PassDead),0.09,86
GCA (TO),0.00,25
GCA (Sh),0.09,88
GCA (Fld),0.00,27
GCA (Def),0.00,46
Tackles,1.71,74
Tackles Won,1.20,86
Tackles (Def 3rd),0.69,80
Tackles (Mid 3rd),0.51,45
Tackles (Att 3rd),0.51,91
Dribblers Tackled,0.94,93
Dribbles Challenged,1.37,48
% of dribblers tackled,68.8,99
Challenges Lost,0.43,90
Blocks,0.77,35
Shots Blocked,0.00,9
Passes Blocked,0.77,50
Interceptions,0.34,22
Tkl+Int,2.06,63
Clearances,0.77,76
Errors,0.00,54
Touches,45.00,37
Touches (Def Pen),1.29,87
Touches (Def 3rd),5.83,63
Touches (Mid 3rd),14.14,13
Touches (Att 3rd),25.80,64
Touches (Att Pen),5.49,95
Touches (Live-Ball),45.00,37
Take-Ons Attempted,5.83,95
Successful Take-Ons,2.83,94
Successful Take-On %,48.5,60
Times Tackled During Take-On,2.91,98
Tackled During Take-On Percentage,50.0,33
Carries,27.26,38
Total Carrying Distance,209.31,65
Progressive Carrying Distance,106.03,73
Progressive Carries,4.71,91
Carries into Final Third,1.89,43
Carries into Penalty Area,1.80,94
Miscontrols,2.57,35
Dispossessed,0.94,85
Passes Received,28.37,25
Progressive Passes Rec,9.77,88
Yellow Cards,0.34,6
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,1.29,29
Fouls Drawn,2.66,90
Offsides,0.51,16
Crosses,4.03,63
Interceptions,0.34,22
Tackles Won,1.20,86
Penalty Kicks Won,0.00,33
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,5.49,75
Aerials won,1.63,90
Aerials lost,1.29,33
% of Aerials Won,55.9,96
