PSxG-GA,0.21,84
Goals Against,0.70,98
Save Percentage,80.4,91
PSxG/SoT,0.25,20
Save% (Penalty Kicks),0.0,26
Clean Sheet Percentage,47.8,91
Touches,32.83,40
Launch %,36.1,36
Goal Kicks,7.00,21
Avg. Length of Goal Kicks,35.1,12
Crosses Stopped %,6.5,66
Def. Actions Outside Pen. Area,0.89,47
Avg. Distance of Def. Actions,14.9,73
Goals Against,0.70,98
Shots on Target Against,3.11,10
Saves,2.48,27
Save Percentage,80.4,91
Wins,0.63,93
Draws,0.30,66
Losses,0.07,1
Clean Sheets,0.48,91
Clean Sheet Percentage,47.8,91
Penalty Kicks Attempted,0.09,30
Penalty Kicks Allowed,0.09,55
Penalty Kicks Saved,0.00,26
Penalty Kicks Missed,0.00,39
Save% (Penalty Kicks),0.0,26
Goals Against,0.70,98
Penalty Kicks Allowed,0.09,55
Free Kick Goals Against,0.04,27
Corner Kick Goals Against,0.09,80
Own Goals Scored Against Goalkeeper,0.07,14
Post-Shot Expected Goals,0.84,93
PSxG/SoT,0.25,20
PSxG-GA,0.21,84
Passes Completed (Launched),3.85,20
Passes Attempted (Launched),11.24,24
Pass Completion Percentage (Launched),34.2,28
Passes Attempted,24.20,51
Throws Attempted,4.41,52
Launch %,36.1,36
Average Pass Length,34.4,35
Goal Kicks,7.00,21
Launch% (Goal Kicks),35.7,11
Avg. Length of Goal Kicks,35.1,12
Crosses Faced,12.02,16
Crosses Stopped,0.78,48
Crosses Stopped %,6.5,66
Def. Actions Outside Pen. Area,0.89,47
Avg. Distance of Def. Actions,14.9,73
