Non-Penalty Goals,0.11,75
Non-Penalty xG,0.13,85
Shots Total,1.87,91
Assists,0.03,27
xAG,0.09,58
npxG + xAG,0.22,75
Shot-Creating Actions,2.70,68
Passes Attempted,42.53,34
Pass Completion %,86.9,87
Progressive Passes,3.80,20
Progressive Carries,1.63,73
Successful Take-Ons,1.42,93
Touches (Att Pen),2.00,86
Progressive Passes Rec,2.41,66
Tackles,2.33,66
Interceptions,0.94,37
Blocks,0.86,23
Clearances,0.75,23
Aerials won,1.12,70
Goals,0.11,73
Assists,0.03,27
Goals + Assists,0.13,52
Non-Penalty Goals,0.11,75
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.37,16
Red Cards,0.03,24
xG,0.13,83
Non-Penalty xG,0.13,85
xAG,0.09,58
npxG + xAG,0.22,75
Progressive Carries,1.63,73
Progressive Passes,3.80,20
Progressive Passes Rec,2.41,66
Goals,0.11,73
Shots Total,1.87,91
Shots on target,0.43,76
Shots on target %,22.9,38
Goals/Shot,0.06,53
Goals/Shot on target,0.25,58
Average Shot Distance,19.70,71
Shots from free kicks,0.16,87
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.13,83
Non-Penalty xG,0.13,85
npxG/Sh,0.07,60
Goals - xG,-0.02,33
Non-Penalty Goals - npxG,-0.02,33
Passes Completed,36.97,43
Passes Attempted,42.53,34
Pass Completion %,86.9,87
Total Passing Distance,669.40,47
Progressive Passing Distance,130.84,13
Passes Completed (Short),14.76,32
Passes Attempted (Short),16.36,25
Pass Completion % (Short),90.2,74
Passes Completed (Medium),16.92,59
Passes Attempted (Medium),18.60,52
Pass Completion % (Medium),90.9,85
Passes Completed (Long),4.06,51
Passes Attempted (Long),5.32,34
Pass Completion % (Long),76.4,87
Assists,0.03,27
xAG,0.09,58
Expected Assists,0.07,46
Key Passes,0.91,54
Passes into Final Third,3.50,33
Passes into Penalty Area,0.59,49
Crosses into Penalty Area,0.11,53
Progressive Passes,3.80,20
Passes Attempted,42.53,34
Live-ball passes,40.20,33
Dead-ball passes,2.14,56
Passes from Free Kicks,1.71,70
Through Balls,0.13,66
Switches,0.56,66
Crosses,0.45,33
Throw-Ins taken,0.13,26
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,42
Passes Completed,36.97,43
Passes Offside,0.19,36
Passes Blocked,0.53,82
Shot-Creating Actions,2.70,68
SCA (PassLive),1.84,57
SCA (PassDead),0.08,54
SCA (TO),0.21,93
SCA (Sh),0.32,98
SCA (Fld),0.16,82
SCA (Def),0.08,74
Goal-Creating Actions,0.24,63
GCA (PassLive),0.13,49
GCA (PassDead),0.00,37
GCA (TO),0.03,85
GCA (Sh),0.08,97
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,2.33,66
Tackles Won,1.12,48
Tackles (Def 3rd),0.99,69
Tackles (Mid 3rd),1.15,69
Tackles (Att 3rd),0.19,45
Dribblers Tackled,0.96,55
Dribbles Challenged,2.54,76
% of dribblers tackled,37.9,21
Challenges Lost,1.58,13
Blocks,0.86,23
Shots Blocked,0.11,13
Passes Blocked,0.75,37
Interceptions,0.94,37
Tkl+Int,3.26,56
Clearances,0.75,23
Errors,0.00,67
Touches,54.32,42
Touches (Def Pen),1.26,19
Touches (Def 3rd),11.01,40
Touches (Mid 3rd),33.39,49
Touches (Att 3rd),11.41,46
Touches (Att Pen),2.00,86
Touches (Live-Ball),54.32,42
Take-Ons Attempted,2.43,90
Successful Take-Ons,1.42,93
Successful Take-On %,58.2,66
Times Tackled During Take-On,0.94,86
Tackled During Take-On Percentage,38.5,55
Carries,33.15,62
Total Carrying Distance,187.56,77
Progressive Carrying Distance,94.28,80
Progressive Carries,1.63,73
Carries into Final Third,1.50,72
Carries into Penalty Area,0.21,71
Miscontrols,1.71,21
Dispossessed,1.44,6
Passes Received,36.33,49
Progressive Passes Rec,2.41,66
Yellow Cards,0.37,16
Red Cards,0.03,24
Second Yellow Card,0.03,13
Fouls Committed,1.74,21
Fouls Drawn,2.41,97
Offsides,0.03,49
Crosses,0.45,33
Interceptions,0.94,37
Tackles Won,1.12,48
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,8.34,93
Aerials won,1.12,70
Aerials lost,0.67,77
% of Aerials Won,62.7,91
