Non-Penalty Goals,0.00,21
Non-Penalty xG,0.04,49
Shots Total,1.13,86
Assists,0.00,10
xAG,0.04,10
npxG + xAG,0.08,19
Shot-Creating Actions,1.32,9
Passes Attempted,55.28,57
Pass Completion %,80.2,68
Progressive Passes,1.89,1
Progressive Carries,2.26,56
Successful Take-Ons,1.70,96
Touches (Att Pen),1.13,40
Progressive Passes Rec,5.66,73
Tackles,4.34,99
Interceptions,1.70,96
Blocks,1.32,72
Clearances,2.64,84
Aerials won,1.32,76
Goals,0.00,21
Assists,0.00,10
Goals + Assists,0.00,5
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.38,2
Red Cards,0.00,60
xG,0.04,48
Non-Penalty xG,0.04,49
xAG,0.04,10
npxG + xAG,0.08,19
Progressive Carries,2.26,56
Progressive Passes,1.89,1
Progressive Passes Rec,5.66,73
Goals,0.00,21
Shots Total,1.13,86
Shots on target,0.19,52
Shots on target %,16.7,20
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,26.20,7
Shots from free kicks,0.00,39
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.04,48
Non-Penalty xG,0.04,49
npxG/Sh,0.03,8
Goals - xG,-0.04,13
Non-Penalty Goals - npxG,-0.04,12
Passes Completed,44.34,61
Passes Attempted,55.28,57
Pass Completion %,80.2,68
Total Passing Distance,738.11,69
Progressive Passing Distance,185.09,12
Passes Completed (Short),19.43,42
Passes Attempted (Short),22.26,41
Pass Completion % (Short),87.3,33
Passes Completed (Medium),20.19,84
Passes Attempted (Medium),23.02,80
Pass Completion % (Medium),87.7,93
Passes Completed (Long),3.21,55
Passes Attempted (Long),7.36,66
Pass Completion % (Long),43.6,24
Assists,0.00,10
xAG,0.04,10
Expected Assists,0.02,1
Key Passes,0.57,15
Passes into Final Third,1.70,7
Passes into Penalty Area,0.00,1
Crosses into Penalty Area,0.00,1
Progressive Passes,1.89,1
Passes Attempted,55.28,57
Live-ball passes,44.34,54
Dead-ball passes,10.94,78
Passes from Free Kicks,0.94,51
Through Balls,0.00,18
Switches,0.00,2
Crosses,2.45,44
Throw-Ins taken,10.00,91
Corner Kicks,0.00,24
Inswinging Corner Kicks,0.00,33
Outswinging Corner Kicks,0.00,32
Straight Corner Kicks,0.00,48
Passes Completed,44.34,61
Passes Offside,0.00,98
Passes Blocked,1.13,61
Shot-Creating Actions,1.32,9
SCA (PassLive),0.75,2
SCA (PassDead),0.19,59
SCA (TO),0.00,13
SCA (Sh),0.00,15
SCA (Fld),0.38,99
SCA (Def),0.00,25
Goal-Creating Actions,0.57,98
GCA (PassLive),0.19,65
GCA (PassDead),0.00,33
GCA (TO),0.00,40
GCA (Sh),0.00,40
GCA (Fld),0.38,99
GCA (Def),0.00,47
Tackles,4.34,99
Tackles Won,2.45,99
Tackles (Def 3rd),3.02,99
Tackles (Mid 3rd),0.94,87
Tackles (Att 3rd),0.38,89
Dribblers Tackled,2.08,98
Dribbles Challenged,4.15,99
% of dribblers tackled,50.0,20
Challenges Lost,2.08,1
Blocks,1.32,72
Shots Blocked,0.19,31
Passes Blocked,1.13,83
Interceptions,1.70,96
Tkl+Int,6.04,99
Clearances,2.64,84
Errors,0.00,71
Touches,70.57,76
Touches (Def Pen),2.64,33
Touches (Def 3rd),17.55,40
Touches (Mid 3rd),32.26,76
Touches (Att 3rd),22.26,81
Touches (Att Pen),1.13,40
Touches (Live-Ball),70.57,76
Take-Ons Attempted,3.77,97
Successful Take-Ons,1.70,96
Successful Take-On %,45.0,57
Times Tackled During Take-On,1.32,86
Tackled During Take-On Percentage,35.0,87
Carries,36.79,63
Total Carrying Distance,203.02,63
Progressive Carrying Distance,77.17,32
Progressive Carries,2.26,56
Carries into Final Third,1.32,36
Carries into Penalty Area,0.19,36
Miscontrols,1.89,8
Dispossessed,0.94,16
Passes Received,41.13,69
Progressive Passes Rec,5.66,73
Yellow Cards,0.38,2
Red Cards,0.00,60
Second Yellow Card,0.00,54
Fouls Committed,0.94,63
Fouls Drawn,2.08,97
Offsides,0.00,89
Crosses,2.45,44
Interceptions,1.70,96
Tackles Won,2.45,99
Penalty Kicks Won,0.00,44
Penalty Kicks Conceded,0.00,66
Own Goals,0.00,55
Ball Recoveries,5.47,47
Aerials won,1.32,76
Aerials lost,1.13,28
% of Aerials Won,53.8,61
