Non-Penalty Goals,0.24,24
Non-Penalty xG,0.45,76
Shots Total,2.93,67
Assists,0.06,25
xAG,0.14,63
npxG + xAG,0.60,73
Shot-Creating Actions,2.87,73
Passes Attempted,20.48,39
Pass Completion %,70.6,56
Progressive Passes,1.85,59
Progressive Carries,2.57,88
Successful Take-Ons,1.43,88
Touches (Att Pen),6.45,87
Progressive Passes Rec,7.64,82
Tackles,0.60,45
Interceptions,0.12,29
Blocks,0.84,77
Clearances,0.48,26
Aerials won,1.13,28
Goals,0.36,39
Assists,0.06,25
Goals + Assists,0.42,29
Non-Penalty Goals,0.24,24
Penalty Kicks Made,0.12,85
Penalty Kicks Attempted,0.12,82
Yellow Cards,0.24,21
Red Cards,0.00,56
xG,0.55,80
Non-Penalty xG,0.45,76
xAG,0.14,63
npxG + xAG,0.60,73
Progressive Carries,2.57,88
Progressive Passes,1.85,59
Progressive Passes Rec,7.64,82
Goals,0.36,39
Shots Total,2.93,67
Shots on target,1.25,76
Shots on target %,42.9,64
Goals/Shot,0.08,13
Goals/Shot on target,0.19,12
Average Shot Distance,14.10,60
Shots from free kicks,0.00,34
Penalty Kicks Made,0.12,85
Penalty Kicks Attempted,0.12,82
xG,0.55,80
Non-Penalty xG,0.45,76
npxG/Sh,0.15,63
Goals - xG,-0.19,4
Non-Penalty Goals - npxG,-0.22,3
Passes Completed,14.45,45
Passes Attempted,20.48,39
Pass Completion %,70.6,56
Total Passing Distance,186.51,37
Progressive Passing Distance,39.24,44
Passes Completed (Short),8.72,46
Passes Attempted (Short),11.35,43
Pass Completion % (Short),76.8,51
Passes Completed (Medium),4.00,50
Passes Attempted (Medium),5.26,36
Pass Completion % (Medium),76.1,71
Passes Completed (Long),0.54,32
Passes Attempted (Long),0.96,38
Pass Completion % (Long),56.3,38
Assists,0.06,25
xAG,0.14,63
Expected Assists,0.11,69
Key Passes,1.37,79
Passes into Final Third,1.08,52
Passes into Penalty Area,0.72,67
Crosses into Penalty Area,0.00,13
Progressive Passes,1.85,59
Passes Attempted,20.48,39
Live-ball passes,18.75,34
Dead-ball passes,1.55,63
Passes from Free Kicks,0.00,24
Through Balls,0.12,60
Switches,0.00,8
Crosses,0.84,73
Throw-Ins taken,0.24,82
Corner Kicks,0.06,86
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,45
Straight Corner Kicks,0.00,49
Passes Completed,14.45,45
Passes Offside,0.18,27
Passes Blocked,0.84,43
Shot-Creating Actions,2.87,73
SCA (PassLive),1.91,66
SCA (PassDead),0.00,35
SCA (TO),0.42,88
SCA (Sh),0.24,41
SCA (Fld),0.24,63
SCA (Def),0.06,76
Goal-Creating Actions,0.18,25
GCA (PassLive),0.06,14
GCA (PassDead),0.00,48
GCA (TO),0.00,27
GCA (Sh),0.12,93
GCA (Fld),0.00,26
GCA (Def),0.00,46
Tackles,0.60,45
Tackles Won,0.36,51
Tackles (Def 3rd),0.00,7
Tackles (Mid 3rd),0.30,54
Tackles (Att 3rd),0.30,74
Dribblers Tackled,0.12,28
Dribbles Challenged,0.60,58
% of dribblers tackled,20.0,20
Challenges Lost,0.48,28
Blocks,0.84,77
Shots Blocked,0.12,67
Passes Blocked,0.72,76
Interceptions,0.12,29
Tkl+Int,0.72,41
Clearances,0.48,26
Errors,0.00,55
Touches,31.83,38
Touches (Def Pen),0.60,25
Touches (Def 3rd),1.85,15
Touches (Mid 3rd),9.91,6
Touches (Att 3rd),20.96,83
Touches (Att Pen),6.45,87
Touches (Live-Ball),31.71,38
Take-Ons Attempted,3.28,90
Successful Take-Ons,1.43,88
Successful Take-On %,43.6,54
Times Tackled During Take-On,1.79,94
Tackled During Take-On Percentage,54.5,29
Carries,20.78,60
Total Carrying Distance,140.70,83
Progressive Carrying Distance,64.08,88
Progressive Carries,2.57,88
Carries into Final Third,2.09,96
Carries into Penalty Area,1.31,88
Miscontrols,2.33,71
Dispossessed,1.43,49
Passes Received,24.78,46
Progressive Passes Rec,7.64,82
Yellow Cards,0.24,21
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.31,48
Fouls Drawn,0.96,27
Offsides,0.72,41
Crosses,0.84,73
Interceptions,0.12,29
Tackles Won,0.36,51
Penalty Kicks Won,0.00,26
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,2.21,33
Aerials won,1.13,28
Aerials lost,1.43,83
% of Aerials Won,44.2,52
