Non-Penalty Goals,0.46,72
Non-Penalty xG,0.41,59
Shots Total,2.36,38
Assists,0.07,27
xAG,0.13,60
npxG + xAG,0.54,58
Shot-Creating Actions,2.39,46
Passes Attempted,20.61,42
Pass Completion %,72.4,62
Progressive Passes,1.31,21
Progressive Carries,2.32,80
Successful Take-Ons,1.37,86
Touches (Att Pen),4.22,29
Progressive Passes Rec,5.63,38
Tackles,0.69,58
Interceptions,0.10,21
Blocks,0.52,38
Clearances,0.98,75
Aerials won,2.03,58
Goals,0.46,63
Assists,0.07,27
Goals + Assists,0.52,50
Non-Penalty Goals,0.46,72
Penalty Kicks Made,0.00,22
Penalty Kicks Attempted,0.00,17
Yellow Cards,0.16,44
Red Cards,0.00,56
xG,0.41,50
Non-Penalty xG,0.41,59
xAG,0.13,60
npxG + xAG,0.54,58
Progressive Carries,2.32,80
Progressive Passes,1.31,21
Progressive Passes Rec,5.63,38
Goals,0.46,63
Shots Total,2.36,38
Shots on target,1.05,46
Shots on target %,44.4,76
Goals/Shot,0.19,83
Goals/Shot on target,0.44,82
Average Shot Distance,13.50,68
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,22
Penalty Kicks Attempted,0.00,17
xG,0.41,50
Non-Penalty xG,0.41,59
npxG/Sh,0.17,83
Goals - xG,0.05,67
Non-Penalty Goals - npxG,0.05,65
Passes Completed,14.92,49
Passes Attempted,20.61,42
Pass Completion %,72.4,62
Total Passing Distance,194.53,45
Progressive Passing Distance,26.47,14
Passes Completed (Short),9.55,61
Passes Attempted (Short),11.88,47
Pass Completion % (Short),80.4,68
Passes Completed (Medium),3.83,41
Passes Attempted (Medium),5.56,42
Pass Completion % (Medium),68.8,39
Passes Completed (Long),0.59,33
Passes Attempted (Long),0.85,30
Pass Completion % (Long),69.2,76
Assists,0.07,27
xAG,0.13,60
Expected Assists,0.05,18
Key Passes,1.28,73
Passes into Final Third,0.62,17
Passes into Penalty Area,0.52,46
Crosses into Penalty Area,0.03,31
Progressive Passes,1.31,21
Passes Attempted,20.61,42
Live-ball passes,19.17,38
Dead-ball passes,1.37,51
Passes from Free Kicks,0.00,24
Through Balls,0.10,50
Switches,0.07,36
Crosses,0.33,29
Throw-Ins taken,0.07,38
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,45
Straight Corner Kicks,0.00,49
Passes Completed,14.92,49
Passes Offside,0.07,70
Passes Blocked,0.79,52
Shot-Creating Actions,2.39,46
SCA (PassLive),1.67,51
SCA (PassDead),0.00,35
SCA (TO),0.33,79
SCA (Sh),0.23,37
SCA (Fld),0.10,20
SCA (Def),0.07,85
Goal-Creating Actions,0.16,19
GCA (PassLive),0.10,21
GCA (PassDead),0.00,48
GCA (TO),0.07,84
GCA (Sh),0.00,18
GCA (Fld),0.00,26
GCA (Def),0.00,46
Tackles,0.69,58
Tackles Won,0.29,38
Tackles (Def 3rd),0.10,35
Tackles (Mid 3rd),0.36,67
Tackles (Att 3rd),0.23,55
Dribblers Tackled,0.20,53
Dribbles Challenged,0.49,36
% of dribblers tackled,40.0,62
Challenges Lost,0.29,71
Blocks,0.52,38
Shots Blocked,0.07,42
Passes Blocked,0.46,40
Interceptions,0.10,21
Tkl+Int,0.79,49
Clearances,0.98,75
Errors,0.03,8
Touches,33.01,45
Touches (Def Pen),1.15,70
Touches (Def 3rd),2.45,41
Touches (Mid 3rd),13.87,38
Touches (Att 3rd),17.54,65
Touches (Att Pen),4.22,29
Touches (Live-Ball),33.01,46
Take-Ons Attempted,2.94,85
Successful Take-Ons,1.37,86
Successful Take-On %,46.7,71
Times Tackled During Take-On,1.47,86
Tackled During Take-On Percentage,50.0,52
Carries,20.71,56
Total Carrying Distance,134.26,80
Progressive Carrying Distance,63.37,86
Progressive Carries,2.32,80
Carries into Final Third,1.80,91
Carries into Penalty Area,0.92,75
Miscontrols,3.47,21
Dispossessed,2.62,4
Passes Received,25.55,54
Progressive Passes Rec,5.63,38
Yellow Cards,0.16,44
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.37,42
Fouls Drawn,0.59,7
Offsides,0.56,63
Crosses,0.33,29
Interceptions,0.10,21
Tackles Won,0.29,38
Penalty Kicks Won,0.03,57
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,2.72,67
Aerials won,2.03,58
Aerials lost,2.00,65
% of Aerials Won,50.4,79
