Non-Penalty Goals,0.00,21
Non-Penalty xG,0.04,47
Shots Total,0.75,61
Assists,0.15,79
xAG,0.10,56
npxG + xAG,0.13,48
Shot-Creating Actions,1.75,31
Passes Attempted,54.44,53
Pass Completion %,83.5,85
Progressive Passes,3.45,36
Progressive Carries,1.70,30
Successful Take-Ons,0.50,38
Touches (Att Pen),1.35,55
Progressive Passes Rec,4.64,54
Tackles,2.15,58
Interceptions,0.85,29
Blocks,0.70,9
Clearances,1.60,32
Aerials won,0.75,38
Goals,0.00,21
Assists,0.15,79
Goals + Assists,0.15,60
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.15,65
Red Cards,0.00,60
xG,0.04,46
Non-Penalty xG,0.04,47
xAG,0.10,56
npxG + xAG,0.13,48
Progressive Carries,1.70,30
Progressive Passes,3.45,36
Progressive Passes Rec,4.64,54
Goals,0.00,21
Shots Total,0.75,61
Shots on target,0.05,16
Shots on target %,6.7,7
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,19.90,47
Shots from free kicks,0.00,39
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.04,46
Non-Penalty xG,0.04,47
npxG/Sh,0.05,31
Goals - xG,-0.04,14
Non-Penalty Goals - npxG,-0.04,13
Passes Completed,45.45,66
Passes Attempted,54.44,53
Pass Completion %,83.5,85
Total Passing Distance,687.89,55
Progressive Passing Distance,235.84,43
Passes Completed (Short),24.62,76
Passes Attempted (Short),26.82,71
Pass Completion % (Short),91.8,86
Passes Completed (Medium),16.63,60
Passes Attempted (Medium),19.93,51
Pass Completion % (Medium),83.5,71
Passes Completed (Long),2.30,25
Passes Attempted (Long),3.90,11
Pass Completion % (Long),59.0,83
Assists,0.15,79
xAG,0.10,56
Expected Assists,0.10,58
Key Passes,0.70,31
Passes into Final Third,1.60,7
Passes into Penalty Area,1.10,55
Crosses into Penalty Area,0.35,34
Progressive Passes,3.45,36
Passes Attempted,54.44,53
Live-ball passes,43.15,48
Dead-ball passes,11.29,82
Passes from Free Kicks,0.95,53
Through Balls,0.00,18
Switches,0.05,10
Crosses,2.15,35
Throw-Ins taken,10.34,93
Corner Kicks,0.00,24
Inswinging Corner Kicks,0.00,33
Outswinging Corner Kicks,0.00,32
Straight Corner Kicks,0.00,48
Passes Completed,45.45,66
Passes Offside,0.00,98
Passes Blocked,1.20,53
Shot-Creating Actions,1.75,31
SCA (PassLive),1.25,22
SCA (PassDead),0.20,61
SCA (TO),0.05,47
SCA (Sh),0.10,68
SCA (Fld),0.10,67
SCA (Def),0.05,73
Goal-Creating Actions,0.15,42
GCA (PassLive),0.15,55
GCA (PassDead),0.00,33
GCA (TO),0.00,40
GCA (Sh),0.00,40
GCA (Fld),0.00,39
GCA (Def),0.00,47
Tackles,2.15,58
Tackles Won,1.15,48
Tackles (Def 3rd),1.45,78
Tackles (Mid 3rd),0.35,9
Tackles (Att 3rd),0.35,86
Dribblers Tackled,1.20,70
Dribbles Challenged,2.10,74
% of dribblers tackled,57.1,43
Challenges Lost,0.90,32
Blocks,0.70,9
Shots Blocked,0.15,22
Passes Blocked,0.55,12
Interceptions,0.85,29
Tkl+Int,3.00,49
Clearances,1.60,32
Errors,0.00,71
Touches,62.83,44
Touches (Def Pen),2.30,20
Touches (Def 3rd),16.18,25
Touches (Mid 3rd),28.22,51
Touches (Att 3rd),18.93,59
Touches (Att Pen),1.35,55
Touches (Live-Ball),62.83,44
Take-Ons Attempted,1.20,41
Successful Take-Ons,0.50,38
Successful Take-On %,41.7,44
Times Tackled During Take-On,0.60,45
Tackled During Take-On Percentage,50.0,40
Carries,31.86,40
Total Carrying Distance,139.10,21
Progressive Carrying Distance,66.43,19
Progressive Carries,1.70,30
Carries into Final Third,1.45,43
Carries into Penalty Area,0.15,30
Miscontrols,0.80,84
Dispossessed,0.55,52
Passes Received,35.96,45
Progressive Passes Rec,4.64,54
Yellow Cards,0.15,65
Red Cards,0.00,60
Second Yellow Card,0.00,54
Fouls Committed,0.95,62
Fouls Drawn,0.65,29
Offsides,0.00,89
Crosses,2.15,35
Interceptions,0.85,29
Tackles Won,1.15,48
Penalty Kicks Won,0.00,44
Penalty Kicks Conceded,0.00,66
Own Goals,0.00,55
Ball Recoveries,5.29,36
Aerials won,0.75,38
Aerials lost,1.50,9
% of Aerials Won,33.3,12
