Non-Penalty Goals,0.08,57
Non-Penalty xG,0.05,38
Shots Total,0.68,22
Assists,0.08,55
xAG,0.05,30
npxG + xAG,0.11,26
Shot-Creating Actions,1.90,33
Passes Attempted,61.92,78
Pass Completion %,86.9,82
Progressive Passes,5.08,51
Progressive Carries,0.83,29
Successful Take-Ons,0.53,42
Touches (Att Pen),0.76,31
Progressive Passes Rec,2.20,58
Tackles,2.66,78
Interceptions,1.29,69
Blocks,2.05,99
Clearances,1.90,90
Aerials won,1.29,72
Goals,0.08,53
Assists,0.08,55
Goals + Assists,0.15,51
Non-Penalty Goals,0.08,57
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
Yellow Cards,0.38,12
Red Cards,0.00,58
xG,0.05,33
Non-Penalty xG,0.05,38
xAG,0.05,30
npxG + xAG,0.11,26
Progressive Carries,0.83,29
Progressive Passes,5.08,51
Progressive Passes Rec,2.20,58
Goals,0.08,53
Shots Total,0.68,22
Shots on target,0.23,39
Shots on target %,33.3,66
Goals/Shot,0.11,73
Goals/Shot on target,0.33,67
Average Shot Distance,18.90,69
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
xG,0.05,33
Non-Penalty xG,0.05,38
npxG/Sh,0.08,63
Goals - xG,0.02,69
Non-Penalty Goals - npxG,0.02,69
Passes Completed,53.80,82
Passes Attempted,61.92,78
Pass Completion %,86.9,82
Total Passing Distance,852.80,74
Progressive Passing Distance,206.41,53
Passes Completed (Short),28.23,89
Passes Attempted (Short),30.43,88
Pass Completion % (Short),92.8,88
Passes Completed (Medium),20.11,75
Passes Attempted (Medium),22.84,77
Pass Completion % (Medium),88.0,58
Passes Completed (Long),4.17,60
Passes Attempted (Long),5.69,53
Pass Completion % (Long),73.3,77
Assists,0.08,55
xAG,0.05,30
Expected Assists,0.05,26
Key Passes,0.76,39
Passes into Final Third,4.40,58
Passes into Penalty Area,0.30,11
Crosses into Penalty Area,0.08,41
Progressive Passes,5.08,51
Passes Attempted,61.92,78
Live-ball passes,59.27,80
Dead-ball passes,2.50,66
Passes from Free Kicks,1.90,75
Through Balls,0.00,5
Switches,0.46,57
Crosses,0.61,44
Throw-Ins taken,0.46,79
Corner Kicks,0.08,59
Inswinging Corner Kicks,0.08,67
Outswinging Corner Kicks,0.00,30
Straight Corner Kicks,0.00,46
Passes Completed,53.80,82
Passes Offside,0.15,63
Passes Blocked,0.99,30
Shot-Creating Actions,1.90,33
SCA (PassLive),1.67,45
SCA (PassDead),0.08,62
SCA (TO),0.00,15
SCA (Sh),0.00,6
SCA (Fld),0.08,48
SCA (Def),0.08,74
Goal-Creating Actions,0.15,31
GCA (PassLive),0.15,47
GCA (PassDead),0.00,40
GCA (TO),0.00,41
GCA (Sh),0.00,36
GCA (Fld),0.00,38
GCA (Def),0.00,43
Tackles,2.66,78
Tackles Won,1.21,56
Tackles (Def 3rd),0.99,66
Tackles (Mid 3rd),1.37,83
Tackles (Att 3rd),0.30,68
Dribblers Tackled,1.06,71
Dribbles Challenged,2.81,88
% of dribblers tackled,37.8,18
Challenges Lost,1.75,6
Blocks,2.05,99
Shots Blocked,0.53,94
Passes Blocked,1.52,93
Interceptions,1.29,69
Tkl+Int,3.95,76
Clearances,1.90,90
Errors,0.00,71
Touches,74.52,84
Touches (Def Pen),3.26,84
Touches (Def 3rd),17.15,84
Touches (Mid 3rd),43.86,82
Touches (Att 3rd),14.04,62
Touches (Att Pen),0.76,31
Touches (Live-Ball),74.52,84
Take-Ons Attempted,0.83,29
Successful Take-Ons,0.53,42
Successful Take-On %,63.6,85
Times Tackled During Take-On,0.30,26
Tackled During Take-On Percentage,36.4,61
Carries,41.74,72
Total Carrying Distance,184.48,57
Progressive Carrying Distance,71.33,38
Progressive Carries,0.83,29
Carries into Final Third,1.82,81
Carries into Penalty Area,0.15,52
Miscontrols,1.14,57
Dispossessed,0.61,69
Passes Received,49.93,77
Progressive Passes Rec,2.20,58
Yellow Cards,0.38,12
Red Cards,0.00,58
Second Yellow Card,0.00,55
Fouls Committed,1.75,22
Fouls Drawn,0.83,28
Offsides,0.00,79
Crosses,0.61,44
Interceptions,1.29,69
Tackles Won,1.21,56
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,54
Ball Recoveries,6.98,71
Aerials won,1.29,72
Aerials lost,1.29,24
% of Aerials Won,50.0,53
