Non-Penalty Goals,0.23,93
Non-Penalty xG,0.20,95
Shots Total,2.01,94
Assists,0.14,79
xAG,0.15,83
npxG + xAG,0.34,92
Shot-Creating Actions,3.01,76
Passes Attempted,48.51,48
Pass Completion %,79.4,32
Progressive Passes,5.25,54
Progressive Carries,1.75,74
Successful Take-Ons,0.80,66
Touches (Att Pen),2.35,86
Progressive Passes Rec,4.82,93
Tackles,2.15,55
Interceptions,0.80,25
Blocks,1.35,63
Clearances,0.60,18
Aerials won,0.92,52
Goals,0.26,93
Assists,0.14,79
Goals + Assists,0.40,91
Non-Penalty Goals,0.23,93
Penalty Kicks Made,0.03,90
Penalty Kicks Attempted,0.03,89
Yellow Cards,0.26,38
Red Cards,0.00,58
xG,0.22,94
Non-Penalty xG,0.20,95
xAG,0.15,83
npxG + xAG,0.34,92
Progressive Carries,1.75,74
Progressive Passes,5.25,54
Progressive Passes Rec,4.82,93
Goals,0.26,93
Shots Total,2.01,94
Shots on target,0.66,93
Shots on target %,32.9,63
Goals/Shot,0.11,73
Goals/Shot on target,0.35,70
Average Shot Distance,19.40,65
Shots from free kicks,0.20,90
Penalty Kicks Made,0.03,90
Penalty Kicks Attempted,0.03,89
xG,0.22,94
Non-Penalty xG,0.20,95
npxG/Sh,0.10,79
Goals - xG,0.04,81
Non-Penalty Goals - npxG,0.03,77
Passes Completed,38.53,45
Passes Attempted,48.51,48
Pass Completion %,79.4,32
Total Passing Distance,605.81,35
Progressive Passing Distance,150.48,26
Passes Completed (Short),21.29,65
Passes Attempted (Short),24.13,66
Pass Completion % (Short),88.2,50
Passes Completed (Medium),11.25,19
Passes Attempted (Medium),13.89,22
Pass Completion % (Medium),81.0,16
Passes Completed (Long),3.76,51
Passes Attempted (Long),6.20,59
Pass Completion % (Long),60.6,34
Assists,0.14,79
xAG,0.15,83
Expected Assists,0.16,88
Key Passes,1.61,85
Passes into Final Third,3.73,40
Passes into Penalty Area,1.26,86
Crosses into Penalty Area,0.20,78
Progressive Passes,5.25,54
Passes Attempted,48.51,48
Live-ball passes,44.18,42
Dead-ball passes,4.13,82
Passes from Free Kicks,1.38,62
Through Balls,0.26,80
Switches,0.80,81
Crosses,3.16,85
Throw-Ins taken,0.37,73
Corner Kicks,2.30,89
Inswinging Corner Kicks,0.66,83
Outswinging Corner Kicks,1.03,89
Straight Corner Kicks,0.00,46
Passes Completed,38.53,45
Passes Offside,0.20,42
Passes Blocked,0.89,45
Shot-Creating Actions,3.01,76
SCA (PassLive),2.07,65
SCA (PassDead),0.49,82
SCA (TO),0.20,92
SCA (Sh),0.14,72
SCA (Fld),0.09,52
SCA (Def),0.03,32
Goal-Creating Actions,0.29,69
GCA (PassLive),0.14,45
GCA (PassDead),0.09,92
GCA (TO),0.03,86
GCA (Sh),0.03,77
GCA (Fld),0.00,38
GCA (Def),0.00,43
Tackles,2.15,55
Tackles Won,1.21,54
Tackles (Def 3rd),0.63,24
Tackles (Mid 3rd),1.18,70
Tackles (Att 3rd),0.34,75
Dribblers Tackled,0.98,60
Dribbles Challenged,2.50,85
% of dribblers tackled,39.1,21
Challenges Lost,1.52,13
Blocks,1.35,63
Shots Blocked,0.14,24
Passes Blocked,1.21,77
Interceptions,0.80,25
Tkl+Int,2.96,40
Clearances,0.60,18
Errors,0.03,38
Touches,60.51,52
Touches (Def Pen),1.21,14
Touches (Def 3rd),6.91,5
Touches (Mid 3rd),30.61,36
Touches (Att 3rd),23.47,94
Touches (Att Pen),2.35,86
Touches (Live-Ball),60.48,52
Take-Ons Attempted,2.07,79
Successful Take-Ons,0.80,66
Successful Take-On %,38.9,14
Times Tackled During Take-On,1.23,92
Tackled During Take-On Percentage,59.7,6
Carries,33.83,45
Total Carrying Distance,155.18,38
Progressive Carrying Distance,65.96,32
Progressive Carries,1.75,74
Carries into Final Third,1.78,79
Carries into Penalty Area,0.49,91
Miscontrols,1.46,33
Dispossessed,1.55,7
Passes Received,42.17,58
Progressive Passes Rec,4.82,93
Yellow Cards,0.26,38
Red Cards,0.00,58
Second Yellow Card,0.00,55
Fouls Committed,2.24,6
Fouls Drawn,1.64,78
Offsides,0.17,7
Crosses,3.16,85
Interceptions,0.80,25
Tackles Won,1.21,54
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,54
Ball Recoveries,5.28,15
Aerials won,0.92,52
Aerials lost,0.95,47
% of Aerials Won,49.2,49
