Non-Penalty Goals,0.17,28
Non-Penalty xG,0.18,33
Shots Total,1.20,5
Assists,0.21,54
xAG,0.21,53
npxG + xAG,0.39,45
Shot-Creating Actions,4.63,80
Passes Attempted,55.98,94
Pass Completion %,84.8,96
Progressive Passes,8.41,98
Progressive Carries,3.09,47
Successful Take-Ons,1.03,25
Touches (Att Pen),3.65,37
Progressive Passes Rec,6.35,27
Tackles,1.24,46
Interceptions,0.51,49
Blocks,0.77,32
Clearances,0.90,91
Aerials won,0.64,70
Non-Penalty Goals,0.17,86
Non-Penalty xG,0.18,93
Shots Total,1.20,66
Assists,0.21,91
xAG,0.21,94
npxG + xAG,0.39,96
Shot-Creating Actions,4.63,97
Passes Attempted,55.98,69
Pass Completion %,84.8,69
Progressive Passes,8.41,97
Progressive Carries,3.09,94
Successful Take-Ons,1.03,77
Touches (Att Pen),3.65,99
Progressive Passes Rec,6.35,98
Tackles,1.24,8
Interceptions,0.51,6
Blocks,0.77,8
Clearances,0.90,39
Aerials won,0.64,34
Goals,0.17,21
Assists,0.21,54
Goals + Assists,0.39,34
Non-Penalty Goals,0.17,28
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
Yellow Cards,0.21,20
Red Cards,0.04,5
xG,0.18,24
Non-Penalty xG,0.18,33
xAG,0.21,53
npxG + xAG,0.39,45
Progressive Carries,3.09,47
Progressive Passes,8.41,98
Progressive Passes Rec,6.35,27
Goals,0.17,21
Shots Total,1.20,5
Shots on target,0.56,20
Shots on target %,46.4,86
Goals/Shot,0.14,67
Goals/Shot on target,0.31,49
Average Shot Distance,14.80,92
Shots from free kicks,0.04,46
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
xG,0.18,24
Non-Penalty xG,0.18,33
npxG/Sh,0.15,89
Goals - xG,-0.01,37
Non-Penalty Goals - npxG,-0.01,39
Passes Completed,47.45,96
Passes Attempted,55.98,94
Pass Completion %,84.8,96
Total Passing Distance,742.26,94
Progressive Passing Distance,178.03,89
Passes Completed (Short),25.27,95
Passes Attempted (Short),28.10,93
Pass Completion % (Short),89.9,91
Passes Completed (Medium),16.56,98
Passes Attempted (Medium),18.66,95
Pass Completion % (Medium),88.7,99
Passes Completed (Long),3.69,81
Passes Attempted (Long),5.06,68
Pass Completion % (Long),72.9,96
Assists,0.21,54
xAG,0.21,53
Expected Assists,0.21,71
Key Passes,1.84,54
Passes into Final Third,4.93,95
Passes into Penalty Area,2.02,85
Crosses into Penalty Area,0.21,45
Progressive Passes,8.41,98
Passes Attempted,55.98,94
Live-ball passes,53.62,96
Dead-ball passes,1.89,44
Passes from Free Kicks,0.86,68
Through Balls,0.34,75
Switches,0.21,45
Crosses,1.80,30
Throw-Ins taken,0.21,17
Corner Kicks,0.77,49
Inswinging Corner Kicks,0.34,49
Outswinging Corner Kicks,0.26,58
Straight Corner Kicks,0.00,39
Passes Completed,47.45,96
Passes Offside,0.47,5
Passes Blocked,0.99,70
Shot-Creating Actions,4.63,80
SCA (PassLive),3.52,91
SCA (PassDead),0.30,58
SCA (TO),0.30,58
SCA (Sh),0.21,35
SCA (Fld),0.17,45
SCA (Def),0.13,95
Goal-Creating Actions,1.03,98
GCA (PassLive),0.82,99
GCA (PassDead),0.04,71
GCA (TO),0.00,22
GCA (Sh),0.04,59
GCA (Fld),0.09,88
GCA (Def),0.04,95
Tackles,1.24,46
Tackles Won,0.77,55
Tackles (Def 3rd),0.34,38
Tackles (Mid 3rd),0.51,45
Tackles (Att 3rd),0.39,74
Dribblers Tackled,0.26,16
Dribbles Challenged,0.99,32
% of dribblers tackled,26.1,8
Challenges Lost,0.73,49
Blocks,0.77,32
Shots Blocked,0.13,83
Passes Blocked,0.64,23
Interceptions,0.51,49
Tkl+Int,1.76,48
Clearances,0.90,91
Errors,0.00,59
Touches,64.13,92
Touches (Def Pen),1.24,90
Touches (Def 3rd),5.53,58
Touches (Mid 3rd),32.52,93
Touches (Att 3rd),26.64,62
Touches (Att Pen),3.65,37
Touches (Live-Ball),64.13,92
Take-Ons Attempted,1.89,14
Successful Take-Ons,1.03,25
Successful Take-On %,54.5,86
Times Tackled During Take-On,0.64,4
Tackled During Take-On Percentage,34.1,95
Carries,40.71,85
Total Carrying Distance,228.69,73
Progressive Carrying Distance,96.56,52
Progressive Carries,3.09,47
Carries into Final Third,2.79,83
Carries into Penalty Area,0.99,46
Miscontrols,1.54,91
Dispossessed,1.59,51
Passes Received,50.79,94
Progressive Passes Rec,6.35,27
Yellow Cards,0.21,20
Red Cards,0.04,5
Second Yellow Card,0.00,54
Fouls Committed,1.24,27
Fouls Drawn,1.29,41
Offsides,0.04,97
Crosses,1.80,30
Interceptions,0.51,49
Tackles Won,0.77,55
Penalty Kicks Won,0.09,94
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,5.53,85
Aerials won,0.64,70
Aerials lost,0.51,88
% of Aerials Won,55.6,92
Goals,0.17,82
Assists,0.21,91
Goals + Assists,0.39,90
Non-Penalty Goals,0.17,86
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
Yellow Cards,0.21,52
Red Cards,0.04,7
xG,0.18,88
Non-Penalty xG,0.18,93
xAG,0.21,94
npxG + xAG,0.39,96
Progressive Carries,3.09,94
Progressive Passes,8.41,97
Progressive Passes Rec,6.35,98
Goals,0.17,82
Shots Total,1.20,66
Shots on target,0.56,87
Shots on target %,46.4,96
Goals/Shot,0.14,88
Goals/Shot on target,0.31,63
Average Shot Distance,14.80,94
Shots from free kicks,0.04,73
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
xG,0.18,88
Non-Penalty xG,0.18,93
npxG/Sh,0.15,98
Goals - xG,-0.01,49
Non-Penalty Goals - npxG,-0.01,49
Passes Completed,47.45,70
Passes Attempted,55.98,69
Pass Completion %,84.8,69
Total Passing Distance,742.26,60
Progressive Passing Distance,178.03,39
Passes Completed (Short),25.27,82
Passes Attempted (Short),28.10,83
Pass Completion % (Short),89.9,69
Passes Completed (Medium),16.56,57
Passes Attempted (Medium),18.66,53
Pass Completion % (Medium),88.7,64
Passes Completed (Long),3.69,49
Passes Attempted (Long),5.06,43
Pass Completion % (Long),72.9,77
Assists,0.21,91
xAG,0.21,94
Expected Assists,0.21,95
Key Passes,1.84,90
Passes into Final Third,4.93,67
Passes into Penalty Area,2.02,97
Crosses into Penalty Area,0.21,81
Progressive Passes,8.41,97
Passes Attempted,55.98,69
Live-ball passes,53.62,71
Dead-ball passes,1.89,52
Passes from Free Kicks,0.86,42
Through Balls,0.34,89
Switches,0.21,22
Crosses,1.80,72
Throw-Ins taken,0.21,55
Corner Kicks,0.77,77
Inswinging Corner Kicks,0.34,77
Outswinging Corner Kicks,0.26,77
Straight Corner Kicks,0.00,46
Passes Completed,47.45,70
Passes Offside,0.47,2
Passes Blocked,0.99,30
Shot-Creating Actions,4.63,97
SCA (PassLive),3.52,99
SCA (PassDead),0.30,77
SCA (TO),0.30,98
SCA (Sh),0.21,86
SCA (Fld),0.17,81
SCA (Def),0.13,90
Goal-Creating Actions,1.03,99
GCA (PassLive),0.82,99
GCA (PassDead),0.04,86
GCA (TO),0.00,41
GCA (Sh),0.04,88
GCA (Fld),0.09,99
GCA (Def),0.04,95
Tackles,1.24,8
Tackles Won,0.77,13
Tackles (Def 3rd),0.34,5
Tackles (Mid 3rd),0.51,6
Tackles (Att 3rd),0.39,81
Dribblers Tackled,0.26,1
Dribbles Challenged,0.99,3
% of dribblers tackled,26.1,2
Challenges Lost,0.73,75
Blocks,0.77,8
Shots Blocked,0.13,19
Passes Blocked,0.64,18
Interceptions,0.51,6
Tkl+Int,1.76,5
Clearances,0.90,39
Errors,0.00,71
Touches,64.13,64
Touches (Def Pen),1.24,17
Touches (Def 3rd),5.53,1
Touches (Mid 3rd),32.52,46
Touches (Att 3rd),26.64,97
Touches (Att Pen),3.65,99
Touches (Live-Ball),64.13,64
Take-Ons Attempted,1.89,74
Successful Take-Ons,1.03,77
Successful Take-On %,54.5,59
Times Tackled During Take-On,0.64,66
Tackled During Take-On Percentage,34.1,68
Carries,40.71,70
Total Carrying Distance,228.69,77
Progressive Carrying Distance,96.56,69
Progressive Carries,3.09,94
Carries into Final Third,2.79,95
Carries into Penalty Area,0.99,99
Miscontrols,1.54,30
Dispossessed,1.59,6
Passes Received,50.79,78
Progressive Passes Rec,6.35,98
Yellow Cards,0.21,52
Red Cards,0.04,7
Second Yellow Card,0.00,55
Fouls Committed,1.24,60
Fouls Drawn,1.29,56
Offsides,0.04,48
Crosses,1.80,72
Interceptions,0.51,6
Tackles Won,0.77,13
Penalty Kicks Won,0.09,99
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,54
Ball Recoveries,5.53,23
Aerials won,0.64,34
Aerials lost,0.51,88
% of Aerials Won,55.6,69
