Non-Penalty Goals,0.03,48
Non-Penalty xG,0.02,19
Shots Total,0.62,50
Assists,0.00,10
xAG,0.07,35
npxG + xAG,0.08,25
Shot-Creating Actions,1.96,41
Passes Attempted,57.51,65
Pass Completion %,76.0,43
Progressive Passes,3.95,50
Progressive Carries,1.68,29
Successful Take-Ons,0.82,66
Touches (Att Pen),0.55,8
Progressive Passes Rec,4.29,45
Tackles,1.85,42
Interceptions,1.34,79
Blocks,1.00,33
Clearances,2.71,88
Aerials won,1.17,69
Goals,0.03,48
Assists,0.00,10
Goals + Assists,0.03,12
Non-Penalty Goals,0.03,48
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.17,59
Red Cards,0.00,60
xG,0.02,19
Non-Penalty xG,0.02,19
xAG,0.07,35
npxG + xAG,0.08,25
Progressive Carries,1.68,29
Progressive Passes,3.95,50
Progressive Passes Rec,4.29,45
Goals,0.03,48
Shots Total,0.62,50
Shots on target,0.10,30
Shots on target %,16.7,20
Goals/Shot,0.06,55
Goals/Shot on target,0.33,73
Average Shot Distance,26.00,8
Shots from free kicks,0.00,39
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.02,19
Non-Penalty xG,0.02,19
npxG/Sh,0.03,8
Goals - xG,0.02,74
Non-Penalty Goals - npxG,0.02,74
Passes Completed,43.71,58
Passes Attempted,57.51,65
Pass Completion %,76.0,43
Total Passing Distance,722.16,66
Progressive Passing Distance,321.19,89
Passes Completed (Short),20.72,48
Passes Attempted (Short),23.57,50
Pass Completion % (Short),87.9,39
Passes Completed (Medium),19.01,79
Passes Attempted (Medium),24.05,83
Pass Completion % (Medium),79.0,43
Passes Completed (Long),2.85,44
Passes Attempted (Long),6.35,50
Pass Completion % (Long),44.9,27
Assists,0.00,10
xAG,0.07,35
Expected Assists,0.10,55
Key Passes,0.72,34
Passes into Final Third,2.92,50
Passes into Penalty Area,1.34,73
Crosses into Penalty Area,0.69,75
Progressive Passes,3.95,50
Passes Attempted,57.51,65
Live-ball passes,45.50,58
Dead-ball passes,11.73,88
Passes from Free Kicks,1.10,62
Through Balls,0.03,41
Switches,0.24,50
Crosses,3.26,64
Throw-Ins taken,10.64,96
Corner Kicks,0.00,24
Inswinging Corner Kicks,0.00,33
Outswinging Corner Kicks,0.00,32
Straight Corner Kicks,0.00,48
Passes Completed,43.71,58
Passes Offside,0.27,23
Passes Blocked,1.24,50
Shot-Creating Actions,1.96,41
SCA (PassLive),1.51,45
SCA (PassDead),0.17,52
SCA (TO),0.03,33
SCA (Sh),0.07,57
SCA (Fld),0.07,55
SCA (Def),0.10,95
Goal-Creating Actions,0.14,39
GCA (PassLive),0.14,52
GCA (PassDead),0.00,33
GCA (TO),0.00,40
GCA (Sh),0.00,40
GCA (Fld),0.00,39
GCA (Def),0.00,47
Tackles,1.85,42
Tackles Won,0.96,25
Tackles (Def 3rd),0.75,18
Tackles (Mid 3rd),0.82,73
Tackles (Att 3rd),0.27,71
Dribblers Tackled,0.79,25
Dribbles Challenged,1.82,51
% of dribblers tackled,43.4,5
Challenges Lost,1.03,19
Blocks,1.00,33
Shots Blocked,0.17,26
Passes Blocked,0.82,49
Interceptions,1.34,79
Tkl+Int,3.19,58
Clearances,2.71,88
Errors,0.00,71
Touches,69.07,69
Touches (Def Pen),3.29,64
Touches (Def 3rd),20.76,75
Touches (Mid 3rd),29.23,57
Touches (Att 3rd),19.76,68
Touches (Att Pen),0.55,8
Touches (Live-Ball),69.07,69
Take-Ons Attempted,1.78,65
Successful Take-Ons,0.82,66
Successful Take-On %,46.2,60
Times Tackled During Take-On,0.82,63
Tackled During Take-On Percentage,46.2,51
Carries,34.31,51
Total Carrying Distance,156.74,35
Progressive Carrying Distance,72.02,26
Progressive Carries,1.68,29
Carries into Final Third,1.72,59
Carries into Penalty Area,0.10,17
Miscontrols,1.37,33
Dispossessed,0.62,48
Passes Received,36.92,51
Progressive Passes Rec,4.29,45
Yellow Cards,0.17,59
Red Cards,0.00,60
Second Yellow Card,0.00,54
Fouls Committed,1.10,46
Fouls Drawn,1.34,71
Offsides,0.14,29
Crosses,3.26,64
Interceptions,1.34,79
Tackles Won,0.96,25
Penalty Kicks Won,0.00,44
Penalty Kicks Conceded,0.03,24
Own Goals,0.00,55
Ball Recoveries,5.87,61
Aerials won,1.17,69
Aerials lost,0.72,70
% of Aerials Won,61.8,87
