Non-Penalty Goals,0.04,48
Non-Penalty xG,0.02,18
Shots Total,0.29,22
Assists,0.04,73
xAG,0.01,40
npxG + xAG,0.04,17
Shot-Creating Actions,0.40,12
Passes Attempted,56.10,57
Pass Completion %,87.1,69
Progressive Passes,3.50,61
Progressive Carries,0.36,32
Successful Take-Ons,0.07,23
Touches (Att Pen),0.36,7
Progressive Passes Rec,0.22,54
Tackles,1.37,43
Interceptions,1.01,28
Blocks,0.87,13
Clearances,3.54,47
Aerials won,2.35,69
Goals,0.04,48
Assists,0.04,73
Goals + Assists,0.07,65
Non-Penalty Goals,0.04,48
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.29,25
Red Cards,0.00,63
xG,0.02,17
Non-Penalty xG,0.02,18
xAG,0.01,40
npxG + xAG,0.04,17
Progressive Carries,0.36,32
Progressive Passes,3.50,61
Progressive Passes Rec,0.22,54
Goals,0.04,48
Shots Total,0.29,22
Shots on target,0.07,31
Shots on target %,25.0,48
Goals/Shot,0.13,72
Goals/Shot on target,0.50,71
Average Shot Distance,21.30,5
Shots from free kicks,0.00,47
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
xG,0.02,17
Non-Penalty xG,0.02,18
npxG/Sh,0.08,35
Goals - xG,0.01,76
Non-Penalty Goals - npxG,0.01,75
Passes Completed,48.88,62
Passes Attempted,56.10,57
Pass Completion %,87.1,69
Total Passing Distance,956.53,63
Progressive Passing Distance,329.68,53
Passes Completed (Short),15.45,53
Passes Attempted (Short),17.04,52
Pass Completion % (Short),90.7,54
Passes Completed (Medium),28.27,72
Passes Attempted (Medium),30.58,73
Pass Completion % (Medium),92.4,65
Passes Completed (Long),4.87,44
Passes Attempted (Long),7.51,34
Pass Completion % (Long),64.9,62
Assists,0.04,73
xAG,0.01,40
Expected Assists,0.02,39
Key Passes,0.07,8
Passes into Final Third,2.35,28
Passes into Penalty Area,0.25,69
Crosses into Penalty Area,0.07,80
Progressive Passes,3.50,61
Passes Attempted,56.10,57
Live-ball passes,53.94,62
Dead-ball passes,2.13,45
Passes from Free Kicks,1.26,30
Through Balls,0.00,23
Switches,0.29,31
Crosses,0.22,69
Throw-Ins taken,0.87,78
Corner Kicks,0.00,48
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,48.88,62
Passes Offside,0.04,90
Passes Blocked,0.40,46
Shot-Creating Actions,0.40,12
SCA (PassLive),0.29,11
SCA (PassDead),0.04,72
SCA (TO),0.00,38
SCA (Sh),0.00,15
SCA (Fld),0.00,35
SCA (Def),0.07,93
Goal-Creating Actions,0.11,76
GCA (PassLive),0.11,84
GCA (PassDead),0.00,48
GCA (TO),0.00,49
GCA (Sh),0.00,41
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.37,43
Tackles Won,0.79,43
Tackles (Def 3rd),0.90,49
Tackles (Mid 3rd),0.47,54
Tackles (Att 3rd),0.00,15
Dribblers Tackled,0.79,58
Dribbles Challenged,1.08,49
% of dribblers tackled,73.3,80
Challenges Lost,0.29,69
Blocks,0.87,13
Shots Blocked,0.61,43
Passes Blocked,0.25,11
Interceptions,1.01,28
Tkl+Int,2.38,33
Clearances,3.54,47
Errors,0.04,53
Touches,64.58,52
Touches (Def Pen),5.85,16
Touches (Def 3rd),30.97,44
Touches (Mid 3rd),31.23,60
Touches (Att 3rd),2.53,48
Touches (Att Pen),0.36,7
Touches (Live-Ball),64.58,52
Take-Ons Attempted,0.18,31
Successful Take-Ons,0.07,23
Successful Take-On %,40.0,20
Times Tackled During Take-On,0.11,58
Tackled During Take-On Percentage,60.0,10
Carries,40.58,62
Total Carrying Distance,208.23,60
Progressive Carrying Distance,115.99,60
Progressive Carries,0.36,32
Carries into Final Third,0.25,28
Carries into Penalty Area,0.04,58
Miscontrols,0.22,86
Dispossessed,0.07,81
Passes Received,42.35,58
Progressive Passes Rec,0.22,54
Yellow Cards,0.29,25
Red Cards,0.00,63
Second Yellow Card,0.00,56
Fouls Committed,1.41,12
Fouls Drawn,0.36,26
Offsides,0.00,76
Crosses,0.22,69
Interceptions,1.01,28
Tackles Won,0.79,43
Penalty Kicks Won,0.00,46
Penalty Kicks Conceded,0.00,74
Own Goals,0.00,61
Ball Recoveries,5.02,32
Aerials won,2.35,69
Aerials lost,1.95,8
% of Aerials Won,54.6,23
