Non-Penalty Goals,0.00,19
Non-Penalty xG,0.00,1
Shots Total,0.06,1
Assists,0.00,31
xAG,0.00,3
npxG + xAG,0.00,1
Shot-Creating Actions,0.43,15
Passes Attempted,67.66,84
Pass Completion %,88.6,80
Progressive Passes,3.48,60
Progressive Carries,0.68,63
Successful Take-Ons,0.06,19
Touches (Att Pen),0.25,3
Progressive Passes Rec,0.00,3
Tackles,0.99,16
Interceptions,0.87,14
Blocks,0.93,18
Clearances,2.98,24
Aerials won,2.23,63
Goals,0.00,19
Assists,0.00,31
Goals + Assists,0.00,12
Non-Penalty Goals,0.00,19
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.12,81
Red Cards,0.00,63
xG,0.00,1
Non-Penalty xG,0.00,1
xAG,0.00,3
npxG + xAG,0.00,1
Progressive Carries,0.68,63
Progressive Passes,3.48,60
Progressive Passes Rec,0.00,3
Goals,0.00,19
Shots Total,0.06,1
Shots on target,0.00,5
Shots on target %,0.0,5
Goals/Shot,0.00,19
Average Shot Distance,9.50,83
Shots from free kicks,0.00,47
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
xG,0.00,1
Non-Penalty xG,0.00,1
npxG/Sh,0.01,1
Goals - xG,0.00,62
Non-Penalty Goals - npxG,0.00,62
Passes Completed,59.96,84
Passes Attempted,67.66,84
Pass Completion %,88.6,80
Total Passing Distance,1171.55,86
Progressive Passing Distance,346.84,63
Passes Completed (Short),17.32,66
Passes Attempted (Short),18.99,66
Pass Completion % (Short),91.2,60
Passes Completed (Medium),36.99,94
Passes Attempted (Medium),38.67,94
Pass Completion % (Medium),95.7,96
Passes Completed (Long),5.21,52
Passes Attempted (Long),8.57,51
Pass Completion % (Long),60.9,45
Assists,0.00,31
xAG,0.00,3
Expected Assists,0.01,20
Key Passes,0.06,7
Passes into Final Third,3.85,75
Passes into Penalty Area,0.06,17
Crosses into Penalty Area,0.00,28
Progressive Passes,3.48,60
Passes Attempted,67.66,84
Live-ball passes,65.23,84
Dead-ball passes,2.05,40
Passes from Free Kicks,1.49,47
Through Balls,0.00,23
Switches,0.43,46
Crosses,0.00,8
Throw-Ins taken,0.25,48
Corner Kicks,0.00,48
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,59.96,84
Passes Offside,0.37,1
Passes Blocked,0.25,75
Shot-Creating Actions,0.43,15
SCA (PassLive),0.37,19
SCA (PassDead),0.06,89
SCA (TO),0.00,38
SCA (Sh),0.00,15
SCA (Fld),0.00,35
SCA (Def),0.00,33
Goal-Creating Actions,0.00,11
GCA (PassLive),0.00,15
GCA (PassDead),0.00,48
GCA (TO),0.00,49
GCA (Sh),0.00,41
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,0.99,16
Tackles Won,0.68,30
Tackles (Def 3rd),0.74,25
Tackles (Mid 3rd),0.25,13
Tackles (Att 3rd),0.00,15
Dribblers Tackled,0.43,13
Dribbles Challenged,0.56,5
% of dribblers tackled,77.8,92
Challenges Lost,0.12,94
Blocks,0.93,18
Shots Blocked,0.56,33
Passes Blocked,0.37,28
Interceptions,0.87,14
Tkl+Int,1.86,11
Clearances,2.98,24
Errors,0.06,26
Touches,74.30,79
Touches (Def Pen),9.74,83
Touches (Def 3rd),35.81,79
Touches (Mid 3rd),37.61,79
Touches (Att 3rd),1.18,6
Touches (Att Pen),0.25,3
Touches (Live-Ball),74.30,79
Take-Ons Attempted,0.12,20
Successful Take-Ons,0.06,19
Successful Take-On %,50.0,35
Times Tackled During Take-On,0.06,42
Tackled During Take-On Percentage,50.0,22
Carries,49.72,83
Total Carrying Distance,286.08,88
Progressive Carrying Distance,187.26,95
Progressive Carries,0.68,63
Carries into Final Third,0.50,62
Carries into Penalty Area,0.00,23
Miscontrols,0.19,92
Dispossessed,0.06,83
Passes Received,55.24,85
Progressive Passes Rec,0.00,3
Yellow Cards,0.12,81
Red Cards,0.00,63
Second Yellow Card,0.00,56
Fouls Committed,0.87,58
Fouls Drawn,0.50,43
Offsides,0.00,76
Crosses,0.00,8
Interceptions,0.87,14
Tackles Won,0.68,30
Penalty Kicks Won,0.00,46
Penalty Kicks Conceded,0.06,14
Own Goals,0.00,61
Ball Recoveries,4.47,14
Aerials won,2.23,63
Aerials lost,2.23,3
% of Aerials Won,50.0,10
