Non-Penalty Goals,0.12,73
Non-Penalty xG,0.08,57
Shots Total,0.61,18
Assists,0.06,44
xAG,0.04,15
npxG + xAG,0.12,33
Shot-Creating Actions,1.34,10
Passes Attempted,53.59,62
Pass Completion %,85.0,70
Progressive Passes,4.99,49
Progressive Carries,1.05,38
Successful Take-Ons,0.41,28
Touches (Att Pen),0.96,41
Progressive Passes Rec,0.76,12
Tackles,1.72,24
Interceptions,1.49,81
Blocks,1.25,52
Clearances,1.84,88
Aerials won,2.19,91
Goals,0.12,71
Assists,0.06,44
Goals + Assists,0.17,56
Non-Penalty Goals,0.12,73
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
Yellow Cards,0.23,45
Red Cards,0.00,58
xG,0.08,54
Non-Penalty xG,0.08,57
xAG,0.04,15
npxG + xAG,0.12,33
Progressive Carries,1.05,38
Progressive Passes,4.99,49
Progressive Passes Rec,0.76,12
Goals,0.12,71
Shots Total,0.61,18
Shots on target,0.29,49
Shots on target %,47.6,97
Goals/Shot,0.19,94
Goals/Shot on target,0.40,77
Average Shot Distance,13.40,98
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
xG,0.08,54
Non-Penalty xG,0.08,57
npxG/Sh,0.13,94
Goals - xG,0.04,78
Non-Penalty Goals - npxG,0.04,79
Passes Completed,45.54,65
Passes Attempted,53.59,62
Pass Completion %,85.0,70
Total Passing Distance,759.83,62
Progressive Passing Distance,247.23,75
Passes Completed (Short),21.78,66
Passes Attempted (Short),24.05,66
Pass Completion % (Short),90.5,72
Passes Completed (Medium),19.56,72
Passes Attempted (Medium),21.90,71
Pass Completion % (Medium),89.3,70
Passes Completed (Long),3.29,44
Passes Attempted (Long),5.25,46
Pass Completion % (Long),62.8,42
Assists,0.06,44
xAG,0.04,15
Expected Assists,0.05,19
Key Passes,0.47,14
Passes into Final Third,4.93,67
Passes into Penalty Area,0.44,23
Crosses into Penalty Area,0.03,21
Progressive Passes,4.99,49
Passes Attempted,53.59,62
Live-ball passes,52.19,67
Dead-ball passes,1.25,33
Passes from Free Kicks,1.14,52
Through Balls,0.09,36
Switches,0.26,31
Crosses,0.12,7
Throw-Ins taken,0.06,20
Corner Kicks,0.00,24
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,30
Straight Corner Kicks,0.00,46
Passes Completed,45.54,65
Passes Offside,0.15,64
Passes Blocked,0.67,75
Shot-Creating Actions,1.34,10
SCA (PassLive),1.22,16
SCA (PassDead),0.00,21
SCA (TO),0.06,53
SCA (Sh),0.00,6
SCA (Fld),0.03,20
SCA (Def),0.03,33
Goal-Creating Actions,0.15,30
GCA (PassLive),0.12,34
GCA (PassDead),0.00,40
GCA (TO),0.03,86
GCA (Sh),0.00,36
GCA (Fld),0.00,38
GCA (Def),0.00,43
Tackles,1.72,24
Tackles Won,0.90,23
Tackles (Def 3rd),0.64,26
Tackles (Mid 3rd),0.96,46
Tackles (Att 3rd),0.12,12
Dribblers Tackled,0.58,15
Dribbles Challenged,1.31,12
% of dribblers tackled,44.4,40
Challenges Lost,0.73,76
Blocks,1.25,52
Shots Blocked,0.50,90
Passes Blocked,0.76,30
Interceptions,1.49,81
Tkl+Int,3.21,51
Clearances,1.84,88
Errors,0.12,2
Touches,62.39,60
Touches (Def Pen),3.79,93
Touches (Def 3rd),16.44,81
Touches (Mid 3rd),39.80,71
Touches (Att 3rd),6.94,7
Touches (Att Pen),0.96,41
Touches (Live-Ball),62.39,60
Take-Ons Attempted,0.73,21
Successful Take-Ons,0.41,28
Successful Take-On %,56.0,65
Times Tackled During Take-On,0.20,13
Tackled During Take-On Percentage,28.0,84
Carries,37.61,59
Total Carrying Distance,192.19,63
Progressive Carrying Distance,102.68,73
Progressive Carries,1.05,38
Carries into Final Third,0.99,33
Carries into Penalty Area,0.09,34
Miscontrols,0.76,88
Dispossessed,0.47,84
Passes Received,42.48,60
Progressive Passes Rec,0.76,12
Yellow Cards,0.23,45
Red Cards,0.00,58
Second Yellow Card,0.00,55
Fouls Committed,1.37,47
Fouls Drawn,0.90,33
Offsides,0.06,38
Crosses,0.12,7
Interceptions,1.49,81
Tackles Won,0.90,23
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,54
Ball Recoveries,6.33,47
Aerials won,2.19,91
Aerials lost,0.96,46
% of Aerials Won,69.4,98
