Non-Penalty Goals,0.06,47
Non-Penalty xG,0.14,84
Shots Total,1.36,75
Assists,0.25,95
xAG,0.17,89
npxG + xAG,0.31,89
Shot-Creating Actions,2.87,71
Passes Attempted,55.42,67
Pass Completion %,76.1,18
Progressive Passes,5.87,69
Progressive Carries,1.11,41
Successful Take-Ons,0.63,53
Touches (Att Pen),2.53,89
Progressive Passes Rec,3.35,79
Tackles,2.68,80
Interceptions,1.14,56
Blocks,1.39,69
Clearances,1.86,89
Aerials won,3.28,99
Goals,0.06,45
Assists,0.25,95
Goals + Assists,0.32,84
Non-Penalty Goals,0.06,47
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.03,90
Yellow Cards,0.22,50
Red Cards,0.00,58
xG,0.16,86
Non-Penalty xG,0.14,84
xAG,0.17,89
npxG + xAG,0.31,89
Progressive Carries,1.11,41
Progressive Passes,5.87,69
Progressive Passes Rec,3.35,79
Goals,0.06,45
Shots Total,1.36,75
Shots on target,0.51,83
Shots on target %,37.2,80
Goals/Shot,0.05,40
Goals/Shot on target,0.13,31
Average Shot Distance,14.50,95
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.03,90
xG,0.16,86
Non-Penalty xG,0.14,84
npxG/Sh,0.10,79
Goals - xG,-0.10,2
Non-Penalty Goals - npxG,-0.08,5
Passes Completed,42.19,56
Passes Attempted,55.42,67
Pass Completion %,76.1,18
Total Passing Distance,645.09,42
Progressive Passing Distance,217.11,59
Passes Completed (Short),22.48,71
Passes Attempted (Short),26.46,76
Pass Completion % (Short),85.0,21
Passes Completed (Medium),14.59,41
Passes Attempted (Medium),18.51,51
Pass Completion % (Medium),78.8,9
Passes Completed (Long),2.87,34
Passes Attempted (Long),5.49,51
Pass Completion % (Long),52.3,13
Assists,0.25,95
xAG,0.17,89
Expected Assists,0.13,79
Key Passes,1.33,76
Passes into Final Third,5.59,78
Passes into Penalty Area,1.23,84
Crosses into Penalty Area,0.16,68
Progressive Passes,5.87,69
Passes Attempted,55.42,67
Live-ball passes,54.03,71
Dead-ball passes,0.95,21
Passes from Free Kicks,0.85,41
Through Balls,0.41,93
Switches,0.35,45
Crosses,0.69,49
Throw-Ins taken,0.06,20
Corner Kicks,0.03,50
Inswinging Corner Kicks,0.00,31
Outswinging Corner Kicks,0.00,30
Straight Corner Kicks,0.00,46
Passes Completed,42.19,56
Passes Offside,0.44,3
Passes Blocked,1.48,3
Shot-Creating Actions,2.87,71
SCA (PassLive),2.31,77
SCA (PassDead),0.03,46
SCA (TO),0.09,68
SCA (Sh),0.13,64
SCA (Fld),0.13,68
SCA (Def),0.19,98
Goal-Creating Actions,0.41,87
GCA (PassLive),0.28,83
GCA (PassDead),0.00,40
GCA (TO),0.00,41
GCA (Sh),0.06,94
GCA (Fld),0.03,81
GCA (Def),0.03,88
Tackles,2.68,80
Tackles Won,1.64,85
Tackles (Def 3rd),0.85,54
Tackles (Mid 3rd),1.39,85
Tackles (Att 3rd),0.44,90
Dribblers Tackled,1.20,83
Dribbles Challenged,2.31,79
% of dribblers tackled,52.1,68
Challenges Lost,1.11,37
Blocks,1.39,69
Shots Blocked,0.38,77
Passes Blocked,1.01,62
Interceptions,1.14,56
Tkl+Int,3.82,72
Clearances,1.86,89
Errors,0.06,16
Touches,68.08,72
Touches (Def Pen),3.41,88
Touches (Def 3rd),13.17,53
Touches (Mid 3rd),38.72,69
Touches (Att 3rd),17.05,72
Touches (Att Pen),2.53,89
Touches (Live-Ball),68.05,72
Take-Ons Attempted,1.14,49
Successful Take-Ons,0.63,53
Successful Take-On %,55.6,63
Times Tackled During Take-On,0.44,45
Tackled During Take-On Percentage,38.9,54
Carries,37.86,61
Total Carrying Distance,139.58,28
Progressive Carrying Distance,59.84,25
Progressive Carries,1.11,41
Carries into Final Third,1.33,57
Carries into Penalty Area,0.28,77
Miscontrols,1.80,19
Dispossessed,1.36,12
Passes Received,46.33,71
Progressive Passes Rec,3.35,79
Yellow Cards,0.22,50
Red Cards,0.00,58
Second Yellow Card,0.00,55
Fouls Committed,2.05,11
Fouls Drawn,1.58,75
Offsides,0.19,5
Crosses,0.69,49
Interceptions,1.14,56
Tackles Won,1.64,85
Penalty Kicks Won,0.03,91
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,54
Ball Recoveries,8.78,97
Aerials won,3.28,99
Aerials lost,1.89,7
% of Aerials Won,63.4,91
