Non-Penalty Goals,0.14,6
Non-Penalty xG,0.19,10
Shots Total,1.22,1
Assists,0.27,92
xAG,0.37,99
npxG + xAG,0.57,65
Shot-Creating Actions,3.12,82
Passes Attempted,29.95,83
Pass Completion %,73.8,76
Progressive Passes,2.44,72
Progressive Carries,2.03,77
Successful Take-Ons,0.54,27
Touches (Att Pen),3.93,19
Progressive Passes Rec,9.35,95
Tackles,1.08,88
Interceptions,0.54,96
Blocks,1.36,99
Clearances,0.95,70
Aerials won,1.22,31
Goals,0.41,52
Assists,0.27,92
Goals + Assists,0.68,73
Non-Penalty Goals,0.14,6
Penalty Kicks Made,0.27,99
Penalty Kicks Attempted,0.27,98
Yellow Cards,0.00,96
Red Cards,0.00,56
xG,0.41,50
Non-Penalty xG,0.19,10
xAG,0.37,99
npxG + xAG,0.57,65
Progressive Carries,2.03,77
Progressive Passes,2.44,72
Progressive Passes Rec,9.35,95
Goals,0.41,52
Shots Total,1.22,1
Shots on target,0.54,8
Shots on target %,44.4,76
Goals/Shot,0.11,29
Goals/Shot on target,0.25,17
Average Shot Distance,19.90,1
Shots from free kicks,0.00,34
Penalty Kicks Made,0.27,99
Penalty Kicks Attempted,0.27,98
xG,0.41,50
Non-Penalty xG,0.19,10
npxG/Sh,0.16,73
Goals - xG,0.00,48
Non-Penalty Goals - npxG,-0.05,27
Passes Completed,22.09,85
Passes Attempted,29.95,83
Pass Completion %,73.8,76
Total Passing Distance,321.10,87
Progressive Passing Distance,77.39,89
Passes Completed (Short),12.61,84
Passes Attempted (Short),14.77,78
Pass Completion % (Short),85.3,88
Passes Completed (Medium),6.51,86
Passes Attempted (Medium),7.73,76
Pass Completion % (Medium),84.2,94
Passes Completed (Long),1.63,85
Passes Attempted (Long),3.12,90
Pass Completion % (Long),52.2,22
Assists,0.27,92
xAG,0.37,99
Expected Assists,0.23,94
Key Passes,2.03,97
Passes into Final Third,1.08,54
Passes into Penalty Area,1.22,90
Crosses into Penalty Area,0.14,80
Progressive Passes,2.44,72
Passes Attempted,29.95,83
Live-ball passes,27.65,83
Dead-ball passes,1.90,79
Passes from Free Kicks,0.41,93
Through Balls,0.00,6
Switches,0.14,58
Crosses,2.85,96
Throw-Ins taken,0.00,11
Corner Kicks,1.36,96
Inswinging Corner Kicks,0.54,96
Outswinging Corner Kicks,0.68,98
Straight Corner Kicks,0.00,49
Passes Completed,22.09,85
Passes Offside,0.41,2
Passes Blocked,0.68,65
Shot-Creating Actions,3.12,82
SCA (PassLive),2.03,69
SCA (PassDead),0.81,98
SCA (TO),0.00,4
SCA (Sh),0.27,50
SCA (Fld),0.00,2
SCA (Def),0.00,23
Goal-Creating Actions,0.54,89
GCA (PassLive),0.41,90
GCA (PassDead),0.14,99
GCA (TO),0.00,27
GCA (Sh),0.00,18
GCA (Fld),0.00,26
GCA (Def),0.00,46
Tackles,1.08,88
Tackles Won,0.54,81
Tackles (Def 3rd),0.27,85
Tackles (Mid 3rd),0.41,79
Tackles (Att 3rd),0.41,90
Dribblers Tackled,0.41,92
Dribbles Challenged,1.08,94
% of dribblers tackled,37.5,58
Challenges Lost,0.68,9
Blocks,1.36,99
Shots Blocked,0.27,98
Passes Blocked,1.08,98
Interceptions,0.54,96
Tkl+Int,1.63,93
Clearances,0.95,70
Errors,0.00,55
Touches,41.61,85
Touches (Def Pen),2.17,99
Touches (Def 3rd),7.59,99
Touches (Mid 3rd),14.50,45
Touches (Att 3rd),19.92,77
Touches (Att Pen),3.93,19
Touches (Live-Ball),41.34,84
Take-Ons Attempted,1.76,51
Successful Take-Ons,0.54,27
Successful Take-On %,30.8,8
Times Tackled During Take-On,1.08,67
Tackled During Take-On Percentage,61.5,10
Carries,25.48,85
Total Carrying Distance,129.71,75
Progressive Carrying Distance,49.88,70
Progressive Carries,2.03,77
Carries into Final Third,1.22,73
Carries into Penalty Area,1.08,82
Miscontrols,2.44,64
Dispossessed,1.90,22
Passes Received,28.73,71
Progressive Passes Rec,9.35,95
Yellow Cards,0.00,96
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,0.81,81
Fouls Drawn,1.08,35
Offsides,0.68,44
Crosses,2.85,96
Interceptions,0.54,96
Tackles Won,0.54,81
Penalty Kicks Won,0.00,26
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,4.20,99
Aerials won,1.22,31
Aerials lost,2.44,54
% of Aerials Won,33.3,18
