Non-Penalty Goals,0.19,15
Non-Penalty xG,0.28,24
Shots Total,2.28,31
Assists,0.28,94
xAG,0.26,96
npxG + xAG,0.53,57
Shot-Creating Actions,2.09,30
Passes Attempted,19.94,36
Pass Completion %,68.1,44
Progressive Passes,1.23,17
Progressive Carries,3.61,97
Successful Take-Ons,1.71,94
Touches (Att Pen),3.23,5
Progressive Passes Rec,8.64,92
Tackles,0.57,43
Interceptions,0.57,98
Blocks,0.95,86
Clearances,0.28,15
Aerials won,0.57,9
Goals,0.19,13
Assists,0.28,94
Goals + Assists,0.47,40
Non-Penalty Goals,0.19,15
Penalty Kicks Made,0.00,22
Penalty Kicks Attempted,0.00,17
Yellow Cards,0.47,1
Red Cards,0.19,1
xG,0.28,16
Non-Penalty xG,0.28,24
xAG,0.26,96
npxG + xAG,0.53,57
Progressive Carries,3.61,97
Progressive Passes,1.23,17
Progressive Passes Rec,8.64,92
Goals,0.19,13
Shots Total,2.28,31
Shots on target,0.95,35
Shots on target %,41.7,58
Goals/Shot,0.08,13
Goals/Shot on target,0.20,13
Average Shot Distance,19.00,1
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,22
Penalty Kicks Attempted,0.00,17
xG,0.28,16
Non-Penalty xG,0.28,24
npxG/Sh,0.12,31
Goals - xG,-0.09,23
Non-Penalty Goals - npxG,-0.09,21
Passes Completed,13.58,35
Passes Attempted,19.94,36
Pass Completion %,68.1,44
Total Passing Distance,188.07,37
Progressive Passing Distance,39.02,43
Passes Completed (Short),8.16,37
Passes Attempted (Short),9.68,21
Pass Completion % (Short),84.3,85
Passes Completed (Medium),3.89,43
Passes Attempted (Medium),6.65,62
Pass Completion % (Medium),58.6,14
Passes Completed (Long),0.57,33
Passes Attempted (Long),1.71,66
Pass Completion % (Long),33.3,4
Assists,0.28,94
xAG,0.26,96
Expected Assists,0.19,90
Key Passes,1.04,53
Passes into Final Third,0.85,33
Passes into Penalty Area,0.85,76
Crosses into Penalty Area,0.38,98
Progressive Passes,1.23,17
Passes Attempted,19.94,36
Live-ball passes,18.89,35
Dead-ball passes,0.95,36
Passes from Free Kicks,0.09,77
Through Balls,0.00,6
Switches,0.00,8
Crosses,2.37,96
Throw-Ins taken,0.09,48
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,45
Straight Corner Kicks,0.00,49
Passes Completed,13.58,35
Passes Offside,0.09,56
Passes Blocked,0.57,74
Shot-Creating Actions,2.09,30
SCA (PassLive),1.42,33
SCA (PassDead),0.00,35
SCA (TO),0.19,55
SCA (Sh),0.09,6
SCA (Fld),0.28,77
SCA (Def),0.09,94
Goal-Creating Actions,0.38,70
GCA (PassLive),0.28,77
GCA (PassDead),0.00,48
GCA (TO),0.00,27
GCA (Sh),0.00,18
GCA (Fld),0.09,92
GCA (Def),0.00,46
Tackles,0.57,43
Tackles Won,0.28,35
Tackles (Def 3rd),0.38,94
Tackles (Mid 3rd),0.19,28
Tackles (Att 3rd),0.00,1
Dribblers Tackled,0.09,21
Dribbles Challenged,0.95,86
% of dribblers tackled,10.0,7
Challenges Lost,0.85,4
Blocks,0.95,86
Shots Blocked,0.09,56
Passes Blocked,0.85,87
Interceptions,0.57,98
Tkl+Int,1.14,78
Clearances,0.28,15
Errors,0.00,55
Touches,34.56,58
Touches (Def Pen),0.38,12
Touches (Def 3rd),3.99,93
Touches (Mid 3rd),13.86,37
Touches (Att 3rd),18.32,69
Touches (Att Pen),3.23,5
Touches (Live-Ball),34.56,58
Take-Ons Attempted,4.37,98
Successful Take-Ons,1.71,94
Successful Take-On %,39.1,33
Times Tackled During Take-On,2.09,98
Tackled During Take-On Percentage,47.8,62
Carries,25.06,84
Total Carrying Distance,195.85,98
Progressive Carrying Distance,103.77,98
Progressive Carries,3.61,97
Carries into Final Third,1.80,91
Carries into Penalty Area,1.23,86
Miscontrols,4.56,3
Dispossessed,1.04,79
Passes Received,24.87,47
Progressive Passes Rec,8.64,92
Yellow Cards,0.47,1
Red Cards,0.19,1
Second Yellow Card,0.19,1
Fouls Committed,1.61,26
Fouls Drawn,1.99,85
Offsides,0.28,95
Crosses,2.37,96
Interceptions,0.57,98
Tackles Won,0.28,35
Penalty Kicks Won,0.09,89
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,3.51,94
Aerials won,0.57,9
Aerials lost,3.23,31
% of Aerials Won,15.0,2
