player,url,position
Jon Pacheco,players/Real Sociedad/jon_pacheco.csv,DF
Mikel Oyarzabal,players/Real Sociedad/mikel_oyarzabal.csv,FW
Martín Zubimendi,players/Real Sociedad/martín_zubimendi.csv,MF
Mohamed Ali Cho,players/Real Sociedad/mohamed_ali_cho.csv,FW
Alex Sola,players/Real Sociedad/alex_sola.csv,DF
Mikel Merino,players/Real Sociedad/mikel_merino.csv,MF
Aritz Elustondo,players/Real Sociedad/aritz_elustondo.csv,DF
David Silva,players/Real Sociedad/david_silva.csv,MF
Álex Remiro,players/Real Sociedad/álex_remiro.csv,GK
Alexander Sørloth,players/Real Sociedad/alexander_sørloth.csv,FW
Ander Guevara,players/Real Sociedad/ander_guevara.csv,MF
Robin Le Normand,players/Real Sociedad/robin_le_normand.csv,DF
Andoni Gorosabel,players/Real Sociedad/andoni_gorosabel.csv,DF
Asier Illarramendi,players/Real Sociedad/asier_illarramendi.csv,MF
Roberto Navarro,players/Real Sociedad/roberto_navarro.csv,MFFW
Igor Zubeldia,players/Real Sociedad/igor_zubeldia.csv,DF
Alexander Isak,players/Real Sociedad/alexander_isak.csv,FW
Diego Rico,players/Real Sociedad/diego_rico.csv,DF
Aihen Muñoz,players/Real Sociedad/aihen_muñoz.csv,DF
Takefusa Kubo,players/Real Sociedad/takefusa_kubo.csv,FWMF
Brais Méndez,players/Real Sociedad/brais_méndez.csv,MF
