Non-Penalty Goals,0.33,99
Non-Penalty xG,0.38,99
Shots Total,3.17,99
Assists,0.33,99
xAG,0.28,99
npxG + xAG,0.68,99
Shot-Creating Actions,4.17,94
Passes Attempted,37.67,18
Pass Completion %,73.9,10
Progressive Passes,3.50,17
Progressive Carries,4.33,99
Successful Take-Ons,1.83,99
Touches (Att Pen),6.83,99
Progressive Passes Rec,8.33,99
Tackles,1.17,6
Interceptions,0.67,16
Blocks,1.67,89
Clearances,0.33,2
Aerials won,1.33,74
Goals,0.33,98
Assists,0.33,99
Goals + Assists,0.67,99
Non-Penalty Goals,0.33,99
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
Yellow Cards,0.33,18
Red Cards,0.00,58
xG,0.38,99
Non-Penalty xG,0.38,99
xAG,0.28,99
npxG + xAG,0.68,99
Progressive Carries,4.33,99
Progressive Passes,3.50,17
Progressive Passes Rec,8.33,99
Goals,0.33,98
Shots Total,3.17,99
Shots on target,1.33,99
Shots on target %,42.1,89
Goals/Shot,0.11,73
Goals/Shot on target,0.25,53
Average Shot Distance,15.50,92
Shots from free kicks,0.00,34
Penalty Kicks Made,0.00,44
Penalty Kicks Attempted,0.00,44
xG,0.38,99
Non-Penalty xG,0.38,99
npxG/Sh,0.12,90
Goals - xG,-0.05,16
Non-Penalty Goals - npxG,-0.05,15
Passes Completed,27.83,13
Passes Attempted,37.67,18
Pass Completion %,73.9,10
Total Passing Distance,370.17,5
Progressive Passing Distance,98.17,4
Passes Completed (Short),17.00,35
Passes Attempted (Short),19.83,39
Pass Completion % (Short),85.7,24
Passes Completed (Medium),6.17,1
Passes Attempted (Medium),9.67,3
Pass Completion % (Medium),63.8,1
Passes Completed (Long),2.00,12
Passes Attempted (Long),3.50,13
Pass Completion % (Long),57.1,24
Assists,0.33,99
xAG,0.28,99
Expected Assists,0.23,96
Key Passes,3.00,99
Passes into Final Third,2.17,7
Passes into Penalty Area,0.83,64
Crosses into Penalty Area,0.00,10
Progressive Passes,3.50,17
Passes Attempted,37.67,18
Live-ball passes,34.50,14
Dead-ball passes,3.00,74
Passes from Free Kicks,1.00,48
Through Balls,0.00,5
Switches,0.17,14
Crosses,3.50,87
Throw-Ins taken,0.00,5
Corner Kicks,2.00,87
Inswinging Corner Kicks,0.83,87
Outswinging Corner Kicks,0.67,84
Straight Corner Kicks,0.00,46
Passes Completed,27.83,13
Passes Offside,0.17,54
Passes Blocked,1.17,17
Shot-Creating Actions,4.17,94
SCA (PassLive),2.67,88
SCA (PassDead),0.67,84
SCA (TO),0.33,99
SCA (Sh),0.33,97
SCA (Fld),0.17,81
SCA (Def),0.00,14
Goal-Creating Actions,0.50,93
GCA (PassLive),0.50,99
GCA (PassDead),0.00,40
GCA (TO),0.00,41
GCA (Sh),0.00,36
GCA (Fld),0.00,38
GCA (Def),0.00,43
Tackles,1.17,6
Tackles Won,1.00,31
Tackles (Def 3rd),0.83,51
Tackles (Mid 3rd),0.17,1
Tackles (Att 3rd),0.17,25
Dribblers Tackled,0.33,1
Dribbles Challenged,0.67,1
% of dribblers tackled,50.0,60
Challenges Lost,0.33,98
Blocks,1.67,89
Shots Blocked,0.00,1
Passes Blocked,1.67,97
Interceptions,0.67,16
Tkl+Int,1.83,6
Clearances,0.33,2
Errors,0.00,71
Touches,56.00,38
Touches (Def Pen),0.33,1
Touches (Def 3rd),5.00,1
Touches (Mid 3rd),21.00,4
Touches (Att 3rd),31.50,99
Touches (Att Pen),6.83,99
Touches (Live-Ball),56.00,38
Take-Ons Attempted,4.83,99
Successful Take-Ons,1.83,99
Successful Take-On %,37.9,13
Times Tackled During Take-On,2.33,99
Tackled During Take-On Percentage,48.3,29
Carries,35.67,53
Total Carrying Distance,249.83,83
Progressive Carrying Distance,110.00,79
Progressive Carries,4.33,99
Carries into Final Third,2.83,95
Carries into Penalty Area,2.33,99
Miscontrols,4.67,1
Dispossessed,2.83,1
Passes Received,38.33,47
Progressive Passes Rec,8.33,99
Yellow Cards,0.33,18
Red Cards,0.00,58
Second Yellow Card,0.00,55
Fouls Committed,1.67,27
Fouls Drawn,1.67,79
Offsides,0.83,1
Crosses,3.50,87
Interceptions,0.67,16
Tackles Won,1.00,31
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,61
Own Goals,0.00,54
Ball Recoveries,4.83,7
Aerials won,1.33,74
Aerials lost,1.17,32
% of Aerials Won,53.3,63
