Non-Penalty Goals,0.03,41
Non-Penalty xG,0.02,22
Shots Total,0.37,34
Assists,0.00,31
xAG,0.00,7
npxG + xAG,0.03,10
Shot-Creating Actions,0.37,10
Passes Attempted,56.86,61
Pass Completion %,88.8,82
Progressive Passes,3.42,57
Progressive Carries,0.79,69
Successful Take-Ons,0.06,17
Touches (Att Pen),0.70,41
Progressive Passes Rec,0.06,15
Tackles,1.28,39
Interceptions,0.92,19
Blocks,0.98,24
Clearances,3.15,30
Aerials won,2.69,81
Goals,0.03,41
Assists,0.00,31
Goals + Assists,0.03,27
Non-Penalty Goals,0.03,41
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.21,43
Red Cards,0.00,63
xG,0.02,21
Non-Penalty xG,0.02,22
xAG,0.00,7
npxG + xAG,0.03,10
Progressive Carries,0.79,69
Progressive Passes,3.42,57
Progressive Passes Rec,0.06,15
Goals,0.03,41
Shots Total,0.37,34
Shots on target,0.06,27
Shots on target %,16.7,28
Goals/Shot,0.08,56
Goals/Shot on target,0.50,71
Average Shot Distance,13.10,43
Shots from free kicks,0.00,47
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
xG,0.02,21
Non-Penalty xG,0.02,22
npxG/Sh,0.07,24
Goals - xG,0.01,68
Non-Penalty Goals - npxG,0.01,68
Passes Completed,50.51,69
Passes Attempted,56.86,61
Pass Completion %,88.8,82
Total Passing Distance,989.54,68
Progressive Passing Distance,307.66,43
Passes Completed (Short),16.25,59
Passes Attempted (Short),18.14,61
Pass Completion % (Short),89.6,44
Passes Completed (Medium),27.82,69
Passes Attempted (Medium),29.78,69
Pass Completion % (Medium),93.4,78
Passes Completed (Long),5.83,64
Passes Attempted (Long),7.63,35
Pass Completion % (Long),76.4,95
Assists,0.00,31
xAG,0.00,7
Expected Assists,0.01,10
Key Passes,0.12,19
Passes into Final Third,2.96,50
Passes into Penalty Area,0.09,25
Crosses into Penalty Area,0.00,28
Progressive Passes,3.42,57
Passes Attempted,56.86,61
Live-ball passes,54.67,64
Dead-ball passes,2.11,43
Passes from Free Kicks,1.71,57
Through Balls,0.00,23
Switches,0.09,6
Crosses,0.06,34
Throw-Ins taken,0.06,12
Corner Kicks,0.00,48
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,50.51,69
Passes Offside,0.09,62
Passes Blocked,0.12,95
Shot-Creating Actions,0.37,10
SCA (PassLive),0.34,14
SCA (PassDead),0.00,31
SCA (TO),0.00,38
SCA (Sh),0.03,33
SCA (Fld),0.00,35
SCA (Def),0.00,33
Goal-Creating Actions,0.03,26
GCA (PassLive),0.03,33
GCA (PassDead),0.00,48
GCA (TO),0.00,49
GCA (Sh),0.00,41
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,1.28,39
Tackles Won,0.86,51
Tackles (Def 3rd),1.04,64
Tackles (Mid 3rd),0.21,9
Tackles (Att 3rd),0.03,35
Dribblers Tackled,0.64,43
Dribbles Challenged,0.86,28
% of dribblers tackled,75.0,85
Challenges Lost,0.21,87
Blocks,0.98,24
Shots Blocked,0.70,58
Passes Blocked,0.27,14
Interceptions,0.92,19
Tkl+Int,2.20,25
Clearances,3.15,30
Errors,0.00,82
Touches,65.02,55
Touches (Def Pen),8.95,74
Touches (Def 3rd),34.05,71
Touches (Mid 3rd),29.87,54
Touches (Att 3rd),1.40,11
Touches (Att Pen),0.70,41
Touches (Live-Ball),65.02,55
Take-Ons Attempted,0.06,7
Successful Take-Ons,0.06,17
Successful Take-On %,100.0,92
Times Tackled During Take-On,0.00,11
Tackled During Take-On Percentage,0.0,89
Carries,41.05,65
Total Carrying Distance,217.81,64
Progressive Carrying Distance,129.92,72
Progressive Carries,0.79,69
Carries into Final Third,0.34,40
Carries into Penalty Area,0.03,51
Miscontrols,0.21,86
Dispossessed,0.18,45
Passes Received,43.52,64
Progressive Passes Rec,0.06,15
Yellow Cards,0.21,43
Red Cards,0.00,63
Second Yellow Card,0.00,56
Fouls Committed,1.10,34
Fouls Drawn,0.76,73
Offsides,0.06,24
Crosses,0.06,34
Interceptions,0.92,19
Tackles Won,0.86,51
Penalty Kicks Won,0.00,46
Penalty Kicks Conceded,0.00,74
Own Goals,0.03,17
Ball Recoveries,4.18,8
Aerials won,2.69,81
Aerials lost,1.68,20
% of Aerials Won,61.5,49
