Non-Penalty Goals,0.15,8
Non-Penalty xG,0.17,4
Shots Total,2.68,55
Assists,0.19,78
xAG,0.21,90
npxG + xAG,0.38,25
Shot-Creating Actions,3.60,88
Passes Attempted,33.75,94
Pass Completion %,70.4,55
Progressive Passes,3.48,90
Progressive Carries,3.79,98
Successful Take-Ons,1.42,87
Touches (Att Pen),4.63,47
Progressive Passes Rec,8.84,93
Tackles,1.80,99
Interceptions,0.15,41
Blocks,0.96,87
Clearances,0.11,3
Aerials won,0.73,15
Non-Penalty Goals,0.15,22
Non-Penalty xG,0.17,26
Shots Total,2.68,70
Assists,0.19,48
xAG,0.21,56
npxG + xAG,0.38,41
Shot-Creating Actions,3.60,40
Passes Attempted,33.75,30
Pass Completion %,70.4,17
Progressive Passes,3.48,43
Progressive Carries,3.79,70
Successful Take-Ons,1.42,51
Touches (Att Pen),4.63,68
Progressive Passes Rec,8.84,65
Tackles,1.80,84
Interceptions,0.15,8
Blocks,0.96,53
Clearances,0.11,8
Aerials won,0.73,75
Non-Penalty Goals,0.15,81
Non-Penalty xG,0.17,91
Shots Total,2.68,99
Assists,0.19,86
xAG,0.21,94
npxG + xAG,0.38,95
Shot-Creating Actions,3.60,89
Passes Attempted,33.75,8
Pass Completion %,70.4,2
Progressive Passes,3.48,16
Progressive Carries,3.79,99
Successful Take-Ons,1.42,92
Touches (Att Pen),4.63,99
Progressive Passes Rec,8.84,99
Tackles,1.80,29
Interceptions,0.15,1
Blocks,0.96,25
Clearances,0.11,1
Aerials won,0.73,43
Goals,0.15,7
Assists,0.19,78
Goals + Assists,0.34,19
Non-Penalty Goals,0.15,8
Penalty Kicks Made,0.00,22
Penalty Kicks Attempted,0.00,17
Yellow Cards,0.15,51
Red Cards,0.00,56
xG,0.17,2
Non-Penalty xG,0.17,4
xAG,0.21,90
npxG + xAG,0.38,25
Progressive Carries,3.79,98
Progressive Passes,3.48,90
Progressive Passes Rec,8.84,93
Goals,0.15,7
Shots Total,2.68,55
Shots on target,0.96,35
Shots on target %,35.7,27
Goals/Shot,0.06,8
Goals/Shot on target,0.16,8
Average Shot Distance,19.70,1
Shots from free kicks,0.15,88
Penalty Kicks Made,0.00,22
Penalty Kicks Attempted,0.00,17
xG,0.17,2
Non-Penalty xG,0.17,4
npxG/Sh,0.06,1
Goals - xG,-0.02,43
Non-Penalty Goals - npxG,-0.02,46
Passes Completed,23.76,90
Passes Attempted,33.75,94
Pass Completion %,70.4,55
Total Passing Distance,323.15,87
Progressive Passing Distance,94.97,92
Passes Completed (Short),14.20,90
Passes Attempted (Short),17.03,90
Pass Completion % (Short),83.4,81
Passes Completed (Medium),6.85,88
Passes Attempted (Medium),9.60,90
Pass Completion % (Medium),71.3,48
Passes Completed (Long),1.15,71
Passes Attempted (Long),2.60,85
Pass Completion % (Long),44.1,13
Assists,0.19,78
xAG,0.21,90
Expected Assists,0.18,90
Key Passes,1.30,75
Passes into Final Third,1.61,82
Passes into Penalty Area,1.15,86
Crosses into Penalty Area,0.23,92
Progressive Passes,3.48,90
Passes Attempted,33.75,94
Live-ball passes,31.80,94
Dead-ball passes,1.68,72
Passes from Free Kicks,0.23,91
Through Balls,0.27,89
Switches,0.19,70
Crosses,2.72,96
Throw-Ins taken,0.27,85
Corner Kicks,1.03,96
Inswinging Corner Kicks,0.38,94
Outswinging Corner Kicks,0.27,96
Straight Corner Kicks,0.08,99
Passes Completed,23.76,90
Passes Offside,0.27,12
Passes Blocked,1.49,2
Shot-Creating Actions,3.60,88
SCA (PassLive),2.37,85
SCA (PassDead),0.31,96
SCA (TO),0.23,62
SCA (Sh),0.23,38
SCA (Fld),0.42,94
SCA (Def),0.04,58
Goal-Creating Actions,0.34,64
GCA (PassLive),0.23,66
GCA (PassDead),0.00,48
GCA (TO),0.04,65
GCA (Sh),0.00,18
GCA (Fld),0.04,61
GCA (Def),0.04,98
Tackles,1.80,99
Tackles Won,1.11,99
Tackles (Def 3rd),0.88,99
Tackles (Mid 3rd),0.50,84
Tackles (Att 3rd),0.42,91
Dribblers Tackled,0.57,98
Dribbles Challenged,1.22,96
% of dribblers tackled,46.9,77
Challenges Lost,0.65,11
Blocks,0.96,87
Shots Blocked,0.15,79
Passes Blocked,0.80,86
Interceptions,0.15,41
Tkl+Int,1.95,99
Clearances,0.11,3
Errors,0.00,55
Touches,47.14,95
Touches (Def Pen),0.23,4
Touches (Def 3rd),4.90,98
Touches (Mid 3rd),17.22,74
Touches (Att 3rd),25.79,95
Touches (Att Pen),4.63,47
Touches (Live-Ball),47.14,95
Take-Ons Attempted,3.37,91
Successful Take-Ons,1.42,87
Successful Take-On %,42.0,47
Times Tackled During Take-On,1.65,90
Tackled During Take-On Percentage,48.9,57
Carries,32.14,95
Total Carrying Distance,204.15,98
Progressive Carrying Distance,105.34,98
Progressive Carries,3.79,98
Carries into Final Third,2.41,97
Carries into Penalty Area,1.95,98
Miscontrols,3.33,24
Dispossessed,1.91,21
Passes Received,35.40,91
Progressive Passes Rec,8.84,93
Yellow Cards,0.15,51
Red Cards,0.00,56
Second Yellow Card,0.00,53
Fouls Committed,1.19,57
Fouls Drawn,2.03,85
Offsides,0.69,44
Crosses,2.72,96
Interceptions,0.15,41
Tackles Won,1.11,99
Penalty Kicks Won,0.04,63
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,4.78,99
Aerials won,0.73,15
Aerials lost,1.11,92
% of Aerials Won,39.6,38
Goals,0.15,18
Assists,0.19,48
Goals + Assists,0.34,23
Non-Penalty Goals,0.15,22
Penalty Kicks Made,0.00,30
