Non-Penalty Goals,0.11,91
Non-Penalty xG,0.02,15
Shots Total,0.23,10
Assists,0.00,29
xAG,0.00,3
npxG + xAG,0.02,5
Shot-Creating Actions,0.79,57
Passes Attempted,43.99,29
Pass Completion %,88.0,88
Progressive Passes,2.03,20
Progressive Carries,0.45,48
Successful Take-Ons,0.11,34
Touches (Att Pen),0.23,1
Progressive Passes Rec,0.11,27
Tackles,2.14,91
Interceptions,1.69,77
Blocks,1.80,98
Clearances,3.94,47
Aerials won,1.69,24
Goals,0.11,90
Assists,0.00,29
Goals + Assists,0.11,79
Non-Penalty Goals,0.11,91
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.11,79
Red Cards,0.00,64
xG,0.02,14
Non-Penalty xG,0.02,15
xAG,0.00,3
npxG + xAG,0.02,5
Progressive Carries,0.45,48
Progressive Passes,2.03,20
Progressive Passes Rec,0.11,27
Goals,0.11,90
Shots Total,0.23,10
Shots on target,0.23,81
Shots on target %,100.0,99
Goals/Shot,0.50,99
Goals/Shot on target,0.50,75
Average Shot Distance,9.50,86
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.02,14
Non-Penalty xG,0.02,15
npxG/Sh,0.08,37
Goals - xG,0.09,97
Non-Penalty Goals - npxG,0.09,98
Passes Completed,38.70,45
Passes Attempted,43.99,29
Pass Completion %,88.0,88
Total Passing Distance,710.66,29
Progressive Passing Distance,242.44,15
Passes Completed (Short),15.53,77
Passes Attempted (Short),17.44,77
Pass Completion % (Short),89.0,46
Passes Completed (Medium),20.14,39
Passes Attempted (Medium),21.49,29
Pass Completion % (Medium),93.7,92
Passes Completed (Long),2.59,2
Passes Attempted (Long),4.28,1
Pass Completion % (Long),60.5,57
Assists,0.00,29
xAG,0.00,3
Expected Assists,0.00,1
Key Passes,0.11,17
Passes into Final Third,2.25,40
Passes into Penalty Area,0.00,6
Crosses into Penalty Area,0.00,29
Progressive Passes,2.03,20
Passes Attempted,43.99,29
Live-ball passes,42.86,35
Dead-ball passes,1.13,10
Passes from Free Kicks,1.13,31
Through Balls,0.00,29
Switches,0.34,33
Crosses,0.00,10
Throw-Ins taken,0.00,3
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,38.70,45
Passes Offside,0.00,94
Passes Blocked,0.45,25
Shot-Creating Actions,0.79,57
SCA (PassLive),0.56,48
SCA (PassDead),0.00,30
SCA (TO),0.00,40
SCA (Sh),0.11,80
SCA (Fld),0.00,37
SCA (Def),0.11,99
Goal-Creating Actions,0.00,12
GCA (PassLive),0.00,17
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.00,36
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,2.14,91
Tackles Won,1.35,93
Tackles (Def 3rd),1.24,83
Tackles (Mid 3rd),0.90,97
Tackles (Att 3rd),0.00,21
Dribblers Tackled,1.24,94
Dribbles Challenged,2.03,97
% of dribblers tackled,61.1,44
Challenges Lost,0.79,4
Blocks,1.80,98
Shots Blocked,1.58,99
Passes Blocked,0.23,16
Interceptions,1.69,77
Tkl+Int,3.83,92
Clearances,3.94,47
Errors,0.00,75
Touches,55.24,33
Touches (Def Pen),9.23,79
Touches (Def 3rd),30.15,44
Touches (Mid 3rd),24.53,42
Touches (Att 3rd),0.68,1
Touches (Att Pen),0.23,1
Touches (Live-Ball),55.24,33
Take-Ons Attempted,0.23,41
Successful Take-Ons,0.11,34
Successful Take-On %,50.0,30
Times Tackled During Take-On,0.00,10
Tackled During Take-On Percentage,0.0,90
Carries,31.50,49
Total Carrying Distance,156.83,52
Progressive Carrying Distance,86.51,46
Progressive Carries,0.45,48
Carries into Final Third,0.23,33
Carries into Penalty Area,0.11,95
Miscontrols,0.56,26
Dispossessed,0.11,61
Passes Received,35.66,51
Progressive Passes Rec,0.11,27
Yellow Cards,0.11,79
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.90,47
Fouls Drawn,0.79,79
Offsides,0.00,76
Crosses,0.00,10
Interceptions,1.69,77
Tackles Won,1.35,93
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.00,71
Own Goals,0.11,1
Ball Recoveries,4.28,19
Aerials won,1.69,24
Aerials lost,0.79,95
% of Aerials Won,68.2,82
