Non-Penalty Goals,0.28,26
Non-Penalty xG,0.45,77
Shots Total,1.97,15
Assists,0.14,67
xAG,0.13,63
npxG + xAG,0.58,78
Shot-Creating Actions,1.41,3
Passes Attempted,22.36,62
Pass Completion %,71.7,66
Progressive Passes,1.27,23
Progressive Carries,0.28,3
Successful Take-Ons,0.28,11
Touches (Att Pen),4.08,32
Progressive Passes Rec,4.36,16
Tackles,0.56,45
Interceptions,0.14,35
Blocks,0.84,79
Clearances,0.70,42
Aerials won,1.55,34
Goals,0.28,20
Assists,0.14,67
Goals + Assists,0.42,26
Non-Penalty Goals,0.28,26
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.00,19
Yellow Cards,0.00,96
Red Cards,0.00,58
xG,0.51,79
Non-Penalty xG,0.45,77
xAG,0.13,63
npxG + xAG,0.58,78
Progressive Carries,0.28,3
Progressive Passes,1.27,23
Progressive Passes Rec,4.36,16
Goals,0.28,20
Shots Total,1.97,15
Shots on target,0.84,32
Shots on target %,42.9,77
Goals/Shot,0.14,52
Goals/Shot on target,0.33,38
Average Shot Distance,10.70,98
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,24
Penalty Kicks Attempted,0.00,19
xG,0.51,79
Non-Penalty xG,0.45,77
npxG/Sh,0.23,98
Goals - xG,-0.23,1
Non-Penalty Goals - npxG,-0.17,3
Passes Completed,16.03,64
Passes Attempted,22.36,62
Pass Completion %,71.7,66
Total Passing Distance,217.27,63
Progressive Passing Distance,45.70,68
Passes Completed (Short),9.98,78
Passes Attempted (Short),13.50,84
Pass Completion % (Short),74.0,32
Passes Completed (Medium),4.36,57
Passes Attempted (Medium),5.91,52
Pass Completion % (Medium),73.8,59
Passes Completed (Long),0.84,60
Passes Attempted (Long),1.13,44
Pass Completion % (Long),75.0,90
Assists,0.14,67
xAG,0.13,63
Expected Assists,0.06,25
Key Passes,0.84,31
Passes into Final Third,1.27,68
Passes into Penalty Area,0.00,1
Crosses into Penalty Area,0.00,16
Progressive Passes,1.27,23
Passes Attempted,22.36,62
Live-ball passes,20.81,64
Dead-ball passes,1.27,49
Passes from Free Kicks,0.00,25
Through Balls,0.14,73
Switches,0.00,7
Crosses,0.14,10
Throw-Ins taken,0.00,8
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,46
Straight Corner Kicks,0.00,49
Passes Completed,16.03,64
Passes Offside,0.28,3
Passes Blocked,0.28,97
Shot-Creating Actions,1.41,3
SCA (PassLive),0.98,9
SCA (PassDead),0.00,34
SCA (TO),0.00,3
SCA (Sh),0.42,85
SCA (Fld),0.00,3
SCA (Def),0.00,23
Goal-Creating Actions,0.14,15
GCA (PassLive),0.14,40
GCA (PassDead),0.00,48
GCA (TO),0.00,27
GCA (Sh),0.00,18
GCA (Fld),0.00,27
GCA (Def),0.00,47
Tackles,0.56,45
Tackles Won,0.28,40
Tackles (Def 3rd),0.28,91
Tackles (Mid 3rd),0.28,50
Tackles (Att 3rd),0.00,1
Dribblers Tackled,0.14,33
Dribbles Challenged,0.98,84
% of dribblers tackled,14.3,10
Challenges Lost,0.84,3
Blocks,0.84,79
Shots Blocked,0.14,78
Passes Blocked,0.70,77
Interceptions,0.14,35
Tkl+Int,0.70,39
Clearances,0.70,42
Errors,0.00,51
Touches,30.66,39
Touches (Def Pen),0.84,41
Touches (Def 3rd),2.25,47
Touches (Mid 3rd),17.16,84
Touches (Att 3rd),11.53,8
Touches (Att Pen),4.08,32
Touches (Live-Ball),30.66,40
Take-Ons Attempted,0.56,5
Successful Take-Ons,0.28,11
Successful Take-On %,50.0,76
Times Tackled During Take-On,0.28,5
Tackled During Take-On Percentage,50.0,53
Carries,13.22,12
Total Carrying Distance,54.14,10
Progressive Carrying Distance,20.95,22
Progressive Carries,0.28,3
Carries into Final Third,0.98,64
Carries into Penalty Area,0.14,5
Miscontrols,1.69,92
Dispossessed,1.13,55
Passes Received,21.38,31
Progressive Passes Rec,4.36,16
Yellow Cards,0.00,96
Red Cards,0.00,58
Second Yellow Card,0.00,53
Fouls Committed,0.42,99
Fouls Drawn,1.27,45
Offsides,0.56,42
Crosses,0.14,10
Interceptions,0.14,35
Tackles Won,0.28,40
Penalty Kicks Won,0.00,28
Penalty Kicks Conceded,0.00,51
Own Goals,0.00,51
Ball Recoveries,2.67,66
Aerials won,1.55,34
Aerials lost,3.52,38
% of Aerials Won,30.6,16
