Non-Penalty Goals,0.00,1
Non-Penalty xG,0.08,4
Shots Total,1.73,30
Assists,0.12,33
xAG,0.09,9
npxG + xAG,0.18,1
Shot-Creating Actions,2.99,22
Passes Attempted,42.58,71
Pass Completion %,67.8,13
Progressive Passes,4.60,64
Progressive Carries,0.58,1
Successful Take-Ons,0.35,2
Touches (Att Pen),1.15,1
Progressive Passes Rec,5.41,19
Tackles,1.38,54
Interceptions,0.58,68
Blocks,1.15,77
Clearances,0.46,45
Aerials won,0.46,45
Goals,0.00,1
Assists,0.12,33
Goals + Assists,0.12,2
Non-Penalty Goals,0.00,1
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.35,6
Red Cards,0.00,59
xG,0.08,2
Non-Penalty xG,0.08,4
xAG,0.09,9
npxG + xAG,0.18,1
Progressive Carries,0.58,1
Progressive Passes,4.60,64
Progressive Passes Rec,5.41,19
Goals,0.00,1
Shots Total,1.73,30
Shots on target,0.35,5
Shots on target %,20.0,1
Goals/Shot,0.00,1
Goals/Shot on target,0.00,1
Average Shot Distance,23.10,9
Shots from free kicks,0.58,97
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.08,2
Non-Penalty xG,0.08,4
npxG/Sh,0.05,2
Goals - xG,-0.08,19
Non-Penalty Goals - npxG,-0.08,15
Passes Completed,28.89,60
Passes Attempted,42.58,71
Pass Completion %,67.8,13
Total Passing Distance,515.03,70
Progressive Passing Distance,194.27,84
Passes Completed (Short),13.01,41
Passes Attempted (Short),16.34,50
Pass Completion % (Short),79.6,9
Passes Completed (Medium),10.70,70
Passes Attempted (Medium),14.39,74
Pass Completion % (Medium),74.4,36
Passes Completed (Long),4.14,85
Passes Attempted (Long),9.09,88
Pass Completion % (Long),45.6,31
Assists,0.12,33
xAG,0.09,9
Expected Assists,0.10,15
Key Passes,2.19,73
Passes into Final Third,3.11,70
Passes into Penalty Area,0.35,1
Crosses into Penalty Area,0.00,2
Progressive Passes,4.60,64
Passes Attempted,42.58,71
Live-ball passes,35.10,59
Dead-ball passes,7.48,89
Passes from Free Kicks,2.53,92
Through Balls,0.00,2
Switches,0.46,74
Crosses,7.25,91
Throw-Ins taken,0.58,52
Corner Kicks,4.37,93
Inswinging Corner Kicks,1.15,77
Outswinging Corner Kicks,2.76,99
Straight Corner Kicks,0.00,38
Passes Completed,28.89,60
Passes Offside,0.00,97
Passes Blocked,0.92,66
Shot-Creating Actions,2.99,22
SCA (PassLive),1.27,2
SCA (PassDead),1.50,93
SCA (TO),0.00,3
SCA (Sh),0.23,50
SCA (Fld),0.00,1
SCA (Def),0.00,20
Goal-Creating Actions,0.35,38
GCA (PassLive),0.00,1
GCA (PassDead),0.23,99
GCA (TO),0.00,25
GCA (Sh),0.12,95
GCA (Fld),0.00,27
GCA (Def),0.00,46
Tackles,1.38,54
Tackles Won,0.92,63
Tackles (Def 3rd),0.58,68
Tackles (Mid 3rd),0.46,38
Tackles (Att 3rd),0.35,68
Dribblers Tackled,0.58,58
Dribbles Challenged,1.84,79
% of dribblers tackled,31.3,24
Challenges Lost,1.27,15
Blocks,1.15,77
Shots Blocked,0.23,94
Passes Blocked,0.92,68
Interceptions,0.58,68
Tkl+Int,1.96,59
Clearances,0.46,45
Errors,0.00,54
Touches,50.75,61
Touches (Def Pen),0.46,26
Touches (Def 3rd),6.21,71
Touches (Mid 3rd),24.51,72
Touches (Att 3rd),20.49,31
Touches (Att Pen),1.15,1
Touches (Live-Ball),50.75,61
Take-Ons Attempted,1.04,3
Successful Take-Ons,0.35,2
Successful Take-On %,33.3,11
Times Tackled During Take-On,0.46,4
Tackled During Take-On Percentage,44.4,57
Carries,23.25,17
Total Carrying Distance,97.14,4
Progressive Carrying Distance,54.21,13
Progressive Carries,0.58,1
Carries into Final Third,0.81,3
Carries into Penalty Area,0.00,1
Miscontrols,0.81,99
Dispossessed,0.58,98
Passes Received,29.35,34
Progressive Passes Rec,5.41,19
Yellow Cards,0.35,6
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,1.27,30
Fouls Drawn,1.61,47
Offsides,0.23,51
Crosses,7.25,91
Interceptions,0.58,68
Tackles Won,0.92,63
Penalty Kicks Won,0.00,33
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,5.06,67
Aerials won,0.46,45
Aerials lost,0.69,77
% of Aerials Won,40.0,66
