Non-Penalty Goals,0.03,45
Non-Penalty xG,0.05,52
Shots Total,0.58,58
Assists,0.03,62
xAG,0.02,46
npxG + xAG,0.07,45
Shot-Creating Actions,0.30,4
Passes Attempted,46.62,40
Pass Completion %,86.4,77
Progressive Passes,2.46,34
Progressive Carries,0.24,24
Successful Take-Ons,0.18,53
Touches (Att Pen),1.03,63
Progressive Passes Rec,0.21,56
Tackles,1.03,26
Interceptions,1.49,63
Blocks,1.67,93
Clearances,4.46,70
Aerials won,2.43,57
Goals,0.03,44
Assists,0.03,62
Goals + Assists,0.06,53
Non-Penalty Goals,0.03,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.21,45
Red Cards,0.00,64
xG,0.05,50
Non-Penalty xG,0.05,52
xAG,0.02,46
npxG + xAG,0.07,45
Progressive Carries,0.24,24
Progressive Passes,2.46,34
Progressive Passes Rec,0.21,56
Goals,0.03,44
Shots Total,0.58,58
Shots on target,0.18,71
Shots on target %,31.6,70
Goals/Shot,0.05,47
Goals/Shot on target,0.17,41
Average Shot Distance,10.60,69
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.05,50
Non-Penalty xG,0.05,52
npxG/Sh,0.09,49
Goals - xG,-0.02,46
Non-Penalty Goals - npxG,-0.02,47
Passes Completed,40.29,51
Passes Attempted,46.62,40
Pass Completion %,86.4,77
Total Passing Distance,758.07,41
Progressive Passing Distance,270.58,29
Passes Completed (Short),13.46,60
Passes Attempted (Short),14.55,55
Pass Completion % (Short),92.5,83
Passes Completed (Medium),23.16,60
Passes Attempted (Medium),25.25,57
Pass Completion % (Medium),91.7,70
Passes Completed (Long),3.30,11
Passes Attempted (Long),5.73,8
Pass Completion % (Long),57.7,46
Assists,0.03,62
xAG,0.02,46
Expected Assists,0.01,6
Key Passes,0.12,21
Passes into Final Third,1.24,8
Passes into Penalty Area,0.06,26
Crosses into Penalty Area,0.00,29
Progressive Passes,2.46,34
Passes Attempted,46.62,40
Live-ball passes,45.05,46
Dead-ball passes,1.58,26
Passes from Free Kicks,1.49,54
Through Balls,0.00,29
Switches,0.21,20
Crosses,0.00,10
Throw-Ins taken,0.09,20
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,40.29,51
Passes Offside,0.00,94
Passes Blocked,0.36,41
Shot-Creating Actions,0.30,4
SCA (PassLive),0.15,2
SCA (PassDead),0.00,30
SCA (TO),0.00,40
SCA (Sh),0.09,68
SCA (Fld),0.06,91
SCA (Def),0.00,34
Goal-Creating Actions,0.09,65
GCA (PassLive),0.00,17
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.06,94
GCA (Fld),0.03,96
GCA (Def),0.00,49
Tackles,1.03,26
Tackles Won,0.52,17
Tackles (Def 3rd),0.76,36
Tackles (Mid 3rd),0.24,24
Tackles (Att 3rd),0.03,44
Dribblers Tackled,0.36,9
Dribbles Challenged,0.58,8
% of dribblers tackled,63.2,52
Challenges Lost,0.21,85
Blocks,1.67,93
Shots Blocked,1.18,94
Passes Blocked,0.49,62
Interceptions,1.49,63
Tkl+Int,2.52,38
Clearances,4.46,70
Errors,0.03,46
Touches,57.05,42
Touches (Def Pen),8.97,75
Touches (Def 3rd),28.77,36
Touches (Mid 3rd),26.89,59
Touches (Att 3rd),1.52,19
Touches (Att Pen),1.03,63
Touches (Live-Ball),57.05,42
Take-Ons Attempted,0.24,44
Successful Take-Ons,0.18,53
Successful Take-On %,75.0,71
Times Tackled During Take-On,0.00,10
Tackled During Take-On Percentage,0.0,90
Carries,33.07,61
Total Carrying Distance,145.96,39
Progressive Carrying Distance,78.24,36
Progressive Carries,0.24,24
Carries into Final Third,0.18,24
Carries into Penalty Area,0.03,53
Miscontrols,0.27,78
Dispossessed,0.12,56
Passes Received,37.38,58
Progressive Passes Rec,0.21,56
Yellow Cards,0.21,45
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.39,95
Fouls Drawn,1.09,93
Offsides,0.03,48
Crosses,0.00,10
Interceptions,1.49,63
Tackles Won,0.52,17
Penalty Kicks Won,0.03,96
Penalty Kicks Conceded,0.00,71
Own Goals,0.00,60
Ball Recoveries,3.70,8
Aerials won,2.43,57
Aerials lost,1.76,33
% of Aerials Won,58.0,38
