Non-Penalty Goals,0.00,21
Non-Penalty xG,0.01,3
Shots Total,0.14,4
Assists,0.00,29
xAG,0.01,21
npxG + xAG,0.01,1
Shot-Creating Actions,0.56,30
Passes Attempted,42.85,25
Pass Completion %,82.7,50
Progressive Passes,2.92,53
Progressive Carries,0.14,12
Successful Take-Ons,0.76,99
Touches (Att Pen),0.63,25
Progressive Passes Rec,0.00,2
Tackles,2.36,96
Interceptions,2.15,95
Blocks,0.97,27
Clearances,3.82,42
Aerials won,2.08,43
Goals,0.00,21
Assists,0.00,29
Goals + Assists,0.00,14
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.14,71
Red Cards,0.00,64
xG,0.01,3
Non-Penalty xG,0.01,3
xAG,0.01,21
npxG + xAG,0.01,1
Progressive Carries,0.14,12
Progressive Passes,2.92,53
Progressive Passes Rec,0.00,2
Goals,0.00,21
Shots Total,0.14,4
Shots on target,0.00,5
Shots on target %,0.0,5
Goals/Shot,0.00,21
Average Shot Distance,6.70,99
Shots from free kicks,0.00,45
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.01,3
Non-Penalty xG,0.01,3
npxG/Sh,0.07,25
Goals - xG,-0.01,58
Non-Penalty Goals - npxG,-0.01,58
Passes Completed,35.42,29
Passes Attempted,42.85,25
Pass Completion %,82.7,50
Total Passing Distance,764.93,42
Progressive Passing Distance,298.26,43
Passes Completed (Short),9.03,15
Passes Attempted (Short),9.86,12
Pass Completion % (Short),91.5,75
Passes Completed (Medium),20.35,41
Passes Attempted (Medium),22.43,36
Pass Completion % (Medium),90.7,58
Passes Completed (Long),5.90,63
Passes Attempted (Long),9.44,60
Pass Completion % (Long),62.5,65
Assists,0.00,29
xAG,0.01,21
Expected Assists,0.01,10
Key Passes,0.28,64
Passes into Final Third,3.26,72
Passes into Penalty Area,0.07,31
Crosses into Penalty Area,0.00,29
Progressive Passes,2.92,53
Passes Attempted,42.85,25
Live-ball passes,41.11,27
Dead-ball passes,1.46,21
Passes from Free Kicks,1.25,41
Through Balls,0.00,29
Switches,0.63,72
Crosses,0.14,57
Throw-Ins taken,0.21,44
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,35.42,29
Passes Offside,0.28,5
Passes Blocked,0.42,30
Shot-Creating Actions,0.56,30
SCA (PassLive),0.49,35
SCA (PassDead),0.00,30
SCA (TO),0.00,40
SCA (Sh),0.00,13
SCA (Fld),0.00,37
SCA (Def),0.07,93
Goal-Creating Actions,0.14,85
GCA (PassLive),0.14,93
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.00,36
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,2.36,96
Tackles Won,1.81,99
Tackles (Def 3rd),1.74,99
Tackles (Mid 3rd),0.49,72
Tackles (Att 3rd),0.14,95
Dribblers Tackled,1.04,86
Dribbles Challenged,1.88,94
% of dribblers tackled,55.6,24
Challenges Lost,0.83,3
Blocks,0.97,27
Shots Blocked,0.63,35
Passes Blocked,0.35,35
Interceptions,2.15,95
Tkl+Int,4.51,98
Clearances,3.82,42
Errors,0.00,75
Touches,53.75,27
Touches (Def Pen),7.22,41
Touches (Def 3rd),27.99,31
Touches (Mid 3rd),24.10,40
Touches (Att 3rd),2.08,43
Touches (Att Pen),0.63,25
Touches (Live-Ball),53.75,27
Take-Ons Attempted,0.83,94
Successful Take-Ons,0.76,99
Successful Take-On %,91.7,85
Times Tackled During Take-On,0.07,47
Tackled During Take-On Percentage,8.3,79
Carries,26.46,25
Total Carrying Distance,103.47,8
Progressive Carrying Distance,48.13,7
Progressive Carries,0.14,12
Carries into Final Third,0.42,61
Carries into Penalty Area,0.00,25
Miscontrols,0.28,78
Dispossessed,0.14,48
Passes Received,31.39,32
Progressive Passes Rec,0.00,2
Yellow Cards,0.14,71
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.69,73
Fouls Drawn,0.35,29
Offsides,0.00,76
Crosses,0.14,57
Interceptions,2.15,95
Tackles Won,1.81,99
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.07,11
Own Goals,0.00,60
Ball Recoveries,4.17,16
Aerials won,2.08,43
Aerials lost,1.74,36
% of Aerials Won,54.5,25
