Non-Penalty Goals,0.00,21
Non-Penalty xG,0.02,19
Shots Total,0.70,63
Assists,0.09,53
xAG,0.09,52
npxG + xAG,0.10,34
Shot-Creating Actions,2.69,76
Passes Attempted,62.10,88
Pass Completion %,78.7,71
Progressive Passes,5.69,91
Progressive Carries,1.35,20
Successful Take-Ons,1.09,81
Touches (Att Pen),0.26,1
Progressive Passes Rec,2.74,21
Tackles,1.22,7
Interceptions,1.48,75
Blocks,0.56,6
Clearances,3.04,89
Aerials won,1.00,56
Goals,0.00,20
Assists,0.09,53
Goals + Assists,0.09,33
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.13,66
Red Cards,0.00,61
xG,0.02,19
Non-Penalty xG,0.02,19
xAG,0.09,52
npxG + xAG,0.10,34
Progressive Carries,1.35,20
Progressive Passes,5.69,91
Progressive Passes Rec,2.74,21
Goals,0.00,20
Shots Total,0.70,63
Shots on target,0.22,72
Shots on target %,31.3,67
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,28.70,4
Shots from free kicks,0.09,90
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
xG,0.02,19
Non-Penalty xG,0.02,19
npxG/Sh,0.02,2
Goals - xG,-0.02,36
Non-Penalty Goals - npxG,-0.02,36
Passes Completed,48.85,84
Passes Attempted,62.10,88
Pass Completion %,78.7,71
Total Passing Distance,882.23,91
Progressive Passing Distance,354.13,92
Passes Completed (Short),21.55,68
Passes Attempted (Short),23.86,67
Pass Completion % (Short),90.3,78
Passes Completed (Medium),20.95,90
Passes Attempted (Medium),24.73,88
Pass Completion % (Medium),84.7,89
Passes Completed (Long),5.61,91
Passes Attempted (Long),10.69,88
Pass Completion % (Long),52.4,66
Assists,0.09,53
xAG,0.09,52
Expected Assists,0.08,43
Key Passes,0.96,54
Passes into Final Third,5.08,95
Passes into Penalty Area,1.09,63
Crosses into Penalty Area,0.83,89
Progressive Passes,5.69,91
Passes Attempted,62.10,88
Live-ball passes,50.24,83
Dead-ball passes,11.69,81
Passes from Free Kicks,2.82,96
Through Balls,0.04,52
Switches,0.35,55
Crosses,4.13,78
Throw-Ins taken,7.95,37
Corner Kicks,0.91,85
Inswinging Corner Kicks,0.17,79
Outswinging Corner Kicks,0.65,90
Straight Corner Kicks,0.00,47
Passes Completed,48.85,84
Passes Offside,0.17,41
Passes Blocked,1.13,53
Shot-Creating Actions,2.69,76
SCA (PassLive),2.13,82
SCA (PassDead),0.35,76
SCA (TO),0.09,63
SCA (Sh),0.04,38
SCA (Fld),0.04,35
SCA (Def),0.04,65
Goal-Creating Actions,0.13,27
GCA (PassLive),0.04,9
GCA (PassDead),0.04,80
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.04,89
GCA (Def),0.00,48
Tackles,1.22,7
Tackles Won,0.74,8
Tackles (Def 3rd),0.70,10
Tackles (Mid 3rd),0.48,25
Tackles (Att 3rd),0.04,6
Dribblers Tackled,0.70,14
Dribbles Challenged,1.00,4
% of dribblers tackled,69.6,88
Challenges Lost,0.30,97
Blocks,0.56,6
Shots Blocked,0.30,62
Passes Blocked,0.26,1
Interceptions,1.48,75
Tkl+Int,2.69,29
Clearances,3.04,89
Errors,0.00,65
Touches,70.62,83
Touches (Def Pen),4.17,88
Touches (Def 3rd),21.29,78
Touches (Mid 3rd),37.07,94
Touches (Att 3rd),13.69,30
Touches (Att Pen),0.26,1
Touches (Live-Ball),70.62,83
Take-Ons Attempted,2.13,78
Successful Take-Ons,1.09,81
Successful Take-On %,51.0,69
Times Tackled During Take-On,0.96,75
Tackled During Take-On Percentage,44.9,54
Carries,36.20,77
Total Carrying Distance,170.31,56
Progressive Carrying Distance,96.91,65
Progressive Carries,1.35,20
Carries into Final Third,1.22,39
Carries into Penalty Area,0.09,20
Miscontrols,0.61,93
Dispossessed,0.61,39
Passes Received,40.76,77
Progressive Passes Rec,2.74,21
Yellow Cards,0.13,66
Red Cards,0.00,61
Second Yellow Card,0.00,54
Fouls Committed,1.09,45
Fouls Drawn,0.91,52
Offsides,0.09,31
Crosses,4.13,78
Interceptions,1.48,75
Tackles Won,0.74,8
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.00,54
Ball Recoveries,6.78,90
Aerials won,1.00,56
Aerials lost,1.22,26
% of Aerials Won,45.1,31
