Non-Penalty Goals,0.18,93
Non-Penalty xG,0.05,48
Shots Total,1.63,84
Assists,0.00,13
xAG,0.05,40
npxG + xAG,0.13,43
Shot-Creating Actions,2.71,68
Passes Attempted,41.39,29
Pass Completion %,74.7,16
Progressive Passes,3.61,17
Progressive Carries,0.90,38
Successful Take-Ons,0.18,5
Touches (Att Pen),1.08,58
Progressive Passes Rec,3.25,80
Tackles,0.90,3
Interceptions,0.54,5
Blocks,1.45,80
Clearances,0.90,36
Aerials won,1.08,67
Goals,0.18,91
Assists,0.00,13
Goals + Assists,0.18,64
Non-Penalty Goals,0.18,93
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.36,17
Red Cards,0.00,62
xG,0.05,46
Non-Penalty xG,0.05,48
xAG,0.05,40
npxG + xAG,0.13,43
Progressive Carries,0.90,38
Progressive Passes,3.61,17
Progressive Passes Rec,3.25,80
Goals,0.18,91
Shots Total,1.63,84
Shots on target,0.54,87
Shots on target %,33.3,73
Goals/Shot,0.11,81
Goals/Shot on target,0.33,73
Average Shot Distance,23.00,46
Shots from free kicks,0.18,88
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.05,46
Non-Penalty xG,0.05,48
npxG/Sh,0.03,6
Goals - xG,0.13,99
Non-Penalty Goals - npxG,0.13,99
Passes Completed,30.90,24
Passes Attempted,41.39,29
Pass Completion %,74.7,16
Total Passing Distance,541.63,25
Progressive Passing Distance,142.77,19
Passes Completed (Short),13.92,24
Passes Attempted (Short),15.90,22
Pass Completion % (Short),87.5,45
Passes Completed (Medium),11.39,19
Passes Attempted (Medium),15.00,25
Pass Completion % (Medium),75.9,7
Passes Completed (Long),3.61,41
Passes Attempted (Long),7.59,66
Pass Completion % (Long),47.6,9
Assists,0.00,13
xAG,0.05,40
Expected Assists,0.07,48
Key Passes,1.27,72
Passes into Final Third,3.25,25
Passes into Penalty Area,0.00,1
Crosses into Penalty Area,0.00,7
Progressive Passes,3.61,17
Passes Attempted,41.39,29
Live-ball passes,35.60,19
Dead-ball passes,5.60,89
Passes from Free Kicks,1.81,73
Through Balls,0.00,6
Switches,0.72,77
Crosses,4.70,93
Throw-Ins taken,0.90,89
Corner Kicks,2.89,92
Inswinging Corner Kicks,0.72,81
Outswinging Corner Kicks,1.81,98
Straight Corner Kicks,0.00,42
Passes Completed,30.90,24
Passes Offside,0.18,37
Passes Blocked,0.54,80
Shot-Creating Actions,2.71,68
SCA (PassLive),1.27,18
SCA (PassDead),1.27,97
SCA (TO),0.00,17
SCA (Sh),0.18,81
SCA (Fld),0.00,10
SCA (Def),0.00,15
Goal-Creating Actions,0.18,48
GCA (PassLive),0.18,64
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,0.90,3
Tackles Won,0.72,12
Tackles (Def 3rd),0.54,18
Tackles (Mid 3rd),0.36,2
Tackles (Att 3rd),0.00,1
Dribblers Tackled,0.18,1
Dribbles Challenged,1.45,20
% of dribblers tackled,12.5,1
Challenges Lost,1.27,33
Blocks,1.45,80
Shots Blocked,0.18,33
Passes Blocked,1.27,90
Interceptions,0.54,5
Tkl+Int,1.45,1
Clearances,0.90,36
Errors,0.00,67
Touches,50.60,26
Touches (Def Pen),0.90,7
Touches (Def 3rd),8.13,14
Touches (Mid 3rd),27.83,23
Touches (Att 3rd),15.00,72
Touches (Att Pen),1.08,58
Touches (Live-Ball),50.60,26
Take-Ons Attempted,0.90,33
Successful Take-Ons,0.18,5
Successful Take-On %,20.0,1
Times Tackled During Take-On,0.72,73
Tackled During Take-On Percentage,80.0,1
Carries,26.57,30
Total Carrying Distance,106.08,15
Progressive Carrying Distance,38.49,5
Progressive Carries,0.90,38
Carries into Final Third,1.08,49
Carries into Penalty Area,0.00,5
Miscontrols,2.17,8
Dispossessed,0.72,53
Passes Received,35.06,43
Progressive Passes Rec,3.25,80
Yellow Cards,0.36,17
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,1.99,13
Fouls Drawn,1.45,76
Offsides,0.00,75
Crosses,4.70,93
Interceptions,0.54,5
Tackles Won,0.72,12
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,3.80,1
Aerials won,1.08,67
Aerials lost,1.08,42
% of Aerials Won,50.0,58
