Non-Penalty Goals,0.18,93
Non-Penalty xG,0.15,89
Shots Total,2.21,96
Assists,0.00,13
xAG,0.07,52
npxG + xAG,0.24,80
Shot-Creating Actions,3.14,79
Passes Attempted,28.22,2
Pass Completion %,72.5,10
Progressive Passes,2.95,8
Progressive Carries,3.14,98
Successful Take-Ons,0.74,58
Touches (Att Pen),3.14,96
Progressive Passes Rec,9.59,99
Tackles,0.92,3
Interceptions,0.37,2
Blocks,0.74,11
Clearances,0.18,1
Aerials won,0.18,3
Goals,0.18,92
Assists,0.00,13
Goals + Assists,0.18,66
Non-Penalty Goals,0.18,93
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.18,63
Red Cards,0.00,62
xG,0.15,86
Non-Penalty xG,0.15,89
xAG,0.07,52
npxG + xAG,0.24,80
Progressive Carries,3.14,98
Progressive Passes,2.95,8
Progressive Passes Rec,9.59,99
Goals,0.18,92
Shots Total,2.21,96
Shots on target,0.55,87
Shots on target %,25.0,42
Goals/Shot,0.08,67
Goals/Shot on target,0.33,73
Average Shot Distance,18.90,76
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.15,86
Non-Penalty xG,0.15,89
npxG/Sh,0.07,60
Goals - xG,0.04,84
Non-Penalty Goals - npxG,0.04,83
Passes Completed,20.47,3
Passes Attempted,28.22,2
Pass Completion %,72.5,10
Total Passing Distance,313.89,3
Progressive Passing Distance,66.39,1
Passes Completed (Short),9.77,3
Passes Attempted (Short),11.99,2
Pass Completion % (Short),81.5,8
Passes Completed (Medium),8.48,5
Passes Attempted (Medium),10.51,4
Pass Completion % (Medium),80.7,19
Passes Completed (Long),1.11,2
Passes Attempted (Long),2.03,2
Pass Completion % (Long),54.5,25
Assists,0.00,13
xAG,0.07,52
Expected Assists,0.11,69
Key Passes,1.66,84
Passes into Final Third,1.11,1
Passes into Penalty Area,1.29,89
Crosses into Penalty Area,0.18,72
Progressive Passes,2.95,8
Passes Attempted,28.22,2
Live-ball passes,26.93,3
Dead-ball passes,1.11,22
Passes from Free Kicks,0.18,4
Through Balls,0.00,6
Switches,0.00,1
Crosses,2.95,81
Throw-Ins taken,0.37,68
Corner Kicks,0.55,68
Inswinging Corner Kicks,0.37,73
Outswinging Corner Kicks,0.18,72
Straight Corner Kicks,0.00,42
Passes Completed,20.47,3
Passes Offside,0.18,36
Passes Blocked,1.84,1
Shot-Creating Actions,3.14,79
SCA (PassLive),2.77,92
SCA (PassDead),0.18,66
SCA (TO),0.18,90
SCA (Sh),0.00,8
SCA (Fld),0.00,10
SCA (Def),0.00,15
Goal-Creating Actions,0.00,2
GCA (PassLive),0.00,4
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,0.92,3
Tackles Won,0.55,4
Tackles (Def 3rd),0.18,1
Tackles (Mid 3rd),0.74,27
Tackles (Att 3rd),0.00,1
Dribblers Tackled,0.00,1
Dribbles Challenged,1.84,43
% of dribblers tackled,0.0,1
Challenges Lost,1.84,4
Blocks,0.74,11
Shots Blocked,0.00,1
Passes Blocked,0.74,36
Interceptions,0.37,2
Tkl+Int,1.29,1
Clearances,0.18,1
Errors,0.00,67
Touches,36.33,2
Touches (Def Pen),0.18,1
Touches (Def 3rd),3.87,1
Touches (Mid 3rd),11.62,1
Touches (Att 3rd),21.58,94
Touches (Att Pen),3.14,96
Touches (Live-Ball),36.33,2
Take-Ons Attempted,1.66,72
Successful Take-Ons,0.74,58
Successful Take-On %,44.4,24
Times Tackled During Take-On,0.74,73
Tackled During Take-On Percentage,44.4,35
Carries,22.50,11
Total Carrying Distance,132.42,32
Progressive Carrying Distance,67.68,47
Progressive Carries,3.14,98
Carries into Final Third,1.11,50
Carries into Penalty Area,0.92,99
Miscontrols,1.84,16
Dispossessed,2.03,1
Passes Received,25.64,10
Progressive Passes Rec,9.59,99
Yellow Cards,0.18,63
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,1.66,26
Fouls Drawn,0.92,47
Offsides,0.18,4
Crosses,2.95,81
Interceptions,0.37,2
Tackles Won,0.55,4
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,4.61,6
Aerials won,0.18,3
Aerials lost,0.18,99
% of Aerials Won,50.0,58
