Non-Penalty Goals,0.06,48
Non-Penalty xG,0.02,8
Shots Total,0.55,22
Assists,0.06,41
xAG,0.04,27
npxG + xAG,0.06,16
Shot-Creating Actions,1.93,38
Passes Attempted,54.00,73
Pass Completion %,87.7,90
Progressive Passes,4.09,28
Progressive Carries,0.50,11
Successful Take-Ons,0.17,4
Touches (Att Pen),0.44,23
Progressive Passes Rec,0.55,9
Tackles,3.20,94
Interceptions,0.99,44
Blocks,1.60,91
Clearances,1.44,73
Aerials won,1.27,78
Goals,0.06,46
Assists,0.06,41
Goals + Assists,0.11,43
Non-Penalty Goals,0.06,48
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.44,7
Red Cards,0.00,62
xG,0.02,8
Non-Penalty xG,0.02,8
xAG,0.04,27
npxG + xAG,0.06,16
Progressive Carries,0.50,11
Progressive Passes,4.09,28
Progressive Passes Rec,0.55,9
Goals,0.06,46
Shots Total,0.55,22
Shots on target,0.28,55
Shots on target %,50.0,98
Goals/Shot,0.10,77
Goals/Shot on target,0.20,49
Average Shot Distance,25.40,23
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.02,8
Non-Penalty xG,0.02,8
npxG/Sh,0.03,6
Goals - xG,0.04,85
Non-Penalty Goals - npxG,0.04,85
Passes Completed,47.37,78
Passes Attempted,54.00,73
Pass Completion %,87.7,90
Total Passing Distance,870.40,80
Progressive Passing Distance,214.07,58
Passes Completed (Short),18.55,65
Passes Attempted (Short),20.54,63
Pass Completion % (Short),90.3,75
Passes Completed (Medium),22.75,88
Passes Attempted (Medium),24.74,85
Pass Completion % (Medium),92.0,93
Passes Completed (Long),4.69,64
Passes Attempted (Long),6.35,55
Pass Completion % (Long),73.9,80
Assists,0.06,41
xAG,0.04,27
Expected Assists,0.04,23
Key Passes,0.66,32
Passes into Final Third,4.47,59
Passes into Penalty Area,0.39,21
Crosses into Penalty Area,0.11,55
Progressive Passes,4.09,28
Passes Attempted,54.00,73
Live-ball passes,51.18,75
Dead-ball passes,2.76,66
Passes from Free Kicks,2.65,90
Through Balls,0.06,30
Switches,0.22,22
Crosses,0.22,16
Throw-Ins taken,0.11,21
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,42
Passes Completed,47.37,78
Passes Offside,0.06,83
Passes Blocked,0.61,70
Shot-Creating Actions,1.93,38
SCA (PassLive),1.82,56
SCA (PassDead),0.06,47
SCA (TO),0.00,17
SCA (Sh),0.06,34
SCA (Fld),0.00,10
SCA (Def),0.00,15
Goal-Creating Actions,0.17,43
GCA (PassLive),0.17,61
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,3.20,94
Tackles Won,1.44,71
Tackles (Def 3rd),1.55,95
Tackles (Mid 3rd),1.44,87
Tackles (Att 3rd),0.22,51
Dribblers Tackled,1.60,95
Dribbles Challenged,3.26,95
% of dribblers tackled,49.2,61
Challenges Lost,1.66,10
Blocks,1.60,91
Shots Blocked,0.72,98
Passes Blocked,0.88,56
Interceptions,0.99,44
Tkl+Int,4.20,85
Clearances,1.44,73
Errors,0.00,67
Touches,63.44,71
Touches (Def Pen),3.26,88
Touches (Def 3rd),16.45,85
Touches (Mid 3rd),40.91,81
Touches (Att 3rd),6.57,13
Touches (Att Pen),0.44,23
Touches (Live-Ball),63.44,71
Take-Ons Attempted,0.33,3
Successful Take-Ons,0.17,4
Successful Take-On %,50.0,42
Times Tackled During Take-On,0.11,5
Tackled During Take-On Percentage,33.3,71
Carries,33.79,66
Total Carrying Distance,151.29,52
Progressive Carrying Distance,75.42,61
Progressive Carries,0.50,11
Carries into Final Third,0.83,30
Carries into Penalty Area,0.00,5
Miscontrols,0.33,99
Dispossessed,0.50,79
Passes Received,41.52,72
Progressive Passes Rec,0.55,9
Yellow Cards,0.44,7
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,2.10,10
Fouls Drawn,0.39,4
Offsides,0.00,75
Crosses,0.22,16
Interceptions,0.99,44
Tackles Won,1.44,71
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,5.69,28
Aerials won,1.27,78
Aerials lost,1.44,17
% of Aerials Won,46.9,47
