Non-Penalty Goals,0.00,1
Non-Penalty xG,0.09,5
Shots Total,1.31,12
Assists,0.22,62
xAG,0.15,34
npxG + xAG,0.24,6
Shot-Creating Actions,2.51,13
Passes Attempted,32.00,36
Pass Completion %,78.2,80
Progressive Passes,2.08,12
Progressive Carries,0.66,2
Successful Take-Ons,1.64,65
Touches (Att Pen),3.93,70
Progressive Passes Rec,5.46,20
Tackles,2.62,98
Interceptions,0.98,95
Blocks,1.20,79
Clearances,0.55,58
Aerials won,1.31,85
Goals,0.00,1
Assists,0.22,62
Goals + Assists,0.22,15
Non-Penalty Goals,0.00,1
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.22,33
Red Cards,0.00,59
xG,0.09,4
Non-Penalty xG,0.09,5
xAG,0.15,34
npxG + xAG,0.24,6
Progressive Carries,0.66,2
Progressive Passes,2.08,12
Progressive Passes Rec,5.46,20
Goals,0.00,1
Shots Total,1.31,12
Shots on target,0.22,2
Shots on target %,16.7,1
Goals/Shot,0.00,1
Goals/Shot on target,0.00,1
Average Shot Distance,16.90,74
Shots from free kicks,0.00,20
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.09,4
Non-Penalty xG,0.09,5
npxG/Sh,0.07,21
Goals - xG,-0.09,15
Non-Penalty Goals - npxG,-0.09,15
Passes Completed,25.01,44
Passes Attempted,32.00,36
Pass Completion %,78.2,80
Total Passing Distance,383.16,43
Progressive Passing Distance,73.94,17
Passes Completed (Short),14.96,58
Passes Attempted (Short),16.82,54
Pass Completion % (Short),89.0,86
Passes Completed (Medium),6.77,28
Passes Attempted (Medium),9.17,29
Pass Completion % (Medium),73.8,32
Passes Completed (Long),2.18,50
Passes Attempted (Long),3.93,43
Pass Completion % (Long),55.6,73
Assists,0.22,62
xAG,0.15,34
Expected Assists,0.10,13
Key Passes,0.98,13
Passes into Final Third,1.86,38
Passes into Penalty Area,0.55,4
Crosses into Penalty Area,0.11,15
Progressive Passes,2.08,12
Passes Attempted,32.00,36
Live-ball passes,29.82,38
Dead-ball passes,2.18,45
Passes from Free Kicks,0.76,61
Through Balls,0.00,2
Switches,0.76,91
Crosses,2.29,39
Throw-Ins taken,0.33,40
Corner Kicks,0.98,48
Inswinging Corner Kicks,0.33,48
Outswinging Corner Kicks,0.22,51
Straight Corner Kicks,0.00,38
Passes Completed,25.01,44
Passes Offside,0.00,97
Passes Blocked,0.55,95
Shot-Creating Actions,2.51,13
SCA (PassLive),1.64,11
SCA (PassDead),0.22,47
SCA (TO),0.22,44
SCA (Sh),0.22,46
SCA (Fld),0.22,56
SCA (Def),0.00,20
Goal-Creating Actions,0.22,15
GCA (PassLive),0.00,1
GCA (PassDead),0.11,91
GCA (TO),0.00,25
GCA (Sh),0.11,94
GCA (Fld),0.00,27
GCA (Def),0.00,46
Tackles,2.62,98
Tackles Won,1.42,98
Tackles (Def 3rd),1.20,98
Tackles (Mid 3rd),0.98,93
Tackles (Att 3rd),0.44,81
Dribblers Tackled,0.44,36
Dribbles Challenged,1.86,79
% of dribblers tackled,23.5,7
Challenges Lost,1.42,11
Blocks,1.20,79
Shots Blocked,0.22,94
Passes Blocked,0.98,73
Interceptions,0.98,95
Tkl+Int,3.60,99
Clearances,0.55,58
Errors,0.00,54
Touches,46.20,41
Touches (Def Pen),0.66,47
Touches (Def 3rd),6.55,78
Touches (Mid 3rd),21.41,59
Touches (Att 3rd),18.90,23
Touches (Att Pen),3.93,70
Touches (Live-Ball),46.20,41
Take-Ons Attempted,2.51,38
Successful Take-Ons,1.64,65
Successful Take-On %,65.2,98
Times Tackled During Take-On,0.87,19
Tackled During Take-On Percentage,34.8,92
Carries,27.85,41
Total Carrying Distance,156.19,27
Progressive Carrying Distance,54.61,13
Progressive Carries,0.66,2
Carries into Final Third,0.87,3
Carries into Penalty Area,0.11,2
Miscontrols,4.26,2
Dispossessed,2.08,12
Passes Received,30.25,37
Progressive Passes Rec,5.46,20
Yellow Cards,0.22,33
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,2.40,1
Fouls Drawn,2.29,80
Offsides,0.55,14
Crosses,2.29,39
Interceptions,0.98,95
Tackles Won,1.42,98
Penalty Kicks Won,0.00,33
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,5.35,73
Aerials won,1.31,85
Aerials lost,1.97,9
% of Aerials Won,40.0,66
