PSxG-GA,0.14,73
Goals Against,1.11,67
Save Percentage,79.7,89
PSxG/SoT,0.23,8
Save% (Penalty Kicks),0.0,26
Clean Sheet Percentage,27.0,47
Touches,28.73,12
Launch %,34.5,33
Goal Kicks,8.24,56
Avg. Length of Goal Kicks,36.8,20
Crosses Stopped %,3.5,17
Def. Actions Outside Pen. Area,0.68,30
Avg. Distance of Def. Actions,12.5,27
Goals Against,1.11,67
Shots on Target Against,4.65,69
Saves,3.57,86
Save Percentage,79.7,89
Wins,0.32,42
Draws,0.27,56
Losses,0.41,61
Clean Sheets,0.27,48
Clean Sheet Percentage,27.0,47
Penalty Kicks Attempted,0.19,74
Penalty Kicks Allowed,0.16,22
Penalty Kicks Saved,0.00,26
Penalty Kicks Missed,0.03,80
Save% (Penalty Kicks),0.0,26
Goals Against,1.11,67
Penalty Kicks Allowed,0.16,22
Free Kick Goals Against,0.00,76
Corner Kick Goals Against,0.05,92
Own Goals Scored Against Goalkeeper,0.03,52
Post-Shot Expected Goals,1.22,61
PSxG/SoT,0.23,8
PSxG-GA,0.14,73
Passes Completed (Launched),3.03,7
Passes Attempted (Launched),9.76,10
Pass Completion Percentage (Launched),31.0,15
Passes Attempted,17.62,11
Throws Attempted,3.51,16
Launch %,34.5,33
Average Pass Length,32.7,23
Goal Kicks,8.24,56
Launch% (Goal Kicks),44.6,24
Avg. Length of Goal Kicks,36.8,20
Crosses Faced,16.84,84
Crosses Stopped,0.59,27
Crosses Stopped %,3.5,17
Def. Actions Outside Pen. Area,0.68,30
Avg. Distance of Def. Actions,12.5,27
