Non-Penalty Goals,0.00,19
Non-Penalty xG,0.02,15
Shots Total,0.19,9
Assists,0.00,31
xAG,0.00,3
npxG + xAG,0.02,3
Shot-Creating Actions,0.19,1
Passes Attempted,32.17,1
Pass Completion %,80.9,22
Progressive Passes,1.86,9
Progressive Carries,1.12,85
Successful Take-Ons,0.19,54
Touches (Att Pen),0.19,2
Progressive Passes Rec,0.19,45
Tackles,0.93,9
Interceptions,2.05,91
Blocks,3.16,99
Clearances,3.72,54
Aerials won,0.93,3
Goals,0.00,19
Assists,0.00,31
Goals + Assists,0.00,12
Non-Penalty Goals,0.00,19
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
Yellow Cards,0.93,1
Red Cards,0.00,63
xG,0.02,14
Non-Penalty xG,0.02,15
xAG,0.00,3
npxG + xAG,0.02,3
Progressive Carries,1.12,85
Progressive Passes,1.86,9
Progressive Passes Rec,0.19,45
Goals,0.00,19
Shots Total,0.19,9
Shots on target,0.00,5
Shots on target %,0.0,5
Goals/Shot,0.00,19
Average Shot Distance,11.70,60
Shots from free kicks,0.00,47
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,49
xG,0.02,14
Non-Penalty xG,0.02,15
npxG/Sh,0.08,35
Goals - xG,-0.02,38
Non-Penalty Goals - npxG,-0.02,38
Passes Completed,26.03,1
Passes Attempted,32.17,1
Pass Completion %,80.9,22
Total Passing Distance,520.10,1
Progressive Passing Distance,200.64,3
Passes Completed (Short),8.74,4
Passes Attempted (Short),9.48,2
Pass Completion % (Short),92.2,73
Passes Completed (Medium),12.64,1
Passes Attempted (Medium),14.13,1
Pass Completion % (Medium),89.5,33
Passes Completed (Long),3.91,22
Passes Attempted (Long),7.07,29
Pass Completion % (Long),55.3,26
Assists,0.00,31
xAG,0.00,3
Expected Assists,0.00,1
Key Passes,0.00,1
Passes into Final Third,2.05,20
Passes into Penalty Area,0.19,55
Crosses into Penalty Area,0.00,28
Progressive Passes,1.86,9
Passes Attempted,32.17,1
Live-ball passes,29.57,1
Dead-ball passes,2.60,61
Passes from Free Kicks,2.42,89
Through Balls,0.00,23
Switches,0.74,75
Crosses,0.19,64
Throw-Ins taken,0.19,38
Corner Kicks,0.00,48
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,26.03,1
Passes Offside,0.00,96
Passes Blocked,0.37,52
Shot-Creating Actions,0.19,1
SCA (PassLive),0.19,3
SCA (PassDead),0.00,31
SCA (TO),0.00,38
SCA (Sh),0.00,15
SCA (Fld),0.00,35
SCA (Def),0.00,33
Goal-Creating Actions,0.00,11
GCA (PassLive),0.00,15
GCA (PassDead),0.00,48
GCA (TO),0.00,49
GCA (Sh),0.00,41
GCA (Fld),0.00,46
GCA (Def),0.00,48
Tackles,0.93,9
Tackles Won,0.93,60
Tackles (Def 3rd),0.93,51
Tackles (Mid 3rd),0.00,1
Tackles (Att 3rd),0.00,15
Dribblers Tackled,0.56,29
Dribbles Challenged,1.12,52
% of dribblers tackled,50.0,9
Challenges Lost,0.56,23
Blocks,3.16,99
Shots Blocked,1.86,99
Passes Blocked,1.30,99
Interceptions,2.05,91
Tkl+Int,2.98,57
Clearances,3.72,54
Errors,0.00,82
Touches,43.14,1
Touches (Def Pen),10.04,86
Touches (Def 3rd),26.59,15
Touches (Mid 3rd),16.18,1
Touches (Att 3rd),0.56,1
Touches (Att Pen),0.19,2
Touches (Live-Ball),43.14,1
Take-Ons Attempted,0.37,61
Successful Take-Ons,0.19,54
Successful Take-On %,50.0,35
Times Tackled During Take-On,0.19,79
Tackled During Take-On Percentage,50.0,22
Carries,23.06,5
Total Carrying Distance,126.45,16
Progressive Carrying Distance,74.01,26
Progressive Carries,1.12,85
Carries into Final Third,0.37,46
Carries into Penalty Area,0.00,23
Miscontrols,0.56,32
Dispossessed,0.00,97
Passes Received,24.92,3
Progressive Passes Rec,0.19,45
Yellow Cards,0.93,1
Red Cards,0.00,63
Second Yellow Card,0.00,56
Fouls Committed,1.30,16
Fouls Drawn,0.56,53
Offsides,0.00,76
Crosses,0.19,64
Interceptions,2.05,91
Tackles Won,0.93,60
Penalty Kicks Won,0.00,46
Penalty Kicks Conceded,0.19,1
Own Goals,0.00,61
Ball Recoveries,3.53,2
Aerials won,0.93,3
Aerials lost,1.30,48
% of Aerials Won,41.7,2
