Non-Penalty Goals,0.20,52
Non-Penalty xG,0.10,9
Shots Total,1.59,23
Assists,0.00,2
xAG,0.06,2
npxG + xAG,0.18,1
Shot-Creating Actions,2.39,12
Passes Attempted,52.37,87
Pass Completion %,87.1,99
Progressive Passes,5.97,82
Progressive Carries,1.19,7
Successful Take-Ons,1.00,32
Touches (Att Pen),1.19,1
Progressive Passes Rec,4.18,5
Tackles,1.00,30
Interceptions,0.20,4
Blocks,1.00,66
Clearances,0.00,1
Aerials won,0.20,13
Goals,0.20,45
Assists,0.00,2
Goals + Assists,0.20,12
Non-Penalty Goals,0.20,52
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.00,98
Red Cards,0.00,59
xG,0.10,5
Non-Penalty xG,0.10,9
xAG,0.06,2
npxG + xAG,0.18,1
Progressive Carries,1.19,7
Progressive Passes,5.97,82
Progressive Passes Rec,4.18,5
Goals,0.20,45
Shots Total,1.59,23
Shots on target,0.60,30
Shots on target %,37.5,69
Goals/Shot,0.13,71
Goals/Shot on target,0.33,68
Average Shot Distance,19.70,44
Shots from free kicks,0.20,77
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.10,5
Non-Penalty xG,0.10,9
npxG/Sh,0.06,9
Goals - xG,0.10,82
Non-Penalty Goals - npxG,0.10,83
Passes Completed,45.60,93
Passes Attempted,52.37,87
Pass Completion %,87.1,99
Total Passing Distance,708.25,92
Progressive Passing Distance,157.90,74
Passes Completed (Short),23.10,93
Passes Attempted (Short),25.29,91
Pass Completion % (Short),91.3,96
Passes Completed (Medium),17.12,95
Passes Attempted (Medium),18.12,90
Pass Completion % (Medium),94.5,99
Passes Completed (Long),3.58,78
Passes Attempted (Long),6.17,70
Pass Completion % (Long),58.1,79
Assists,0.00,2
xAG,0.06,2
Expected Assists,0.08,6
Key Passes,1.19,20
Passes into Final Third,4.98,90
Passes into Penalty Area,0.60,5
Crosses into Penalty Area,0.00,2
Progressive Passes,5.97,82
Passes Attempted,52.37,87
Live-ball passes,47.59,91
Dead-ball passes,4.78,73
Passes from Free Kicks,1.79,81
Through Balls,0.00,2
Switches,0.20,43
Crosses,2.99,45
Throw-Ins taken,0.20,20
Corner Kicks,2.59,74
Inswinging Corner Kicks,1.59,84
Outswinging Corner Kicks,0.80,75
Straight Corner Kicks,0.00,38
Passes Completed,45.60,93
Passes Offside,0.00,97
Passes Blocked,0.40,99
Shot-Creating Actions,2.39,12
SCA (PassLive),1.59,9
SCA (PassDead),0.60,69
SCA (TO),0.00,3
SCA (Sh),0.00,1
SCA (Fld),0.20,52
SCA (Def),0.00,20
Goal-Creating Actions,0.20,13
GCA (PassLive),0.20,29
GCA (PassDead),0.00,29
GCA (TO),0.00,25
GCA (Sh),0.00,21
GCA (Fld),0.00,27
GCA (Def),0.00,46
Tackles,1.00,30
Tackles Won,0.80,52
Tackles (Def 3rd),0.20,14
Tackles (Mid 3rd),0.60,53
Tackles (Att 3rd),0.20,31
Dribblers Tackled,0.60,61
Dribbles Challenged,1.59,64
% of dribblers tackled,37.5,46
Challenges Lost,1.00,33
Blocks,1.00,66
Shots Blocked,0.60,99
Passes Blocked,0.40,9
Interceptions,0.20,4
Tkl+Int,1.19,16
Clearances,0.00,1
Errors,0.00,54
Touches,61.13,84
Touches (Def Pen),0.20,2
Touches (Def 3rd),5.38,53
Touches (Mid 3rd),38.03,97
Touches (Att 3rd),18.72,23
Touches (Att Pen),1.19,1
Touches (Live-Ball),61.13,84
Take-Ons Attempted,2.59,41
Successful Take-Ons,1.00,32
Successful Take-On %,38.5,21
Times Tackled During Take-On,1.19,37
Tackled During Take-On Percentage,46.2,50
Carries,39.03,85
Total Carrying Distance,192.15,58
Progressive Carrying Distance,82.04,41
Progressive Carries,1.19,7
Carries into Final Third,1.59,25
Carries into Penalty Area,0.20,5
Miscontrols,1.99,70
Dispossessed,1.59,31
Passes Received,47.79,88
Progressive Passes Rec,4.18,5
Yellow Cards,0.00,98
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,0.80,70
Fouls Drawn,2.99,96
Offsides,0.00,98
Crosses,2.99,45
Interceptions,0.20,4
Tackles Won,0.80,52
Penalty Kicks Won,0.00,33
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,3.78,20
Aerials won,0.20,13
Aerials lost,1.79,13
% of Aerials Won,10.0,1
