Non-Penalty Goals,0.00,21
Non-Penalty xG,0.04,59
Shots Total,0.87,77
Assists,0.00,7
xAG,0.11,72
npxG + xAG,0.15,68
Shot-Creating Actions,2.84,82
Passes Attempted,59.22,79
Pass Completion %,69.5,17
Progressive Passes,3.96,55
Progressive Carries,3.15,89
Successful Take-Ons,1.17,85
Touches (Att Pen),0.93,39
Progressive Passes Rec,6.68,89
Tackles,2.78,88
Interceptions,0.80,13
Blocks,1.05,58
Clearances,1.55,15
Aerials won,0.56,12
Goals,0.00,20
Assists,0.00,7
Goals + Assists,0.00,4
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.12,70
Red Cards,0.06,2
xG,0.04,56
Non-Penalty xG,0.04,59
xAG,0.11,72
npxG + xAG,0.15,68
Progressive Carries,3.15,89
Progressive Passes,3.96,55
Progressive Passes Rec,6.68,89
Goals,0.00,20
Shots Total,0.87,77
Shots on target,0.25,78
Shots on target %,28.6,58
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,24.70,17
Shots from free kicks,0.19,95
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
xG,0.04,56
Non-Penalty xG,0.04,59
npxG/Sh,0.05,37
Goals - xG,-0.04,10
Non-Penalty Goals - npxG,-0.04,10
Passes Completed,41.17,59
Passes Attempted,59.22,79
Pass Completion %,69.5,17
Total Passing Distance,705.91,60
Progressive Passing Distance,295.16,77
Passes Completed (Short),19.84,56
Passes Attempted (Short),23.18,61
Pass Completion % (Short),85.6,25
Passes Completed (Medium),16.50,59
Passes Attempted (Medium),22.75,75
Pass Completion % (Medium),72.6,16
Passes Completed (Long),4.14,70
Passes Attempted (Long),9.89,84
Pass Completion % (Long),41.9,21
Assists,0.00,7
xAG,0.11,72
Expected Assists,0.16,87
Key Passes,1.73,92
Passes into Final Third,3.21,61
Passes into Penalty Area,0.87,40
Crosses into Penalty Area,0.62,73
Progressive Passes,3.96,55
Passes Attempted,59.22,79
Live-ball passes,44.69,63
Dead-ball passes,14.16,97
Passes from Free Kicks,2.41,94
Through Balls,0.00,17
Switches,0.00,1
Crosses,8.84,98
Throw-Ins taken,8.96,62
Corner Kicks,2.78,96
Inswinging Corner Kicks,0.74,93
Outswinging Corner Kicks,1.67,97
Straight Corner Kicks,0.00,47
Passes Completed,41.17,59
Passes Offside,0.37,3
Passes Blocked,1.61,15
Shot-Creating Actions,2.84,82
SCA (PassLive),1.11,17
SCA (PassDead),1.42,97
SCA (TO),0.25,95
SCA (Sh),0.06,52
SCA (Fld),0.00,11
SCA (Def),0.00,23
Goal-Creating Actions,0.06,8
GCA (PassLive),0.00,2
GCA (PassDead),0.06,91
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,48
Tackles,2.78,88
Tackles Won,1.36,70
Tackles (Def 3rd),1.73,91
Tackles (Mid 3rd),0.80,76
Tackles (Att 3rd),0.25,68
Dribblers Tackled,1.30,72
Dribbles Challenged,2.60,87
% of dribblers tackled,50.0,20
Challenges Lost,1.30,10
Blocks,1.05,58
Shots Blocked,0.31,63
Passes Blocked,0.74,52
Interceptions,0.80,13
Tkl+Int,3.59,69
Clearances,1.55,15
Errors,0.00,65
Touches,70.90,85
Touches (Def Pen),2.60,25
Touches (Def 3rd),15.82,22
Touches (Mid 3rd),32.20,79
Touches (Att 3rd),23.98,92
Touches (Att Pen),0.93,39
Touches (Live-Ball),70.90,85
Take-Ons Attempted,3.03,94
Successful Take-Ons,1.17,85
Successful Take-On %,38.8,29
Times Tackled During Take-On,1.79,98
Tackled During Take-On Percentage,59.2,12
Carries,37.77,85
Total Carrying Distance,238.48,97
Progressive Carrying Distance,135.49,97
Progressive Carries,3.15,89
Carries into Final Third,1.67,68
Carries into Penalty Area,0.25,54
Miscontrols,1.61,21
Dispossessed,1.30,3
Passes Received,39.81,74
Progressive Passes Rec,6.68,89
Yellow Cards,0.12,70
Red Cards,0.06,2
Second Yellow Card,0.00,54
Fouls Committed,0.99,56
Fouls Drawn,0.56,23
Offsides,0.06,45
Crosses,8.84,98
Interceptions,0.80,13
Tackles Won,1.36,70
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.00,54
Ball Recoveries,6.06,72
Aerials won,0.56,12
Aerials lost,0.74,76
% of Aerials Won,42.9,24
