Non-Penalty Goals,0.23,60
Non-Penalty xG,0.13,18
Shots Total,2.34,61
Assists,0.12,33
xAG,0.13,20
npxG + xAG,0.27,11
Shot-Creating Actions,2.57,14
Passes Attempted,33.31,38
Pass Completion %,64.9,8
Progressive Passes,3.74,47
Progressive Carries,1.29,7
Successful Take-Ons,0.58,8
Touches (Att Pen),3.62,55
Progressive Passes Rec,6.90,41
Tackles,4.68,99
Interceptions,1.17,99
Blocks,2.45,99
Clearances,1.17,95
Aerials won,3.27,99
Goals,0.23,53
Assists,0.12,33
Goals + Assists,0.35,38
Non-Penalty Goals,0.23,60
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.47,1
Red Cards,0.12,1
xG,0.13,15
Non-Penalty xG,0.13,18
xAG,0.13,20
npxG + xAG,0.27,11
Progressive Carries,1.29,7
Progressive Passes,3.74,47
Progressive Passes Rec,6.90,41
Goals,0.23,53
Shots Total,2.34,61
Shots on target,0.70,45
Shots on target %,30.0,28
Goals/Shot,0.10,55
Goals/Shot on target,0.33,68
Average Shot Distance,20.70,31
Shots from free kicks,0.00,20
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.13,15
Non-Penalty xG,0.13,18
npxG/Sh,0.06,9
Goals - xG,0.11,83
Non-Penalty Goals - npxG,0.11,84
Passes Completed,21.62,30
Passes Attempted,33.31,38
Pass Completion %,64.9,8
Total Passing Distance,372.16,41
Progressive Passing Distance,109.75,46
Passes Completed (Short),10.29,16
Passes Attempted (Short),15.19,40
Pass Completion % (Short),67.7,1
Passes Completed (Medium),7.83,43
Passes Attempted (Medium),10.40,41
Pass Completion % (Medium),75.3,40
Passes Completed (Long),2.34,55
Passes Attempted (Long),3.86,42
Pass Completion % (Long),60.6,87
Assists,0.12,33
xAG,0.13,20
Expected Assists,0.20,60
Key Passes,0.70,2
Passes into Final Third,1.64,29
Passes into Penalty Area,1.05,31
Crosses into Penalty Area,0.00,2
Progressive Passes,3.74,47
Passes Attempted,33.31,38
Live-ball passes,32.84,52
Dead-ball passes,0.35,4
Passes from Free Kicks,0.12,21
Through Balls,0.35,77
Switches,1.05,95
Crosses,1.64,23
Throw-Ins taken,0.23,24
Corner Kicks,0.00,9
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,18
Straight Corner Kicks,0.00,38
Passes Completed,21.62,30
Passes Offside,0.12,66
Passes Blocked,1.52,9
Shot-Creating Actions,2.57,14
SCA (PassLive),2.57,49
SCA (PassDead),0.00,11
SCA (TO),0.00,3
SCA (Sh),0.00,1
SCA (Fld),0.00,1
SCA (Def),0.00,20
Goal-Creating Actions,0.23,17
GCA (PassLive),0.23,38
GCA (PassDead),0.00,29
GCA (TO),0.00,25
GCA (Sh),0.00,21
GCA (Fld),0.00,27
GCA (Def),0.00,46
Tackles,4.68,99
Tackles Won,2.22,99
Tackles (Def 3rd),1.64,99
Tackles (Mid 3rd),2.34,99
Tackles (Att 3rd),0.70,99
Dribblers Tackled,1.75,99
Dribbles Challenged,4.68,99
% of dribblers tackled,37.5,46
Challenges Lost,2.92,1
Blocks,2.45,99
Shots Blocked,0.35,99
Passes Blocked,2.10,99
Interceptions,1.17,99
Tkl+Int,5.84,99
Clearances,1.17,95
Errors,0.00,54
Touches,52.25,63
Touches (Def Pen),1.99,99
Touches (Def 3rd),10.87,98
Touches (Mid 3rd),22.68,66
Touches (Att 3rd),19.64,29
Touches (Att Pen),3.62,55
Touches (Live-Ball),52.25,63
Take-Ons Attempted,2.10,25
Successful Take-Ons,0.58,8
Successful Take-On %,27.8,5
Times Tackled During Take-On,1.52,52
Tackled During Take-On Percentage,72.2,2
Carries,26.18,33
Total Carrying Distance,150.55,23
Progressive Carrying Distance,54.12,13
Progressive Carries,1.29,7
Carries into Final Third,1.64,28
Carries into Penalty Area,0.00,1
Miscontrols,1.99,70
Dispossessed,1.75,23
Passes Received,30.62,38
Progressive Passes Rec,6.90,41
Yellow Cards,0.47,1
Red Cards,0.12,1
Second Yellow Card,0.12,1
Fouls Committed,2.92,1
Fouls Drawn,3.27,98
Offsides,0.47,21
Crosses,1.64,23
Interceptions,1.17,99
Tackles Won,2.22,99
Penalty Kicks Won,0.00,33
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,6.31,95
Aerials won,3.27,99
Aerials lost,3.62,1
% of Aerials Won,47.5,86
