Non-Penalty Goals,0.22,57
Non-Penalty xG,0.21,55
Shots Total,1.69,29
Assists,0.04,7
xAG,0.06,3
npxG + xAG,0.27,11
Shot-Creating Actions,2.86,20
Passes Attempted,29.32,27
Pass Completion %,78.3,80
Progressive Passes,2.82,29
Progressive Carries,4.76,93
Successful Take-Ons,2.47,87
Touches (Att Pen),3.16,39
Progressive Passes Rec,7.58,56
Tackles,1.00,30
Interceptions,0.65,78
Blocks,0.82,42
Clearances,0.91,84
Aerials won,1.04,79
Goals,0.22,49
Assists,0.04,7
Goals + Assists,0.26,18
Non-Penalty Goals,0.22,57
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
Yellow Cards,0.13,64
Red Cards,0.00,59
xG,0.21,43
Non-Penalty xG,0.21,55
xAG,0.06,3
npxG + xAG,0.27,11
Progressive Carries,4.76,93
Progressive Passes,2.82,29
Progressive Passes Rec,7.58,56
Goals,0.22,49
Shots Total,1.69,29
Shots on target,0.78,57
Shots on target %,46.2,92
Goals/Shot,0.13,71
Goals/Shot on target,0.28,50
Average Shot Distance,17.70,65
Shots from free kicks,0.00,20
Penalty Kicks Made,0.00,34
Penalty Kicks Attempted,0.00,30
xG,0.21,43
Non-Penalty xG,0.21,55
npxG/Sh,0.12,77
Goals - xG,0.01,51
Non-Penalty Goals - npxG,0.01,53
Passes Completed,22.95,36
Passes Attempted,29.32,27
Pass Completion %,78.3,80
Total Passing Distance,333.54,32
Progressive Passing Distance,83.85,25
Passes Completed (Short),13.47,46
Passes Attempted (Short),15.72,45
Pass Completion % (Short),85.7,59
Passes Completed (Medium),7.75,42
Passes Attempted (Medium),10.05,38
Pass Completion % (Medium),77.2,52
Passes Completed (Long),1.00,18
Passes Attempted (Long),1.39,5
Pass Completion % (Long),71.9,99
Assists,0.04,7
xAG,0.06,3
Expected Assists,0.11,16
Key Passes,0.91,7
Passes into Final Third,1.52,26
Passes into Penalty Area,1.04,31
Crosses into Penalty Area,0.39,70
Progressive Passes,2.82,29
Passes Attempted,29.32,27
Live-ball passes,26.94,25
Dead-ball passes,2.12,44
Passes from Free Kicks,0.65,57
Through Balls,0.09,21
Switches,0.09,14
Crosses,2.12,34
Throw-Ins taken,1.34,89
Corner Kicks,0.13,30
Inswinging Corner Kicks,0.04,30
Outswinging Corner Kicks,0.00,18
Straight Corner Kicks,0.00,38
Passes Completed,22.95,36
Passes Offside,0.26,31
Passes Blocked,0.91,66
Shot-Creating Actions,2.86,20
SCA (PassLive),1.95,25
SCA (PassDead),0.09,34
SCA (TO),0.48,85
SCA (Sh),0.04,4
SCA (Fld),0.30,72
SCA (Def),0.00,20
Goal-Creating Actions,0.17,10
GCA (PassLive),0.13,13
GCA (PassDead),0.00,29
GCA (TO),0.00,25
GCA (Sh),0.00,21
GCA (Fld),0.04,77
GCA (Def),0.00,46
Tackles,1.00,30
Tackles Won,0.82,56
Tackles (Def 3rd),0.43,49
Tackles (Mid 3rd),0.30,15
Tackles (Att 3rd),0.26,48
Dribblers Tackled,0.48,43
Dribbles Challenged,1.04,28
% of dribblers tackled,45.8,73
Challenges Lost,0.56,82
Blocks,0.82,42
Shots Blocked,0.09,55
Passes Blocked,0.74,46
Interceptions,0.65,78
Tkl+Int,1.65,41
Clearances,0.91,84
Errors,0.00,54
Touches,41.15,27
Touches (Def Pen),1.04,73
Touches (Def 3rd),6.41,75
Touches (Mid 3rd),17.24,36
Touches (Att 3rd),18.41,19
Touches (Att Pen),3.16,39
Touches (Live-Ball),41.15,27
Take-Ons Attempted,4.55,79
Successful Take-Ons,2.47,87
Successful Take-On %,54.3,81
Times Tackled During Take-On,1.69,61
Tackled During Take-On Percentage,37.1,89
Carries,27.20,36
Total Carrying Distance,245.01,86
Progressive Carrying Distance,140.59,94
Progressive Carries,4.76,93
Carries into Final Third,3.33,92
Carries into Penalty Area,1.13,68
Miscontrols,1.78,83
Dispossessed,1.52,36
Passes Received,29.32,33
Progressive Passes Rec,7.58,56
Yellow Cards,0.13,64
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,1.04,49
Fouls Drawn,3.08,97
Offsides,0.17,63
Crosses,2.12,34
Interceptions,0.65,78
Tackles Won,0.82,56
Penalty Kicks Won,0.00,33
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,3.94,25
Aerials won,1.04,79
Aerials lost,1.26,36
% of Aerials Won,45.3,80
