Non-Penalty Goals,0.27,60
Non-Penalty xG,0.26,66
Shots Total,2.81,77
Assists,0.09,11
xAG,0.08,5
npxG + xAG,0.35,35
Shot-Creating Actions,3.08,18
Passes Attempted,29.70,13
Pass Completion %,68.9,12
Progressive Passes,3.17,31
Progressive Carries,2.08,17
Successful Take-Ons,0.54,4
Touches (Att Pen),3.89,47
Progressive Passes Rec,4.26,3
Tackles,1.99,91
Interceptions,1.45,99
Blocks,0.72,24
Clearances,0.45,58
Aerials won,1.27,88
Goals,0.27,49
Assists,0.09,11
Goals + Assists,0.36,25
Non-Penalty Goals,0.27,60
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
Yellow Cards,0.45,2
Red Cards,0.00,56
xG,0.26,53
Non-Penalty xG,0.26,66
xAG,0.08,5
npxG + xAG,0.35,35
Progressive Carries,2.08,17
Progressive Passes,3.17,31
Progressive Passes Rec,4.26,3
Goals,0.27,49
Shots Total,2.81,77
Shots on target,0.81,51
Shots on target %,29.0,16
Goals/Shot,0.10,43
Goals/Shot on target,0.33,57
Average Shot Distance,15.10,88
Shots from free kicks,0.00,21
Penalty Kicks Made,0.00,30
Penalty Kicks Attempted,0.00,28
xG,0.26,53
Non-Penalty xG,0.26,66
npxG/Sh,0.09,35
Goals - xG,0.01,46
Non-Penalty Goals - npxG,0.01,47
Passes Completed,20.46,8
Passes Attempted,29.70,13
Pass Completion %,68.9,12
Total Passing Distance,333.20,20
Progressive Passing Distance,92.63,39
Passes Completed (Short),9.87,3
Passes Attempted (Short),12.22,3
Pass Completion % (Short),80.7,14
Passes Completed (Medium),7.24,25
Passes Attempted (Medium),9.96,28
Pass Completion % (Medium),72.7,21
Passes Completed (Long),1.90,42
Passes Attempted (Long),3.89,49
Pass Completion % (Long),48.8,27
Assists,0.09,11
xAG,0.08,5
Expected Assists,0.07,1
Key Passes,1.09,12
Passes into Final Third,1.54,31
Passes into Penalty Area,0.81,12
Crosses into Penalty Area,0.18,32
Progressive Passes,3.17,31
Passes Attempted,29.70,13
Live-ball passes,29.15,19
Dead-ball passes,0.45,6
Passes from Free Kicks,0.09,22
Through Balls,0.36,80
Switches,0.36,65
Crosses,1.00,9
Throw-Ins taken,0.36,37
Corner Kicks,0.00,7
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,16
Straight Corner Kicks,0.00,39
Passes Completed,20.46,8
Passes Offside,0.09,78
Passes Blocked,1.27,33
Shot-Creating Actions,3.08,18
SCA (PassLive),2.08,21
SCA (PassDead),0.00,10
SCA (TO),0.18,34
SCA (Sh),0.54,99
SCA (Fld),0.09,18
SCA (Def),0.18,99
Goal-Creating Actions,0.27,14
GCA (PassLive),0.18,19
GCA (PassDead),0.00,28
GCA (TO),0.00,22
GCA (Sh),0.09,90
GCA (Fld),0.00,22
GCA (Def),0.00,43
Tackles,1.99,91
Tackles Won,1.27,92
Tackles (Def 3rd),0.81,95
Tackles (Mid 3rd),0.91,89
Tackles (Att 3rd),0.27,45
Dribblers Tackled,0.81,90
Dribbles Challenged,1.54,65
% of dribblers tackled,52.9,93
Challenges Lost,0.72,50
Blocks,0.72,24
Shots Blocked,0.00,11
Passes Blocked,0.72,30
Interceptions,1.45,99
Tkl+Int,3.44,97
Clearances,0.45,58
Errors,0.00,59
Touches,43.10,17
Touches (Def Pen),0.45,29
Touches (Def 3rd),7.70,89
Touches (Mid 3rd),21.28,55
Touches (Att 3rd),15.21,2
Touches (Att Pen),3.89,47
Touches (Live-Ball),43.10,17
Take-Ons Attempted,1.63,8
Successful Take-Ons,0.54,4
Successful Take-On %,33.3,8
Times Tackled During Take-On,0.81,13
Tackled During Take-On Percentage,50.0,31
Carries,24.18,6
Total Carrying Distance,137.90,7
Progressive Carrying Distance,78.14,24
Progressive Carries,2.08,17
Carries into Final Third,1.72,25
Carries into Penalty Area,0.54,15
Miscontrols,2.54,49
Dispossessed,1.09,79
Passes Received,28.43,9
Progressive Passes Rec,4.26,3
Yellow Cards,0.45,2
Red Cards,0.00,56
Second Yellow Card,0.00,54
Fouls Committed,1.90,4
Fouls Drawn,1.09,24
Offsides,0.45,18
Crosses,1.00,9
Interceptions,1.45,99
Tackles Won,1.27,92
Penalty Kicks Won,0.00,27
Penalty Kicks Conceded,0.00,54
Own Goals,0.00,50
Ball Recoveries,6.07,93
Aerials won,1.27,88
Aerials lost,2.26,5
% of Aerials Won,35.9,63
