Non-Penalty Goals,0.00,21
Non-Penalty xG,0.04,46
Shots Total,0.61,64
Assists,0.09,94
xAG,0.04,76
npxG + xAG,0.08,56
Shot-Creating Actions,0.94,74
Passes Attempted,48.94,52
Pass Completion %,81.5,42
Progressive Passes,3.89,82
Progressive Carries,0.61,58
Successful Take-Ons,0.14,42
Touches (Att Pen),1.13,73
Progressive Passes Rec,0.09,21
Tackles,1.36,57
Interceptions,1.36,51
Blocks,1.78,97
Clearances,5.30,90
Aerials won,2.82,71
Goals,0.00,21
Assists,0.09,94
Goals + Assists,0.09,71
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.09,84
Red Cards,0.00,64
xG,0.04,44
Non-Penalty xG,0.04,46
xAG,0.04,76
npxG + xAG,0.08,56
Progressive Carries,0.61,58
Progressive Passes,3.89,82
Progressive Passes Rec,0.09,21
Goals,0.00,21
Shots Total,0.61,64
Shots on target,0.19,73
Shots on target %,30.8,68
Goals/Shot,0.00,21
Goals/Shot on target,0.00,21
Average Shot Distance,15.40,19
Shots from free kicks,0.14,97
Penalty Kicks Made,0.00,49
Penalty Kicks Attempted,0.00,48
xG,0.04,44
Non-Penalty xG,0.04,46
npxG/Sh,0.07,25
Goals - xG,-0.04,20
Non-Penalty Goals - npxG,-0.04,19
Passes Completed,39.89,50
Passes Attempted,48.94,52
Pass Completion %,81.5,42
Total Passing Distance,905.44,65
Progressive Passing Distance,395.01,83
Passes Completed (Short),10.09,27
Passes Attempted (Short),11.07,21
Pass Completion % (Short),91.1,69
Passes Completed (Medium),20.18,39
Passes Attempted (Medium),22.71,38
Pass Completion % (Medium),88.8,38
Passes Completed (Long),9.15,99
Passes Attempted (Long),14.08,96
Pass Completion % (Long),65.0,75
Assists,0.09,94
xAG,0.04,76
Expected Assists,0.03,69
Key Passes,0.42,86
Passes into Final Third,3.24,72
Passes into Penalty Area,0.56,96
Crosses into Penalty Area,0.14,91
Progressive Passes,3.89,82
Passes Attempted,48.94,52
Live-ball passes,45.84,50
Dead-ball passes,3.00,72
Passes from Free Kicks,2.91,96
Through Balls,0.00,29
Switches,1.27,97
Crosses,0.75,93
Throw-Ins taken,0.09,21
Corner Kicks,0.00,49
Inswinging Corner Kicks,0.00,49
Outswinging Corner Kicks,0.00,49
Straight Corner Kicks,0.00,50
Passes Completed,39.89,50
Passes Offside,0.09,56
Passes Blocked,0.14,90
Shot-Creating Actions,0.94,74
SCA (PassLive),0.80,77
SCA (PassDead),0.00,30
SCA (TO),0.00,40
SCA (Sh),0.09,70
SCA (Fld),0.00,37
SCA (Def),0.05,84
Goal-Creating Actions,0.05,39
GCA (PassLive),0.00,17
GCA (PassDead),0.00,47
GCA (TO),0.00,49
GCA (Sh),0.05,90
GCA (Fld),0.00,48
GCA (Def),0.00,49
Tackles,1.36,57
Tackles Won,0.94,68
Tackles (Def 3rd),1.03,67
Tackles (Mid 3rd),0.33,42
Tackles (Att 3rd),0.00,21
Dribblers Tackled,1.08,89
Dribbles Challenged,1.69,89
% of dribblers tackled,63.9,56
Challenges Lost,0.61,19
Blocks,1.78,97
Shots Blocked,1.17,94
Passes Blocked,0.61,81
Interceptions,1.36,51
Tkl+Int,2.72,50
Clearances,5.30,90
Errors,0.05,29
Touches,59.87,54
Touches (Def Pen),9.57,83
Touches (Def 3rd),29.94,42
Touches (Mid 3rd),27.40,64
Touches (Att 3rd),3.05,69
Touches (Att Pen),1.13,73
Touches (Live-Ball),59.87,54
Take-Ons Attempted,0.19,34
Successful Take-Ons,0.14,42
Successful Take-On %,75.0,71
Times Tackled During Take-On,0.05,33
Tackled During Take-On Percentage,25.0,60
Carries,33.08,61
Total Carrying Distance,166.53,60
Progressive Carrying Distance,106.70,69
Progressive Carries,0.61,58
Carries into Final Third,0.80,88
Carries into Penalty Area,0.00,25
Miscontrols,0.28,78
Dispossessed,0.14,47
Passes Received,35.94,53
Progressive Passes Rec,0.09,21
Yellow Cards,0.09,84
Red Cards,0.00,64
Second Yellow Card,0.00,57
Fouls Committed,0.38,97
Fouls Drawn,0.33,25
Offsides,0.09,11
Crosses,0.75,93
Interceptions,1.36,51
Tackles Won,0.94,68
Penalty Kicks Won,0.00,48
Penalty Kicks Conceded,0.00,71
Own Goals,0.00,60
Ball Recoveries,5.26,53
Aerials won,2.82,71
Aerials lost,2.02,17
% of Aerials Won,58.3,39
