Non-Penalty Goals,0.15,88
Non-Penalty xG,0.13,86
Shots Total,1.33,74
Assists,0.00,13
xAG,0.04,29
npxG + xAG,0.18,63
Shot-Creating Actions,2.52,61
Passes Attempted,46.33,49
Pass Completion %,88.2,93
Progressive Passes,5.33,59
Progressive Carries,2.22,89
Successful Take-Ons,0.59,47
Touches (Att Pen),2.22,89
Progressive Passes Rec,7.55,99
Tackles,1.18,8
Interceptions,0.44,2
Blocks,0.30,1
Clearances,0.30,2
Aerials won,0.59,26
Goals,0.15,86
Assists,0.00,13
Goals + Assists,0.15,57
Non-Penalty Goals,0.15,88
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.15,75
Red Cards,0.00,62
xG,0.13,83
Non-Penalty xG,0.13,86
xAG,0.04,29
npxG + xAG,0.18,63
Progressive Carries,2.22,89
Progressive Passes,5.33,59
Progressive Passes Rec,7.55,99
Goals,0.15,86
Shots Total,1.33,74
Shots on target,0.44,79
Shots on target %,33.3,73
Goals/Shot,0.11,81
Goals/Shot on target,0.33,73
Average Shot Distance,19.60,72
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.13,83
Non-Penalty xG,0.13,86
npxG/Sh,0.10,85
Goals - xG,0.01,72
Non-Penalty Goals - npxG,0.01,72
Passes Completed,40.86,62
Passes Attempted,46.33,49
Pass Completion %,88.2,93
Total Passing Distance,611.94,37
Progressive Passing Distance,133.37,14
Passes Completed (Short),23.39,86
Passes Attempted (Short),25.31,85
Pass Completion % (Short),92.4,90
Passes Completed (Medium),14.51,38
Passes Attempted (Medium),15.84,29
Pass Completion % (Medium),91.6,91
Passes Completed (Long),1.78,6
Passes Attempted (Long),2.37,3
Pass Completion % (Long),75.0,83
Assists,0.00,13
xAG,0.04,29
Expected Assists,0.19,93
Key Passes,0.89,52
Passes into Final Third,2.22,6
Passes into Penalty Area,0.44,29
Crosses into Penalty Area,0.00,7
Progressive Passes,5.33,59
Passes Attempted,46.33,49
Live-ball passes,42.34,42
Dead-ball passes,3.85,76
Passes from Free Kicks,0.15,3
Through Balls,0.00,6
Switches,0.15,11
Crosses,1.48,65
Throw-Ins taken,3.40,98
Corner Kicks,0.15,62
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.15,70
Straight Corner Kicks,0.00,42
Passes Completed,40.86,62
Passes Offside,0.15,49
Passes Blocked,1.04,15
Shot-Creating Actions,2.52,61
SCA (PassLive),2.07,72
SCA (PassDead),0.15,64
SCA (TO),0.00,17
SCA (Sh),0.30,97
SCA (Fld),0.00,10
SCA (Def),0.00,15
Goal-Creating Actions,0.44,90
GCA (PassLive),0.44,98
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,1.18,8
Tackles Won,0.44,1
Tackles (Def 3rd),0.44,10
Tackles (Mid 3rd),0.59,15
Tackles (Att 3rd),0.15,32
Dribblers Tackled,0.44,7
Dribbles Challenged,1.92,49
% of dribblers tackled,23.1,1
Challenges Lost,1.48,19
Blocks,0.30,1
Shots Blocked,0.00,1
Passes Blocked,0.30,1
Interceptions,0.44,2
Tkl+Int,1.63,2
Clearances,0.30,2
Errors,0.00,67
Touches,52.40,31
Touches (Def Pen),0.44,2
Touches (Def 3rd),5.48,3
Touches (Mid 3rd),25.31,17
Touches (Att 3rd),21.76,95
Touches (Att Pen),2.22,89
Touches (Live-Ball),52.40,31
Take-Ons Attempted,1.04,42
Successful Take-Ons,0.59,47
Successful Take-On %,57.1,61
Times Tackled During Take-On,0.44,48
Tackled During Take-On Percentage,42.9,40
Carries,34.05,68
Total Carrying Distance,207.09,83
Progressive Carrying Distance,118.57,94
Progressive Carries,2.22,89
Carries into Final Third,2.22,95
Carries into Penalty Area,0.44,93
Miscontrols,1.18,53
Dispossessed,0.15,99
Passes Received,39.82,65
Progressive Passes Rec,7.55,99
Yellow Cards,0.15,75
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,0.74,88
Fouls Drawn,0.89,43
Offsides,0.15,7
Crosses,1.48,65
Interceptions,0.44,2
Tackles Won,0.44,1
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,60
Own Goals,0.00,52
Ball Recoveries,3.85,2
Aerials won,0.59,26
Aerials lost,0.59,83
% of Aerials Won,50.0,58
