Non-Penalty Goals,0.34,39
Non-Penalty xG,0.37,61
Shots Total,2.72,54
Assists,0.09,47
xAG,0.11,54
npxG + xAG,0.47,56
Shot-Creating Actions,1.94,27
Passes Attempted,11.99,2
Pass Completion %,72.4,69
Progressive Passes,1.22,20
Progressive Carries,1.12,45
Successful Take-Ons,0.66,46
Touches (Att Pen),4.34,42
Progressive Passes Rec,5.15,37
Tackles,0.12,2
Interceptions,0.06,12
Blocks,0.34,15
Clearances,1.03,74
Aerials won,1.06,21
Goals,0.41,47
Assists,0.09,47
Goals + Assists,0.50,41
Non-Penalty Goals,0.34,39
Penalty Kicks Made,0.06,71
Penalty Kicks Attempted,0.06,61
Yellow Cards,0.25,24
Red Cards,0.00,58
xG,0.41,57
Non-Penalty xG,0.37,61
xAG,0.11,54
npxG + xAG,0.47,56
Progressive Carries,1.12,45
Progressive Passes,1.22,20
Progressive Passes Rec,5.15,37
Goals,0.41,47
Shots Total,2.72,54
Shots on target,0.91,41
Shots on target %,33.3,24
Goals/Shot,0.13,42
Goals/Shot on target,0.38,57
Average Shot Distance,16.80,19
Shots from free kicks,0.12,88
Penalty Kicks Made,0.06,71
Penalty Kicks Attempted,0.06,61
xG,0.41,57
Non-Penalty xG,0.37,61
npxG/Sh,0.14,61
Goals - xG,-0.01,37
Non-Penalty Goals - npxG,-0.02,28
Passes Completed,8.68,5
Passes Attempted,11.99,2
Pass Completion %,72.4,69
Total Passing Distance,122.26,7
Progressive Passing Distance,21.86,10
Passes Completed (Short),4.81,4
Passes Attempted (Short),6.18,2
Pass Completion % (Short),77.8,57
Passes Completed (Medium),2.72,11
Passes Attempted (Medium),3.47,4
Pass Completion % (Medium),78.4,80
Passes Completed (Long),0.44,22
Passes Attempted (Long),0.59,7
Pass Completion % (Long),73.7,86
Assists,0.09,47
xAG,0.11,54
Expected Assists,0.06,25
Key Passes,0.72,22
Passes into Final Third,0.53,13
Passes into Penalty Area,0.22,12
Crosses into Penalty Area,0.00,16
Progressive Passes,1.22,20
Passes Attempted,11.99,2
Live-ball passes,9.87,2
Dead-ball passes,2.06,76
Passes from Free Kicks,0.03,52
Through Balls,0.06,47
Switches,0.06,38
Crosses,0.25,23
Throw-Ins taken,0.06,36
Corner Kicks,0.00,40
Inswinging Corner Kicks,0.00,45
Outswinging Corner Kicks,0.00,46
Straight Corner Kicks,0.00,49
Passes Completed,8.68,5
Passes Offside,0.06,72
Passes Blocked,0.44,81
Shot-Creating Actions,1.94,27
SCA (PassLive),1.06,11
SCA (PassDead),0.00,34
SCA (TO),0.28,80
SCA (Sh),0.31,56
SCA (Fld),0.28,67
SCA (Def),0.00,23
Goal-Creating Actions,0.22,34
GCA (PassLive),0.12,33
GCA (PassDead),0.00,48
GCA (TO),0.06,77
GCA (Sh),0.00,18
GCA (Fld),0.03,58
GCA (Def),0.00,47
Tackles,0.12,2
Tackles Won,0.06,2
Tackles (Def 3rd),0.00,5
Tackles (Mid 3rd),0.09,7
Tackles (Att 3rd),0.03,3
Dribblers Tackled,0.03,2
Dribbles Challenged,0.34,11
% of dribblers tackled,9.1,4
Challenges Lost,0.31,73
Blocks,0.34,15
Shots Blocked,0.03,15
Passes Blocked,0.31,23
Interceptions,0.06,12
Tkl+Int,0.19,1
Clearances,1.03,74
Errors,0.00,51
Touches,21.49,3
Touches (Def Pen),1.06,64
Touches (Def 3rd),1.50,11
Touches (Mid 3rd),8.90,4
Touches (Att 3rd),11.34,7
Touches (Att Pen),4.34,42
Touches (Live-Ball),21.42,3
Take-Ons Attempted,1.41,39
Successful Take-Ons,0.66,46
Successful Take-On %,46.7,62
Times Tackled During Take-On,0.66,34
Tackled During Take-On Percentage,46.7,67
Carries,12.71,9
Total Carrying Distance,62.18,24
Progressive Carrying Distance,26.89,33
Progressive Carries,1.12,45
Carries into Final Third,0.72,36
Carries into Penalty Area,0.44,36
Miscontrols,2.53,54
Dispossessed,0.84,81
Passes Received,16.33,6
Progressive Passes Rec,5.15,37
Yellow Cards,0.25,24
Red Cards,0.00,58
Second Yellow Card,0.00,53
Fouls Committed,1.09,64
Fouls Drawn,2.62,93
Offsides,0.59,37
Crosses,0.25,23
Interceptions,0.06,12
Tackles Won,0.06,2
Penalty Kicks Won,0.03,61
Penalty Kicks Conceded,0.00,51
Own Goals,0.00,51
Ball Recoveries,1.72,10
Aerials won,1.06,21
Aerials lost,2.22,72
% of Aerials Won,32.4,20
