Non-Penalty Goals,0.13,94
Non-Penalty xG,0.03,44
Shots Total,0.38,19
Assists,0.08,51
xAG,0.05,19
npxG + xAG,0.09,23
Shot-Creating Actions,1.89,37
Passes Attempted,44.05,20
Pass Completion %,77.0,61
Progressive Passes,3.66,45
Progressive Carries,1.09,10
Successful Take-Ons,0.04,1
Touches (Att Pen),1.47,68
Progressive Passes Rec,3.91,46
Tackles,1.56,23
Interceptions,1.35,63
Blocks,1.09,63
Clearances,2.48,66
Aerials won,1.98,92
Goals,0.13,93
Assists,0.08,51
Goals + Assists,0.21,81
Non-Penalty Goals,0.13,94
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.21,36
Red Cards,0.00,61
xG,0.03,43
Non-Penalty xG,0.03,44
xAG,0.05,19
npxG + xAG,0.09,23
Progressive Carries,1.09,10
Progressive Passes,3.66,45
Progressive Passes Rec,3.91,46
Goals,0.13,93
Shots Total,0.38,19
Shots on target,0.17,62
Shots on target %,44.4,93
Goals/Shot,0.33,99
Goals/Shot on target,0.75,93
Average Shot Distance,10.80,99
Shots from free kicks,0.00,37
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
xG,0.03,43
Non-Penalty xG,0.03,44
npxG/Sh,0.09,79
Goals - xG,0.09,99
Non-Penalty Goals - npxG,0.09,99
Passes Completed,33.91,30
Passes Attempted,44.05,20
Pass Completion %,77.0,61
Total Passing Distance,587.46,28
Progressive Passing Distance,229.57,35
Passes Completed (Short),16.96,37
Passes Attempted (Short),19.02,34
Pass Completion % (Short),89.2,66
Passes Completed (Medium),12.88,23
Passes Attempted (Medium),16.45,19
Pass Completion % (Medium),78.3,50
Passes Completed (Long),3.66,56
Passes Attempted (Long),6.31,33
Pass Completion % (Long),58.0,83
Assists,0.08,51
xAG,0.05,19
Expected Assists,0.06,17
Key Passes,1.05,62
Passes into Final Third,2.78,39
Passes into Penalty Area,0.46,5
Crosses into Penalty Area,0.38,35
Progressive Passes,3.66,45
Passes Attempted,44.05,20
Live-ball passes,35.30,21
Dead-ball passes,8.75,29
Passes from Free Kicks,0.67,34
Through Balls,0.00,17
Switches,0.17,27
Crosses,2.31,33
Throw-Ins taken,8.08,40
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,32
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,47
Passes Completed,33.91,30
Passes Offside,0.00,97
Passes Blocked,0.88,77
Shot-Creating Actions,1.89,37
SCA (PassLive),1.60,50
SCA (PassDead),0.13,39
SCA (TO),0.00,14
SCA (Sh),0.13,81
SCA (Fld),0.00,11
SCA (Def),0.04,63
Goal-Creating Actions,0.17,45
GCA (PassLive),0.13,41
GCA (PassDead),0.00,34
GCA (TO),0.00,43
GCA (Sh),0.04,91
GCA (Fld),0.00,40
GCA (Def),0.00,48
Tackles,1.56,23
Tackles Won,1.05,37
Tackles (Def 3rd),0.84,22
Tackles (Mid 3rd),0.72,61
Tackles (Att 3rd),0.00,2
Dribblers Tackled,0.88,31
Dribbles Challenged,1.35,21
% of dribblers tackled,65.6,77
Challenges Lost,0.46,82
Blocks,1.09,63
Shots Blocked,0.76,99
Passes Blocked,0.34,4
Interceptions,1.35,63
Tkl+Int,2.90,38
Clearances,2.48,66
Errors,0.08,3
Touches,53.14,15
Touches (Def Pen),4.08,84
Touches (Def 3rd),15.65,20
Touches (Mid 3rd),26.21,37
Touches (Att 3rd),11.44,13
Touches (Att Pen),1.47,68
Touches (Live-Ball),53.14,15
Take-Ons Attempted,0.29,2
Successful Take-Ons,0.04,1
Successful Take-On %,14.3,1
Times Tackled During Take-On,0.17,3
Tackled During Take-On Percentage,57.1,15
Carries,24.24,17
Total Carrying Distance,104.35,8
Progressive Carrying Distance,54.32,11
Progressive Carries,1.09,10
Carries into Final Third,0.93,20
Carries into Penalty Area,0.13,32
Miscontrols,0.72,85
Dispossessed,0.13,99
Passes Received,29.45,26
Progressive Passes Rec,3.91,46
Yellow Cards,0.21,36
Red Cards,0.00,61
Second Yellow Card,0.00,54
Fouls Committed,0.80,74
Fouls Drawn,0.84,46
Offsides,0.04,54
Crosses,2.31,33
Interceptions,1.35,63
Tackles Won,1.05,37
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.00,64
Own Goals,0.00,54
Ball Recoveries,3.45,1
Aerials won,1.98,92
Aerials lost,1.43,12
% of Aerials Won,58.0,76
