Non-Penalty Goals,0.00,21
Non-Penalty xG,0.02,27
Shots Total,0.54,45
Assists,0.00,7
xAG,0.04,9
npxG + xAG,0.06,9
Shot-Creating Actions,1.69,28
Passes Attempted,44.77,22
Pass Completion %,81.8,88
Progressive Passes,2.31,2
Progressive Carries,2.62,76
Successful Take-Ons,1.38,92
Touches (Att Pen),0.77,29
Progressive Passes Rec,3.15,28
Tackles,1.92,49
Interceptions,1.15,44
Blocks,0.69,13
Clearances,2.31,60
Aerials won,1.08,61
Goals,0.00,20
Assists,0.00,7
Goals + Assists,0.00,4
Non-Penalty Goals,0.00,21
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
Yellow Cards,0.23,29
Red Cards,0.08,1
xG,0.02,26
Non-Penalty xG,0.02,27
xAG,0.04,9
npxG + xAG,0.06,9
Progressive Carries,2.62,76
Progressive Passes,2.31,2
Progressive Passes Rec,3.15,28
Goals,0.00,20
Shots Total,0.54,45
Shots on target,0.00,3
Shots on target %,0.0,3
Goals/Shot,0.00,21
Average Shot Distance,19.70,60
Shots from free kicks,0.00,37
Penalty Kicks Made,0.00,48
Penalty Kicks Attempted,0.00,48
xG,0.02,26
Non-Penalty xG,0.02,27
npxG/Sh,0.04,21
Goals - xG,-0.02,29
Non-Penalty Goals - npxG,-0.02,29
Passes Completed,36.62,38
Passes Attempted,44.77,22
Pass Completion %,81.8,88
Total Passing Distance,552.00,20
Progressive Passing Distance,184.85,11
Passes Completed (Short),21.23,66
Passes Attempted (Short),23.46,64
Pass Completion % (Short),90.5,80
Passes Completed (Medium),12.08,17
Passes Attempted (Medium),14.62,7
Pass Completion % (Medium),82.6,74
Passes Completed (Long),2.15,8
Passes Attempted (Long),3.69,3
Pass Completion % (Long),58.3,83
Assists,0.00,7
xAG,0.04,9
Expected Assists,0.06,19
Key Passes,0.62,20
Passes into Final Third,2.15,15
Passes into Penalty Area,0.46,5
Crosses into Penalty Area,0.31,26
Progressive Passes,2.31,2
Passes Attempted,44.77,22
Live-ball passes,37.54,31
Dead-ball passes,7.15,9
Passes from Free Kicks,0.54,24
Through Balls,0.08,75
Switches,0.08,10
Crosses,1.38,8
Throw-Ins taken,6.62,13
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,32
Outswinging Corner Kicks,0.00,31
Straight Corner Kicks,0.00,47
Passes Completed,36.62,38
Passes Offside,0.08,74
Passes Blocked,1.31,32
Shot-Creating Actions,1.69,28
SCA (PassLive),1.46,41
SCA (PassDead),0.00,4
SCA (TO),0.15,86
SCA (Sh),0.00,9
SCA (Fld),0.08,59
SCA (Def),0.00,23
Goal-Creating Actions,0.15,39
GCA (PassLive),0.15,57
GCA (PassDead),0.00,34
GCA (TO),0.00,43
GCA (Sh),0.00,39
GCA (Fld),0.00,40
GCA (Def),0.00,48
Tackles,1.92,49
Tackles Won,1.08,40
Tackles (Def 3rd),1.08,46
Tackles (Mid 3rd),0.85,81
Tackles (Att 3rd),0.00,2
Dribblers Tackled,1.23,66
Dribbles Challenged,2.62,88
% of dribblers tackled,47.1,12
Challenges Lost,1.38,7
Blocks,0.69,13
Shots Blocked,0.15,22
Passes Blocked,0.54,20
Interceptions,1.15,44
Tkl+Int,3.08,48
Clearances,2.31,60
Errors,0.00,65
Touches,56.08,24
Touches (Def Pen),2.69,29
Touches (Def 3rd),15.31,18
Touches (Mid 3rd),29.00,62
Touches (Att 3rd),12.62,19
Touches (Att Pen),0.77,29
Touches (Live-Ball),56.08,24
Take-Ons Attempted,3.23,95
Successful Take-Ons,1.38,92
Successful Take-On %,42.9,36
Times Tackled During Take-On,1.69,97
Tackled During Take-On Percentage,52.4,30
Carries,28.69,38
Total Carrying Distance,165.54,52
Progressive Carrying Distance,92.00,60
Progressive Carries,2.62,76
Carries into Final Third,1.92,82
Carries into Penalty Area,0.38,75
Miscontrols,1.15,51
Dispossessed,1.46,1
Passes Received,31.92,37
Progressive Passes Rec,3.15,28
Yellow Cards,0.23,29
Red Cards,0.08,1
Second Yellow Card,0.00,54
Fouls Committed,1.31,25
Fouls Drawn,0.85,47
Offsides,0.23,5
Crosses,1.38,8
Interceptions,1.15,44
Tackles Won,1.08,40
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.08,5
Own Goals,0.00,54
Ball Recoveries,6.00,69
Aerials won,1.08,61
Aerials lost,1.77,4
% of Aerials Won,37.8,13
