player,url,position
Nathan,players/Santos/nathan.csv,DF
Maicon,players/Santos/maicon.csv,DF
Sandry,players/Santos/sandry.csv,MF
Guilherme Camacho,players/Santos/guilherme_camacho.csv,MF
Carlos Sánchez,players/Santos/carlos_sánchez.csv,MF
Marcos Leonardo,players/Santos/marcos_leonardo.csv,FW
Luan Vieira,players/Santos/luan_vieira.csv,MFFW
Marcos Guilherme,players/Santos/marcos_guilherme.csv,MF
Vinícius Zanocelo,players/Santos/vinícius_zanocelo.csv,MF
Eduardo Gabriel,players/Santos/eduardo_gabriel.csv,DF
Felipe Jonatan,players/Santos/felipe_jonatan.csv,DF
Mádson,players/Santos/mádson.csv,DF
Kaiky,players/Santos/kaiky.csv,DF
João Paulo,players/Santos/joão_paulo.csv,GK
Lucas,players/Santos/lucas.csv,DF
Lucas Barbosa,players/Santos/lucas_barbosa.csv,FWMF
Rodrigo Fernández,players/Santos/rodrigo_fernández.csv,MF
Lucas Braga,players/Santos/lucas_braga.csv,FWMF
Gabriel Pirani,players/Santos/gabriel_pirani.csv,FWMF
Rwan,players/Santos/rwan.csv,FWMF
Yeferson Soteldo,players/Santos/yeferson_soteldo.csv,FWMF
Jhojan Julio,players/Santos/jhojan_julio.csv,FWMF
Brayan Angulo,players/Santos/brayan_angulo.csv,FWMF
Gabriel Carabajal,players/Santos/gabriel_carabajal.csv,MFFW
Willian Maranhão,players/Santos/willian_maranhão.csv,MF
Emiliano Velázquez,players/Santos/emiliano_velázquez.csv,DF
Alex,players/Santos/alex.csv,DF
Ângelo Borges,players/Santos/ângelo_borges.csv,FWMF
Léo Baptistão,players/Santos/léo_baptistão.csv,FWMF
