Non-Penalty Goals,0.00,16
Non-Penalty xG,0.02,11
Shots Total,0.58,24
Assists,0.00,13
xAG,0.02,7
npxG + xAG,0.04,7
Shot-Creating Actions,1.75,26
Passes Attempted,49.70,62
Pass Completion %,83.0,60
Progressive Passes,5.15,55
Progressive Carries,1.83,80
Successful Take-Ons,1.05,80
Touches (Att Pen),0.19,7
Progressive Passes Rec,0.47,6
Tackles,3.47,96
Interceptions,0.78,21
Blocks,1.05,45
Clearances,1.25,66
Aerials won,1.13,71
Goals,0.00,16
Assists,0.00,13
Goals + Assists,0.00,7
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.58,1
Red Cards,0.00,62
xG,0.02,11
Non-Penalty xG,0.02,11
xAG,0.02,7
npxG + xAG,0.04,7
Progressive Carries,1.83,80
Progressive Passes,5.15,55
Progressive Passes Rec,0.47,6
Goals,0.00,16
Shots Total,0.58,24
Shots on target,0.08,16
Shots on target %,13.3,12
Goals/Shot,0.00,16
Goals/Shot on target,0.00,16
Average Shot Distance,27.10,12
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.02,11
Non-Penalty xG,0.02,11
npxG/Sh,0.04,17
Goals - xG,-0.02,39
Non-Penalty Goals - npxG,-0.02,39
Passes Completed,41.24,63
Passes Attempted,49.70,62
Pass Completion %,83.0,60
Total Passing Distance,786.30,69
Progressive Passing Distance,236.40,68
Passes Completed (Short),16.06,41
Passes Attempted (Short),17.74,36
Pass Completion % (Short),90.5,76
Passes Completed (Medium),19.88,77
Passes Attempted (Medium),22.49,76
Pass Completion % (Medium),88.4,64
Passes Completed (Long),4.79,67
Passes Attempted (Long),7.56,66
Pass Completion % (Long),63.4,48
Assists,0.00,13
xAG,0.02,7
Expected Assists,0.05,28
Key Passes,0.35,7
Passes into Final Third,4.60,61
Passes into Penalty Area,0.58,48
Crosses into Penalty Area,0.08,41
Progressive Passes,5.15,55
Passes Attempted,49.70,62
Live-ball passes,47.83,64
Dead-ball passes,1.75,45
Passes from Free Kicks,1.56,65
Through Balls,0.08,43
Switches,0.39,48
Crosses,0.66,47
Throw-Ins taken,0.19,41
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,42
Passes Completed,41.24,63
Passes Offside,0.12,62
Passes Blocked,0.86,34
Shot-Creating Actions,1.75,26
SCA (PassLive),1.40,30
SCA (PassDead),0.04,39
SCA (TO),0.12,77
SCA (Sh),0.04,21
SCA (Fld),0.00,10
SCA (Def),0.16,95
Goal-Creating Actions,0.08,17
GCA (PassLive),0.08,24
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,3.47,96
Tackles Won,2.03,97
Tackles (Def 3rd),1.68,97
Tackles (Mid 3rd),1.56,93
Tackles (Att 3rd),0.23,53
Dribblers Tackled,1.95,99
Dribbles Challenged,5.11,99
% of dribblers tackled,38.2,22
Challenges Lost,3.16,1
Blocks,1.05,45
Shots Blocked,0.19,38
Passes Blocked,0.86,53
Interceptions,0.78,21
Tkl+Int,4.25,87
Clearances,1.25,66
Errors,0.00,67
Touches,59.60,60
Touches (Def Pen),2.18,59
Touches (Def 3rd),13.37,62
Touches (Mid 3rd),41.00,81
Touches (Att 3rd),6.43,11
Touches (Att Pen),0.19,7
Touches (Live-Ball),59.60,60
Take-Ons Attempted,1.87,78
Successful Take-Ons,1.05,80
Successful Take-On %,56.3,60
Times Tackled During Take-On,0.74,73
Tackled During Take-On Percentage,39.6,51
Carries,36.21,75
Total Carrying Distance,222.21,91
Progressive Carrying Distance,127.96,96
Progressive Carries,1.83,80
Carries into Final Third,1.44,70
Carries into Penalty Area,0.08,34
Miscontrols,1.05,64
Dispossessed,0.58,71
Passes Received,36.48,50
Progressive Passes Rec,0.47,6
Yellow Cards,0.58,1
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,3.27,1
Fouls Drawn,1.05,54
Offsides,0.00,75
Crosses,0.66,47
Interceptions,0.78,21
Tackles Won,2.03,97
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.08,2
Own Goals,0.00,52
Ball Recoveries,7.99,90
Aerials won,1.13,71
Aerials lost,0.62,80
% of Aerials Won,64.4,94
