Non-Penalty Goals,0.19,52
Non-Penalty xG,0.31,86
Shots Total,3.30,95
Assists,0.19,52
xAG,0.14,22
npxG + xAG,0.45,69
Shot-Creating Actions,3.88,54
Passes Attempted,28.32,23
Pass Completion %,68.5,16
Progressive Passes,2.33,20
Progressive Carries,2.13,20
Successful Take-Ons,1.94,74
Touches (Att Pen),8.15,99
Progressive Passes Rec,12.03,98
Tackles,1.36,54
Interceptions,0.78,85
Blocks,1.16,77
Clearances,0.58,59
Aerials won,2.52,98
Goals,0.39,84
Assists,0.19,52
Goals + Assists,0.58,81
Non-Penalty Goals,0.19,52
Penalty Kicks Made,0.19,96
Penalty Kicks Attempted,0.19,93
Yellow Cards,0.19,41
Red Cards,0.00,59
xG,0.47,95
Non-Penalty xG,0.31,86
xAG,0.14,22
npxG + xAG,0.45,69
Progressive Carries,2.13,20
Progressive Passes,2.33,20
Progressive Passes Rec,12.03,98
Goals,0.39,84
Shots Total,3.30,95
Shots on target,1.36,98
Shots on target %,41.2,80
Goals/Shot,0.06,26
Goals/Shot on target,0.14,17
Average Shot Distance,15.90,86
Shots from free kicks,0.00,20
Penalty Kicks Made,0.19,96
Penalty Kicks Attempted,0.19,93
xG,0.47,95
Non-Penalty xG,0.31,86
npxG/Sh,0.09,50
Goals - xG,-0.08,20
Non-Penalty Goals - npxG,-0.12,6
Passes Completed,19.40,19
Passes Attempted,28.32,23
Pass Completion %,68.5,16
Total Passing Distance,256.62,9
Progressive Passing Distance,50.63,6
Passes Completed (Short),12.80,40
Passes Attempted (Short),16.68,52
Pass Completion % (Short),76.7,5
Passes Completed (Medium),5.04,7
Passes Attempted (Medium),6.21,2
Pass Completion % (Medium),81.3,79
Passes Completed (Long),0.78,11
Passes Attempted (Long),2.33,22
Pass Completion % (Long),33.3,2
Assists,0.19,52
xAG,0.14,22
Expected Assists,0.17,48
Key Passes,1.94,63
Passes into Final Third,1.55,28
Passes into Penalty Area,1.16,42
Crosses into Penalty Area,0.00,2
Progressive Passes,2.33,20
Passes Attempted,28.32,23
Live-ball passes,26.57,23
Dead-ball passes,1.36,34
Passes from Free Kicks,0.39,45
Through Balls,0.19,52
Switches,0.00,2
Crosses,1.16,14
Throw-Ins taken,0.00,1
Corner Kicks,0.00,9
Inswinging Corner Kicks,0.00,14
Outswinging Corner Kicks,0.00,18
Straight Corner Kicks,0.00,38
Passes Completed,19.40,19
Passes Offside,0.39,9
Passes Blocked,1.55,9
Shot-Creating Actions,3.88,54
SCA (PassLive),2.91,69
SCA (PassDead),0.00,11
SCA (TO),0.39,76
SCA (Sh),0.39,90
SCA (Fld),0.19,51
SCA (Def),0.00,20
Goal-Creating Actions,0.19,13
GCA (PassLive),0.19,27
GCA (PassDead),0.00,29
GCA (TO),0.00,25
GCA (Sh),0.00,21
GCA (Fld),0.00,27
GCA (Def),0.00,46
Tackles,1.36,54
Tackles Won,0.97,66
Tackles (Def 3rd),0.19,14
Tackles (Mid 3rd),0.58,53
Tackles (Att 3rd),0.58,96
Dribblers Tackled,0.58,59
Dribbles Challenged,1.36,46
% of dribblers tackled,42.9,63
Challenges Lost,0.78,55
Blocks,1.16,77
Shots Blocked,0.19,89
Passes Blocked,0.97,73
Interceptions,0.78,85
Tkl+Int,2.13,66
Clearances,0.58,59
Errors,0.00,54
Touches,47.72,50
Touches (Def Pen),1.36,88
Touches (Def 3rd),3.49,9
Touches (Mid 3rd),18.23,42
Touches (Att 3rd),26.96,70
Touches (Att Pen),8.15,99
Touches (Live-Ball),47.52,51
Take-Ons Attempted,3.69,66
Successful Take-Ons,1.94,74
Successful Take-On %,52.6,75
Times Tackled During Take-On,1.36,46
Tackled During Take-On Percentage,36.8,90
Carries,27.35,38
Total Carrying Distance,141.01,17
Progressive Carrying Distance,52.76,12
Progressive Carries,2.13,20
Carries into Final Third,1.55,25
Carries into Penalty Area,1.55,87
Miscontrols,5.63,1
Dispossessed,2.13,9
Passes Received,34.53,51
Progressive Passes Rec,12.03,98
Yellow Cards,0.19,41
Red Cards,0.00,59
Second Yellow Card,0.00,54
Fouls Committed,2.13,1
Fouls Drawn,2.72,91
Offsides,0.39,28
Crosses,1.16,14
Interceptions,0.78,85
Tackles Won,0.97,66
Penalty Kicks Won,0.00,33
Penalty Kicks Conceded,0.00,53
Own Goals,0.00,51
Ball Recoveries,4.46,48
Aerials won,2.52,98
Aerials lost,3.88,1
% of Aerials Won,39.4,64
