Non-Penalty Goals,0.00,16
Non-Penalty xG,0.05,46
Shots Total,0.78,41
Assists,0.13,76
xAG,0.16,87
npxG + xAG,0.20,68
Shot-Creating Actions,4.16,94
Passes Attempted,69.58,95
Pass Completion %,84.1,67
Progressive Passes,8.84,97
Progressive Carries,1.95,83
Successful Take-Ons,0.39,23
Touches (Att Pen),0.52,28
Progressive Passes Rec,1.69,51
Tackles,3.12,93
Interceptions,1.43,78
Blocks,2.08,99
Clearances,0.91,37
Aerials won,0.26,6
Goals,0.00,16
Assists,0.13,76
Goals + Assists,0.13,49
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.26,42
Red Cards,0.00,62
xG,0.05,44
Non-Penalty xG,0.05,46
xAG,0.16,87
npxG + xAG,0.20,68
Progressive Carries,1.95,83
Progressive Passes,8.84,97
Progressive Passes Rec,1.69,51
Goals,0.00,16
Shots Total,0.78,41
Shots on target,0.26,53
Shots on target %,33.3,73
Goals/Shot,0.00,16
Goals/Shot on target,0.00,16
Average Shot Distance,24.40,30
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.05,44
Non-Penalty xG,0.05,46
npxG/Sh,0.06,45
Goals - xG,-0.05,13
Non-Penalty Goals - npxG,-0.05,12
Passes Completed,58.53,94
Passes Attempted,69.58,95
Pass Completion %,84.1,67
Total Passing Distance,1201.73,99
Progressive Passing Distance,304.86,89
Passes Completed (Short),18.08,62
Passes Attempted (Short),20.68,63
Pass Completion % (Short),87.4,45
Passes Completed (Medium),31.47,99
Passes Attempted (Medium),33.82,99
Pass Completion % (Medium),93.1,97
Passes Completed (Long),8.45,97
Passes Attempted (Long),13.66,98
Pass Completion % (Long),61.9,43
Assists,0.13,76
xAG,0.16,87
Expected Assists,0.22,95
Key Passes,1.69,86
Passes into Final Third,10.14,99
Passes into Penalty Area,1.17,86
Crosses into Penalty Area,0.39,94
Progressive Passes,8.84,97
Passes Attempted,69.58,95
Live-ball passes,65.81,95
Dead-ball passes,3.51,74
Passes from Free Kicks,1.95,77
Through Balls,0.39,96
Switches,1.04,90
Crosses,2.60,77
Throw-Ins taken,0.26,55
Corner Kicks,1.30,76
Inswinging Corner Kicks,0.52,77
Outswinging Corner Kicks,0.39,80
Straight Corner Kicks,0.00,42
Passes Completed,58.53,94
Passes Offside,0.26,17
Passes Blocked,0.26,99
Shot-Creating Actions,4.16,94
SCA (PassLive),3.90,99
SCA (PassDead),0.26,70
SCA (TO),0.00,17
SCA (Sh),0.00,8
SCA (Fld),0.00,10
SCA (Def),0.00,15
Goal-Creating Actions,0.39,86
GCA (PassLive),0.39,97
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,3.12,93
Tackles Won,1.82,93
Tackles (Def 3rd),0.78,45
Tackles (Mid 3rd),2.21,99
Tackles (Att 3rd),0.13,25
Dribblers Tackled,1.30,83
Dribbles Challenged,3.51,98
% of dribblers tackled,37.0,20
Challenges Lost,2.21,1
Blocks,2.08,99
Shots Blocked,0.13,19
Passes Blocked,1.95,99
Interceptions,1.43,78
Tkl+Int,4.55,91
Clearances,0.91,37
Errors,0.00,67
Touches,78.95,95
Touches (Def Pen),1.56,29
Touches (Def 3rd),10.53,34
Touches (Mid 3rd),55.01,99
Touches (Att 3rd),13.79,65
Touches (Att Pen),0.52,28
Touches (Live-Ball),78.95,95
Take-Ons Attempted,0.78,23
Successful Take-Ons,0.39,23
Successful Take-On %,50.0,42
Times Tackled During Take-On,0.39,40
Tackled During Take-On Percentage,50.0,18
Carries,46.95,95
Total Carrying Distance,212.64,86
Progressive Carrying Distance,105.87,89
Progressive Carries,1.95,83
Carries into Final Third,1.43,69
Carries into Penalty Area,0.13,50
Miscontrols,0.26,99
Dispossessed,0.39,91
Passes Received,54.88,93
Progressive Passes Rec,1.69,51
Yellow Cards,0.26,42
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,1.82,18
Fouls Drawn,0.78,32
Offsides,0.00,75
Crosses,2.60,77
Interceptions,1.43,78
Tackles Won,1.82,93
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.13,1
Own Goals,0.00,52
Ball Recoveries,6.63,61
Aerials won,0.26,6
Aerials lost,0.39,96
% of Aerials Won,40.0,26
