Non-Penalty Goals,0.13,86
Non-Penalty xG,0.15,89
Shots Total,2.20,96
Assists,0.00,13
xAG,0.06,45
npxG + xAG,0.21,74
Shot-Creating Actions,2.87,72
Passes Attempted,41.05,28
Pass Completion %,83.9,65
Progressive Passes,4.58,42
Progressive Carries,1.44,63
Successful Take-Ons,0.58,46
Touches (Att Pen),1.39,73
Progressive Passes Rec,1.66,50
Tackles,1.30,12
Interceptions,1.08,52
Blocks,1.26,67
Clearances,1.62,82
Aerials won,1.39,81
Goals,0.13,84
Assists,0.00,13
Goals + Assists,0.13,52
Non-Penalty Goals,0.13,86
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.36,18
Red Cards,0.00,62
xG,0.15,87
Non-Penalty xG,0.15,89
xAG,0.06,45
npxG + xAG,0.21,74
Progressive Carries,1.44,63
Progressive Passes,4.58,42
Progressive Passes Rec,1.66,50
Goals,0.13,84
Shots Total,2.20,96
Shots on target,0.63,93
Shots on target %,28.6,59
Goals/Shot,0.06,53
Goals/Shot on target,0.21,52
Average Shot Distance,22.50,49
Shots from free kicks,0.13,85
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.15,87
Non-Penalty xG,0.15,89
npxG/Sh,0.07,60
Goals - xG,-0.01,45
Non-Penalty Goals - npxG,-0.01,44
Passes Completed,34.45,35
Passes Attempted,41.05,28
Pass Completion %,83.9,65
Total Passing Distance,641.45,43
Progressive Passing Distance,134.01,14
Passes Completed (Short),13.52,21
Passes Attempted (Short),15.63,20
Pass Completion % (Short),86.5,35
Passes Completed (Medium),16.35,54
Passes Attempted (Medium),18.28,49
Pass Completion % (Medium),89.4,73
Passes Completed (Long),3.86,47
Passes Attempted (Long),4.94,28
Pass Completion % (Long),78.2,92
Assists,0.00,13
xAG,0.06,45
Expected Assists,0.04,13
Key Passes,0.94,56
Passes into Final Third,3.59,36
Passes into Penalty Area,0.31,14
Crosses into Penalty Area,0.04,26
Progressive Passes,4.58,42
Passes Attempted,41.05,28
Live-ball passes,40.28,34
Dead-ball passes,0.76,9
Passes from Free Kicks,0.49,17
Through Balls,0.00,6
Switches,0.58,68
Crosses,0.09,3
Throw-Ins taken,0.18,37
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,42
Passes Completed,34.45,35
Passes Offside,0.00,98
Passes Blocked,0.85,34
Shot-Creating Actions,2.87,72
SCA (PassLive),2.11,72
SCA (PassDead),0.00,16
SCA (TO),0.22,94
SCA (Sh),0.45,99
SCA (Fld),0.00,10
SCA (Def),0.09,79
Goal-Creating Actions,0.13,34
GCA (PassLive),0.09,30
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.04,87
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,1.30,12
Tackles Won,0.76,14
Tackles (Def 3rd),0.58,25
Tackles (Mid 3rd),0.63,19
Tackles (Att 3rd),0.09,12
Dribblers Tackled,0.45,8
Dribbles Challenged,2.07,58
% of dribblers tackled,21.7,1
Challenges Lost,1.62,11
Blocks,1.26,67
Shots Blocked,0.36,73
Passes Blocked,0.90,58
Interceptions,1.08,52
Tkl+Int,2.38,21
Clearances,1.62,82
Errors,0.00,67
Touches,51.69,29
Touches (Def Pen),2.20,60
Touches (Def 3rd),10.96,40
Touches (Mid 3rd),30.45,33
Touches (Att 3rd),10.82,41
Touches (Att Pen),1.39,73
Touches (Live-Ball),51.69,29
Take-Ons Attempted,1.21,50
Successful Take-Ons,0.58,46
Successful Take-On %,48.1,37
Times Tackled During Take-On,0.58,63
Tackled During Take-On Percentage,48.1,23
Carries,29.06,43
Total Carrying Distance,177.62,72
Progressive Carrying Distance,76.35,61
Progressive Carries,1.44,63
Carries into Final Third,1.39,67
Carries into Penalty Area,0.13,52
Miscontrols,0.99,71
Dispossessed,0.58,71
Passes Received,33.95,39
Progressive Passes Rec,1.66,50
Yellow Cards,0.36,18
Red Cards,0.00,62
Second Yellow Card,0.00,57
Fouls Committed,2.11,10
Fouls Drawn,0.54,12
Offsides,0.09,17
Crosses,0.09,3
Interceptions,1.08,52
Tackles Won,0.76,14
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.09,1
Own Goals,0.00,52
Ball Recoveries,5.03,12
Aerials won,1.39,81
Aerials lost,1.44,16
% of Aerials Won,49.2,56
