Non-Penalty Goals,0.00,16
Non-Penalty xG,0.01,5
Shots Total,0.60,25
Assists,0.00,13
xAG,0.02,5
npxG + xAG,0.02,1
Shot-Creating Actions,1.38,11
Passes Attempted,38.60,18
Pass Completion %,84.1,67
Progressive Passes,2.77,5
Progressive Carries,0.84,34
Successful Take-Ons,0.24,8
Touches (Att Pen),0.18,5
Progressive Passes Rec,0.54,8
Tackles,1.92,44
Interceptions,1.38,74
Blocks,1.44,79
Clearances,3.07,99
Aerials won,0.84,47
Goals,0.00,16
Assists,0.00,13
Goals + Assists,0.00,7
Non-Penalty Goals,0.00,16
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
Yellow Cards,0.42,9
Red Cards,0.06,3
xG,0.01,5
Non-Penalty xG,0.01,5
xAG,0.02,5
npxG + xAG,0.02,1
Progressive Carries,0.84,34
Progressive Passes,2.77,5
Progressive Passes Rec,0.54,8
Goals,0.00,16
Shots Total,0.60,25
Shots on target,0.00,2
Shots on target %,0.0,2
Goals/Shot,0.00,16
Average Shot Distance,30.80,1
Shots from free kicks,0.00,32
Penalty Kicks Made,0.00,46
Penalty Kicks Attempted,0.00,45
xG,0.01,5
Non-Penalty xG,0.01,5
npxG/Sh,0.02,1
Goals - xG,-0.01,47
Non-Penalty Goals - npxG,-0.01,47
Passes Completed,32.46,27
Passes Attempted,38.60,18
Pass Completion %,84.1,67
Total Passing Distance,600.18,35
Progressive Passing Distance,160.70,29
Passes Completed (Short),13.35,19
Passes Attempted (Short),15.27,16
Pass Completion % (Short),87.4,45
Passes Completed (Medium),14.85,42
Passes Attempted (Medium),16.05,32
Pass Completion % (Medium),92.5,95
Passes Completed (Long),3.73,44
Passes Attempted (Long),5.53,40
Pass Completion % (Long),67.4,62
Assists,0.00,13
xAG,0.02,5
Expected Assists,0.02,3
Key Passes,0.60,26
Passes into Final Third,2.59,11
Passes into Penalty Area,0.42,25
Crosses into Penalty Area,0.06,33
Progressive Passes,2.77,5
Passes Attempted,38.60,18
Live-ball passes,37.21,23
Dead-ball passes,1.38,31
Passes from Free Kicks,1.20,49
Through Balls,0.00,6
Switches,0.48,58
Crosses,0.18,12
Throw-Ins taken,0.18,38
Corner Kicks,0.00,23
Inswinging Corner Kicks,0.00,28
Outswinging Corner Kicks,0.00,29
Straight Corner Kicks,0.00,42
Passes Completed,32.46,27
Passes Offside,0.00,98
Passes Blocked,0.60,70
Shot-Creating Actions,1.38,11
SCA (PassLive),1.26,17
SCA (PassDead),0.00,16
SCA (TO),0.06,58
SCA (Sh),0.06,37
SCA (Fld),0.00,10
SCA (Def),0.00,15
Goal-Creating Actions,0.00,2
GCA (PassLive),0.00,4
GCA (PassDead),0.00,37
GCA (TO),0.00,42
GCA (Sh),0.00,34
GCA (Fld),0.00,40
GCA (Def),0.00,43
Tackles,1.92,44
Tackles Won,0.90,27
Tackles (Def 3rd),0.84,52
Tackles (Mid 3rd),0.78,33
Tackles (Att 3rd),0.30,68
Dribblers Tackled,1.02,63
Dribbles Challenged,1.74,38
% of dribblers tackled,58.6,93
Challenges Lost,0.72,85
Blocks,1.44,79
Shots Blocked,0.78,99
Passes Blocked,0.66,29
Interceptions,1.38,74
Tkl+Int,3.31,58
Clearances,3.07,99
Errors,0.06,11
Touches,49.48,21
Touches (Def Pen),4.75,99
Touches (Def 3rd),15.81,81
Touches (Mid 3rd),28.26,24
Touches (Att 3rd),5.83,8
Touches (Att Pen),0.18,5
Touches (Live-Ball),49.48,21
Take-Ons Attempted,0.48,7
Successful Take-Ons,0.24,8
Successful Take-On %,50.0,42
Times Tackled During Take-On,0.24,18
Tackled During Take-On Percentage,50.0,18
Carries,26.15,29
Total Carrying Distance,152.53,53
Progressive Carrying Distance,77.01,63
Progressive Carries,0.84,34
Carries into Final Third,1.02,44
Carries into Penalty Area,0.06,28
Miscontrols,1.02,68
Dispossessed,0.24,99
Passes Received,29.28,22
Progressive Passes Rec,0.54,8
Yellow Cards,0.42,9
Red Cards,0.06,3
Second Yellow Card,0.00,57
Fouls Committed,1.56,33
Fouls Drawn,0.60,18
Offsides,0.12,11
Crosses,0.18,12
Interceptions,1.38,74
Tackles Won,0.90,27
Penalty Kicks Won,0.00,43
Penalty Kicks Conceded,0.06,6
Own Goals,0.00,52
Ball Recoveries,4.93,10
Aerials won,0.84,47
Aerials lost,1.38,20
% of Aerials Won,37.8,20
